연번,시군명,기관장,기관명,소재지 (도로명 주소),전화번호,진료과목,진료시간,비고,데이터기준일자
46,순천시,강연화,회덕보건진료소,전라남도 순천시 황전면 삽재팔동길 391,061-749-4338,양방,09:00~18:00,,2021-08-01
47,순천시,박은진,평죽보건진료소,전라남도 순천시 황전면 농소길 9,061-749-4339,양방,09:00~18:00,,2021-08-01
48,순천시,최의정,비촌보건진료소,전라남도 순천시 황전면 비촌1길 83,061-749-4340,양방,09:00~18:00,,2021-08-01
49,순천시,강수순,망룡보건진료소,전라남도 순천시 월등면 복사골길 116,061-749-4341,양방,09:00~18:00,,2021-08-01
50,순천시,김재비,신월보건진료소,전라남도 순천시 월등면 월등로 360,061-749-4342,양방,09:00~18:00,,2021-08-01
51,나주시,위경미,우산보건진료소,전라남도 나주시남평읍 지석로 765-5,061-337-1533,1차진료+건강증진사업,09:00~18:00,,2021-08-01
52,나주시,박복순,성산보건진료소,전라남도 나주시세지면 성산덕산길 9-14,061-331-5671,1차진료+건강증진사업,09:00~18:00,,2021-08-01
53,나주시,김경란,신원보건진료소,전라남도 나주시왕곡면 예향로 3320,061-337-4355,1차진료+건강증진사업,09:00~18:00,,2021-08-01
54,나주시,김윤경,월천보건진료소,전라남도 나주시왕곡면 나주서부로 575,061-335-7723,1차진료+건강증진사업,09:00~18:00,,2021-08-01
55,나주시,진지현,청송보건진료소,전라남도 나주시반남면 청송로 367,061-336-0849,1차진료+건강증진사업,09:00~18:00,,2021-08-01
56,나주시,정윤민,백사보건진료소,전라남도 나주시공산면 오산로 238,061-335-5671,1차진료+건강증진사업,09:00~18:00,,2021-08-01
57,나주시,서영숙,가송보건진료소,전라남도 나주시공산면 가양로 239,061-335-7804,1차진료+건강증진사업,09:00~18:00,,2021-08-01
58,나주시,문현숙,대전보건진료소,전라남도 나주시동강면 동강로 239,061-337-2731,1차진료+건강증진사업,09:00~18:00,,2021-08-01
59,나주시,김하영,월송보건진료소,전라남도 나주시동강면 인월로 242-1,061-335-2736,1차진료+건강증진사업,09:00~18:00,,2021-08-01
60,나주시,나혜영,계로보건진료소,전라남도 나주시문평면 문평로 487,061-337-0448,1차진료+건강증진사업,09:00~18:00,,2021-08-01
61,나주시,윤귀남,금안보건진료소,전라남도 나주시노안면 금안1길 6,061-336-8297,1차진료+건강증진사업,09:00~18:00,,2021-08-01
62,나주시,정윤민,도산보건진료소,전라남도 나주시노안면 도산길 3,061-335-2929,1차진료+건강증진사업,09:00~18:00,,2021-08-01
63,나주시,김은미,방산보건진료소,전라남도 나주시다도면 학동길 1,061-337-9545,1차진료+건강증진사업,09:00~18:00,,2021-08-01
64,나주시,양금숙,옥산보건진료소,전라남도 나주시봉황면 금봉로 288,061-331-3876,1차진료+건강증진사업,09:00~18:00,,2021-08-01
65,나주시,최종숙,운곡보건진료소,전라남도 나주시봉황면 운곡용곡길 9,061-337-2914,1차진료+건강증진사업,09:00~18:00,,2021-08-01
66,광양시,조인숙,세풍보건진료소,전라남도 광양시 광양읍 부흥길 16,061-797-4086,일반의과,09:00~18:00,,2021-08-01
67,광양시,이혜경,사곡보건진료소,전라남도 광양시 광양읍 사곡로 213,061-797-4087,일반의과,09:00~18:00,,2021-08-01
68,광양시,정미영,조령보건진료소,전라남도 광양시 봉강면 성불로 815,061-797-4088,일반의과,09:00~18:00,,2021-08-01
69,광양시,김인경,죽천보건진료소,전라남도 광양시 옥룡면 내천길 4,061-797-4089,일반의과,09:00~18:00,,2021-08-01
70,광양시,김경자,추산보건진료소,전라남도 광양시 옥룡면 백계로 124,061-797-4090,일반의과,09:00~18:00,,2021-08-01
71,광양시,나연실,동곡보건진료소,전라남도 광양시 옥룡면 동동길 31-5,061-797-4091,일반의과,09:00~18:00,,2021-08-01
72,광양시,최현경,대죽보건진료소,전라남도 광양시 옥곡면 대죽1길 108-3,061-797-4092,일반의과,09:00~18:00,,2021-08-01
73,광양시,심연자,어치보건진료소,전라남도 광양시 진상면 백학로 531,061-797-4093,일반의과,09:00~18:00,,2021-08-01
74,광양시,고은지,오사보건진료소,전라남도 광양시 진월면 진월추동길 66,061-797-4094,일반의과,09:00~18:00,,2021-08-01
75,광양시,임정자,월길보건진료소,전라남도 광양시 진월면 섬진강매화로 826,061-797-4095,일반의과,09:00~18:00,,2021-08-01
76,광양시,김옥주,도사보건진료소,전라남도 광양시 다압면 다사길 37,061-797-4096,일반의과,09:00~18:00,,2021-08-01
77,광양시,박영애,금천보건진료소,전라남도 광양시 다압면 평동길 56-7,061-797-4097,일반의과,09:00~18:00,,2021-08-01
78,광양시,이정자,황길보건진료소,전라남도 광양시 하포길 77(황길동),061-797-4098,일반의과,09:00~18:00,,2021-08-01
79,광양시,이순영,태인보건진료소,전라남도 광양시 태인길 304(태인동),061-797-4099,일반의과,09:00~18:00,,2021-08-01
80,담양군,박은수,양지보건진료소,전라남도 담양군 봉산면 양지길 17,061-380-3749,내과,09:00~18:00,,2021-08-01
81,담양군,윤자희,원주보건진료소,전라남도 담양군 고서면 주평길 30,061-380-3759,내과,09:00~18:00,,2021-08-01
82,담양군,박새롬,인암보건진료소,전라남도 담양군 남면 인암길 20-9,061-380-3789,내과,09:00~18:00,,2021-08-01
83,담양군,김고은,용대보건진료소,전라남도 담양군 대덕면 용대길 38,061-380-3828,내과,09:00~18:00,,2021-08-01
84,담양군,신미리,금산보건진료소,전라남도 담양군 대덕면 금산길 315,061-380-3829,내과,09:00~18:00,,2021-08-01
85,담양군,이영미,덕성보건진료소,전라남도 담양군 금성면 덕성길 48-8,061-380-3868,내과,09:00~18:00,,2021-08-01
86,담양군,조아름,외추보건진료소,전라남도 담양군 금성면 외추길 17-7,061-380-3869,내과,09:00~18:00,,2021-08-01
87,담양군,김수아,용연보건진료소,전라남도 담양군 용면 분통길 25,061-380-3889,내과,09:00~18:00,,2021-08-01
88,담양군,정세윤,복정보건진료소,전라남도 담양군 월산면 복정길 19-11,061-380-3909,내과,09:00~18:00,,2021-08-01
89,담양군,이경희,수남보건진료소,전라남도 담양군 수북면 한수동로 352-7,061-380-3929,내과,09:00~18:00,,2021-08-01
90,담양군,손민정,삼산보건진료소,전라남도 담양군 대전면 덕진옥산길 6,061-380-3949,내과,09:00~18:00,,2021-08-01
91,곡성군,허숙,압록보건진료소,전라남도 곡성군 오곡면 섬진강로 1066,061-362-0649,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
92,곡성군,염혜숙,근촌보건진료소,전라남도 곡성군 삼기면 노치로 1235,061-362-2558,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
93,곡성군,윤영숙,연반보건진료소,전라남도 곡성군 석곡면 전기길 51-6,061-362-3609,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
94,곡성군,손정실,염곡보건진료소,전라남도 곡성군 석곡면 염곡길 25,061-362-3983,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
95,곡성군,박순정,대곡보건진료소,전라남도 곡성군 목사동면 대곡당산길 10,061-362-3995,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
96,곡성군,강경,죽정보건진료소,전라남도 곡성군 목사동면 주목로 552-2,061-362-1663,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
97,곡성군,박정민,동계보건진료소,전라남도 곡성군 죽곡면 동계길 74,061-362-4735,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
98,곡성군,김나경,봉정보건진료소,전라남도 곡성군 죽곡면 봉정범계길 7,061-362-4916,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
99,곡성군,장영애,백곡보건진료소,전라남도 곡성군 고달면 고주로 242,061-362-0655,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
100,곡성군,김애희,합강보건진료소,전라남도 곡성군 옥과면 월파로 447,061-362-5927,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
101,곡성군,고영희,삼오보건진료소,전라남도 곡성군 입면 삼오삼응길 26,061-362-6541,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
102,곡성군,신민현,흥복보건진료소,전라남도 곡성군 겸면 산이재로 687,061-362-1211,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
103,곡성군,염현희,남양보건진료소,전라남도 곡성군 겸면 곡순로 1866,061-362-1174,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
104,곡성군,양혜련,봉동보건진료소,전라남도 곡성군 오산면 오산로 605-1,061-362-4397,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
105,곡성군,오선,선세보건진료소,전라남도 곡성군 오산면 작천길 17,061-362-4305,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
106,구례군,정경임,계산보건진료소,전라남도 구례군구례읍 하유길 21-29,061-780-2711,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
107,구례군,왕옥련,죽마보건진료소,전라남도 구례군문척면 죽연길 13-2,061-780-2712,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
108,구례군,왕옥련,토금보건진료소,전라남도 구례군문척면 토금길 108-1,061-780-2713,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
109,구례군,노애숙,효곡보건진료소,전라남도 구례군간전면 효죽길 1,061-780-2714,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
110,구례군,양혜경,하천보건진료소,전라남도 구례군간전면 하천길 32,061-780-2715,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
111,구례군,조현숙,내동보건진료소,전라남도 구례군토지면 피아골로 665,061-780-2716,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
112,구례군,최은정,외곡보건진료소,전라남도 구례군토지면 피아골로 7,061-780-2717,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
113,구례군,여경숙,도암보건진료소,전라남도 구례군용방면 도암1길 28,061-780-2718,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
114,구례군,서유연,이평보건진료소,전라남도 구례군산동면 이촌길 4,061-780-2719,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
115,구례군,서유연,외산보건진료소,전라남도 구례군산동면 내온길 13,061-780-2720,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
116,구례군,류솔아,원달보건진료소,전라남도 구례군산동면 달전길 14,061-780-2721,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
117,구례군,양백련,관산보건진료소,전라남도 구례군산동면 관산구산길 59-14,061-780-2722,1차진료+건강증진사업등,09:00~18:00,,2021-08-01
118,고흥군,박미영,득량보건진료소,전라남도 고흥군 도양읍 득량관선길 89-26,061-830-5130,1차진료.마을순회진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
119,고흥군,송순순,시산보건진료소,전라남도 고흥군 도양읍 시산살푸섬길 1,061-830-5131,1차진료+동네방네행복충전건강교실,09:00~18:00,유연근무제실시,2021-08-01
120,고흥군,김재숙,풍남보건진료소,전라남도 고흥군 풍양면 천마로 1497,061-830-5132,1차진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
121,고흥군,정문숙,가야보건진료소,전라남도 고흥군 도덕면 고흥만로 484,061-830-5133,1차진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
122,고흥군,장선,오천보건진료소,전라남도 고흥군 금산면 오천사당길 14-11,061-830-5134,1차진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
123,고흥군,류정란,신평보건진료소,전라남도 고흥군 금산면 평산1길14,061-830-5135,1차진료.마을순회진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
124,고흥군,이은솔,연홍보건진료소,전라남도 고흥군 금산면 연홍길 30,061-830-5136,1차진료.마을순회진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
125,고흥군,정진숙,신호보건진료소,전라남도 고흥군 도화면 문안길 217-3,061-830-5137,1차진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
126,고흥군,곽민숙,가화보건진료소,전라남도 고흥군 도화면 가화리 1121-1,061-830-5138,1차진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
127,고흥군,손현숙,발포보건진료소,전라남도 고흥군 도화면 충무사길 113,061-830-5139,1차진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
128,고흥군,최영자,지죽보건진료소,전라남도 고흥군 도화면 지호길 7-3,061-830-5140,1차진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
129,고흥군,공혜경,옥강보건진료소,전라남도 고흥군 포두면 내초안길 12,061-830-5141,1차진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
130,고흥군,황인영,남성보건진료소,전라남도 고흥군 포두면 남성3길 9,061-830-5142,1차진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
131,고흥군,조순희,송산보건진료소,전라남도 고흥군 포두면 송산길 61,061-830-5143,1차진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
132,고흥군,김은숙,오취보건진료소,전라남도 고흥군 포두면 오취길 267,061-830-5144,1차진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
133,고흥군,최문지,사양보건진료소,전라남도 고흥군 봉래면 사양선창길 69,061-830-5145,1차진료.마을순회진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
134,고흥군,추혜경,화계보건진료소,전라남도 고흥군 점암면 화전1길 21-6,061-830-5146,1차진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
135,고흥군,권미자,남열보건진료소,전라남도 고흥군 영남면 남열매뚝길 14,061-830-5147,1차진료.마을순회진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
136,고흥군,송은숙,금사보건진료소,전라남도 고흥군 영남면 사도진해안길 141,061-830-5148,1차진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
137,고흥군,김미애,백일보건진료소,전라남도 고흥군 과역면 백일길 315-30,061-830-5149,1차진료.마을순회진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
138,고흥군,위유미,노일보건진료소,전라남도 고흥군 과역면 내로당날길 3,061-830-5150,1차진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
139,고흥군,박미덕,망주보건진료소,전라남도 고흥군 남양면 망월로 89-8,061-830-5151,1차진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
140,고흥군,박현화,죽암보건진료소,전라남도 고흥군 동강면 죽암안길 59,061-830-5152,1차진료.마을순회진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
141,고흥군,민미숙,신기보건진료소,전라남도 고흥군 대서면 거북2길 8,061-830-5153,1차진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
142,고흥군,김주희,대전보건진료소,전라남도 고흥군 두원면 두원로 1168,061-830-5154,1차진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
143,고흥군,안은신,풍류보건진료소,전라남도 고흥군 두원면 풍류2길 59,061-830-5155,1차진료.마을순회진료+동네방네행복충전건강교실,09:00~18:00,,2021-08-01
144,보성군,정재원,영등보건진료소,전라남도 보성군벌교읍 남하로 490-3,061-857-0950,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
145,보성군,정지선,고상보건진료소,전라남도 보성군채동선로 766-5,061-857-2968,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
146,보성군,정지선,장암보건진료소,전라남도 보성군벌교읍 장암길 206,061-857-5356,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
147,보성군,신진아,장도보건진료소,전라남도 보성군벌교읍 장도길 204-11,061-857-5127,1차진료+건강증진사업,09:00~18:00,도서,2021-08-01
148,보성군,김자영,금호보건진료소,전라남도 보성군노동면 영구길 44-18,061-852-0026,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
149,보성군,정미숙,명봉보건진료소,전라남도 보성군 노동면 봉화길 55,061-852-0341,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
150,보성군,이윤희,용정보건진료소,전라남도 보성군 미력면 살내1길 26-12,061-852-0515,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
151,보성군,허양심,은덕보건진료소,전라남도 보성군 겸백면 은덕길 36,061-853-6733,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
152,보성군,윤정현,이동보건진료소,전라남도 보성군 율어면 배골길 46-1,061-852-7452,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
153,보성군,김선희,내동보건진료소,전라남도 보성군 문덕면 문덕내동길 31-3,061-852-1324,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
154,보성군,김도숙,용전보건진료소,전라남도 보성군 조성면 대전길 28,061-857-9812,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
155,보성군,신진아,마천보건진료소,전라남도 보성군득량면 충의로 1249,061-853-8501,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
156,보성군,박미숙,비봉보건진료소,전라남도 보성군득량면 청암길 31-10,061-853-8023,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
157,보성군,정상희,회령보건진료소,전라남도 보성군회천면 시장길 32,061-852-8440,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
158,보성군,김자영,천포보건진료소,전라남도 보성군회천면 서동지등길 21,061-852-9188,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
159,화순군,김송희,앵남리보건진료소,전라남도 화순군 화순읍 신기촌길 13,061-374-4275,1차진료+건강증진사업,09:00~18:00,,2021-08-01
160,화순군,기은지,수만리보건진료소,전라남도 화순군 화순읍 물촌길 3-1,061-372-0393,1차진료+건강증진사업,09:00~18:00,,2021-08-01
161,화순군,정미숙,동가리보건진료소,전라남도 화순군 한천면 외남로 435,061-375-6529,1차진료+건강증진사업,09:00~18:00,,2021-08-01
162,화순군,김향란,산간리보건진료소,전라남도 화순군 춘양면 산간길 52,061-372-7304,1차진료+건강증진사업,09:00~18:00,,2021-08-01
163,화순군,문미영,세청리보건진료소,전라남도 화순군 청풍면 선하동길 80,061-372-0407,1차진료+건강증진사업,09:00~18:00,,2021-08-01
164,화순군,강아미,묵곡리보건진료소,전라남도 화순군 이양면 월암길 10,061-372-3927,1차진료+건강증진사업,09:00~18:00,,2021-08-01
165,화순군,강근영,매정리보건진료소,전라남도 화순군 이양면 학포로 85,061-372-3403,1차진료+건강증진사업,09:00~18:00,,2021-08-01
166,화순군,오정숙,신성리보건진료소,전라남도 화순군 도곡면 이문동길 25,061-372-4425,1차진료+건강증진사업,09:00~18:00,,2021-08-01
167,화순군,최정순,용강리보건진료소,전라남도 화순군 도암면 중장터길 37-12,061-375-0581,1차진료+건강증진사업,09:00~18:00,,2021-08-01
168,화순군,국영희,맹리보건진료소,전라남도 화순군 맹리길 14-2,061-372-5642,1차진료+건강증진사업,09:00~18:00,,2021-08-01
169,화순군,정정애,신율리보건진료소,전라남도 화순군 동복면 신율길 37,061-372-2607,1차진료+건강증진사업,09:00~18:00,,2021-08-01
170,화순군,김재옥,다산리보건진료소,전라남도 화순군 남면 효당로 256,061-372-6815,1차진료+건강증진사업,09:00~18:00,,2021-08-01
171,화순군,김미복,무포리보건진료소,전라남도 화순군 동면 무리길 12,061-372-8481,1차진료+건강증진사업,09:00~18:00,,2021-08-01
172,장흥군,서지영,삼산보건진료소,전라남도 장흥군 관산읍 삼삼로 61,061-867-4095,1차진료+건강증진사업,09:00~18:00,,2021-08-01
173,장흥군,김선미,죽청보건진료소,전라남도 장흥군 관산읍 죽청2길 4,061-867-2376,1차진료+건강증진사업,09:00~18:00,,2021-08-01
174,장흥군,오영숙,신리보건진료소,전라남도 장흥군 대덕읍 장흥대로 76,061-867-0023,1차진료+건강증진사업,09:00~18:00,,2021-08-01
175,장흥군,이유경,상발보건진료소,전라남도 장흥군 용산면 접정남포로 945,061-863-5876,1차진료+건강증진사업,09:00~18:00,,2021-08-01
176,장흥군,김은영,수문보건진료소,전라남도 장흥군 안양면 수문1길 9,061-862-1346,1차진료+건강증진사업,09:00~18:00,,2021-08-01
177,장흥군,김기엽,장동보건진료소,전라남도 장흥군 장동면 곰치로 10,061-862-0304,1차진료+건강증진사업,09:00~18:00,,2021-08-01
178,장흥군,김령숙,봉림보건진료소,전라남도 장흥군 장평면 곸치로 845,061-862-3506,1차진료+건강증진사업,09:00~18:00,,2021-08-01
179,장흥군,정미진,부평보건진료소,전라남도 장흥군 장평면 임리어곡길 66,061-862-0677,1차진료+건강증진사업,09:00~18:00,,2021-08-01
180,장흥군,김영란,대천보건진료소,전라남도 장흥군 유치면 암천길 15-15,061-864-2543,1차진료+건강증진사업,09:00~18:00,,2021-08-01
181,장흥군,이춘자,대신보건진료소,전라남도 장흥군 회진면 회진로 877,061-867-5522,1차진료+건강증진사업,09:00~18:00,,2021-08-01
182,장흥군,배희경,삭금보건진료소,전라남도 장흥군 가학회진로 895,061-867-5543,1차진료+건강증진사업,09:00~18:00,,2021-08-01
183,강진군,최경미,단월보건진료소, 전라남도 강진군 칠량면 치산길 9,061-430-3581,1차진료+건강증진사업,09:00~18:00,,2021-08-01
184,강진군,박지현,계율보건진료소,전라남도 강진군 대구면 계율길 41,061-430-3582,1차진료+건강증진사업,09:00~18:00,,2021-08-01
185,강진군,조은경,신기보건진료소,전라남도 강진군 도암면 월곶로 278,061-430-3583,1차진료+건강증진사업,09:00~18:00,,2021-08-01
186,강진군,김미애,강정보건진료소,전라남도 강진군 도암면 지석로 460,061-430-3584,1차진료+건강증진사업,09:00~18:00,,2021-08-01
187,강진군,강서영,송천보건진료소,전라남도 강진군 신전면 운주로 331,061-430-3585,1차진료+건강증진사업,09:00~18:00,,2021-08-01
188,강진군,명미자,용상보건진료소,전라남도 강진군 작천면 열수로 58,061-430-3586,1차진료+건강증진사업,09:00~18:00,,2021-08-01
