번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),판매점영업면적,,
2077,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320194810029087500007,20190319,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 선원동 1343번지 7호,전라남도 여수시 선원4길 75 (선원동),59646,씨유 여수선원우미점,2.01903E+13,I,2019/03/21 2:21,,259488.6386,140512.1332,82.6,,
2089,안전상비의약품 판매업소,01_01_05_P,4820000,PHMH320194820026087500005,20190319,,1,영업/정상,13,영업중,,,,,,,,,"전라남도 순천시 조례1길 60, 상가동 104호 (조례동, 남양휴튼)",57947,씨유 순천조례휴튼점,2.01903E+13,I,2019/03/21 2:21,,248195.813,163132.4747,56.71,,
2116,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320194810029087500006,20190314,,1,영업/정상,13,영업중,,,,,644-7010,,59767,,전라남도 여수시 돌산읍 진두해안길 68,59767,세븐일레븐 여수진두해안점,2.02001E+13,U,2020/01/22 2:40,,267935.154,137423.271,66,,
2185,안전상비의약품 판매업소,01_01_05_P,4820000,PHMH320194820026087500003,20190201,,1,영업/정상,13,영업중,,,,,,,,,전라남도 순천시 연동남3길 20 (조례동),57970,지에스(GS)25 왕지대주점,2.01902E+13,I,2019/02/03 2:21,,248815.5151,162101.0798,,,
2213,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320194840022087500002,20190222,,1,영업/정상,13,영업중,,,,,,,,전라남도 광양시 중동 1643번지 6호,전라남도 광양시 오류3길 20 (중동),57788,미니스톱중마백운점,2.01902E+13,I,2019/02/27 2:21,,263598.749,160096.9311,195,,
2214,안전상비의약품 판매업소,01_01_05_P,4930000,PHMH320194930013087500001,20190228,,1,영업/정상,13,영업중,,,,,,,,전라남도 해남군 옥천면 영춘리 523번지 2호 성모의원,"전라남도 해남군 옥천면 해남로 394, 성모의원 1층",59021,지에스25 옥천다나점,2.01902E+13,I,2019/03/02 2:21,,167519.8494,118803.149,138.4,,
2290,안전상비의약품 판매업소,01_01_05_P,4980000,PHMH320194980074087500002,20190325,,1,영업/정상,13,영업중,,,,,061-394-9990,,,전라남도 장성군 북이면 모현리 산 90번지 1호 백양사휴게소(하),"전라남도 장성군 북이면 호남고속도로 107, 백양사휴게소(하) 1층",57202,대보디앤에스(주)백양사(하)휴게소,2.02205E+13,U,2022/05/08 2:40,,182226.8574,210518.9177,10,,
2292,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320194810029087500008,20190327,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 안산동 470번지 1호,전라남도 여수시 도원로 142 (안산동),59661,지에스25 여수광주방송점,2.01903E+13,I,2019/03/29 2:20,,259143.222,140428.2092,82.6,,
2391,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320194800026087500001,20190108,,1,영업/정상,13,영업중,,,,,,,,전라남도 목포시 상동 843번지 4호,전라남도 목포시 백년대로323번길 33 (상동),58665,이마트24목포비파점,2.01901E+13,I,2019/01/11 2:20,,146930.4109,145598.0212,84,,
2451,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320194810029087500009,20190328,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 소라면 죽림리 1226번지 2호,전라남도 여수시 소라면 죽림로 21,59655,씨유 여수죽림사랑점,2.01903E+13,I,2019/03/30 2:20,,258476.3391,140653.4296,33.87,,
2530,안전상비의약품 판매업소,01_01_05_P,4920000,PHMH320224920011087500001,20220419,,1,영업/정상,13,영업중,,,,,,,,전라남도 강진군 강진읍 동성리 263-9,전라남도 강진군 강진읍 향교로 52,59222,씨유 강진LH점,2.02204E+13,I,2022/04/22 0:22,,179245.4038,127326.3591,93,,
2556,안전상비의약품 판매업소,01_01_05_P,4900000,PHMH320224900013087500001,20220425,,1,영업/정상,13,영업중,,,,,,,,전라남도 화순군 화순읍 교리 405 힐스테이트 화순,"전라남도 화순군 화순읍 칠충로 141-7, 114동 107, 108호 (힐스테이트 화순)",58120,씨유 화순힐스테이트점,2.02204E+13,I,2022/04/23 0:22,,,,91,,
2597,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320224800026087500009,20220422,,1,영업/정상,13,영업중,,,,,,,,전라남도 목포시 산정동 326-10 근화그린맨션,"전라남도 목포시 산정로 274, 근화그린맨션 상가1동 1층 (산정동)",58613,씨유 목포근화황금점,2.02204E+13,I,2022/04/27 0:22,,143835.5021,146054.1006,3.3,,
4518,안전상비의약품 판매업소,01_01_05_P,4880000,PHMH320194880017087500002,20190328,,1,영업/정상,13,영업중,,,,,,,,,전라남도 고흥군 고흥읍 고흥로 1842-1,59537,씨유 고흥삼거리점,2.01903E+13,I,2019/03/30 2:20,,226527.5134,123984.8936,,,
4557,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320194810029087500005,20190218,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 신기동 140번지 신화아파트,"전라남도 여수시 선소로 72-28 (신기동, 신화아파트)",59690,씨유 여수신화점,2.01902E+13,I,2019/02/20 2:21,,261054.076,139956.1961,82.5,,
4602,안전상비의약품 판매업소,01_01_05_P,4980000,PHMH320194980074087500001,20190307,,1,영업/정상,13,영업중,,,,,394-8909,,,,전라남도 장성군 삼계면 능성로 558,57238,씨유장성상무대점,2.01903E+13,I,2019/03/09 2:21,,169867.452,195186.8757,119.16,,
4650,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320194810029087500010,20190403,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 덕충동 2042번지 1호,"전라남도 여수시 박람회길 38, 107호 (덕충동)",59723,지에스25 여수동성점,2.01904E+13,I,2019/04/05 2:20,,268030.1371,139602.3009,60,,
4676,안전상비의약품 판매업소,01_01_05_P,4850000,PHMH320194850015087500001,20190415,,1,영업/정상,13,영업중,,,,,061-381-5320,,,전라남도 담양군 담양읍 백동리 278번지 4호,전라남도 담양군 담양읍 죽향대로 1199,57348,CU담양백동점,2.01907E+13,U,2019/07/26 2:40,,198307.7207,201506.013,83,,
4677,안전상비의약품 판매업소,01_01_05_P,4820000,PHMH320194820026087500006,20190415,,1,영업/정상,13,영업중,,,,,061-741-7080,,,전라남도 순천시 덕월동 1372번지 3호,전라남도 순천시 우석로 37 (덕월동),57997,신선마트,2.01904E+13,I,2019/04/17 2:20,,244675.1395,159361.0291,231,,
4691,안전상비의약품 판매업소,01_01_05_P,4820000,PHMH320194820026087500008,20190424,,1,영업/정상,13,영업중,,,,,,,,전라남도 순천시 조례동 1721번지 1호,"전라남도 순천시 유동1길 26, 1층 101호 (조례동)",57950,지에스25 조례W센트럴점,2.01904E+13,I,2019/04/26 2:20,,247221.0339,161795.8566,132,,
4699,안전상비의약품 판매업소,01_01_05_P,4900000,PHMH320194900013087500001,20190418,,1,영업/정상,13,영업중,,,,,375-2846,,,전라남도 화순군 화순읍 교리 224번지 5호,"전라남도 화순군 화순읍 자치샘로 16, 1층",58120,씨유(CU) 화순그랜드점,2.02205E+13,U,2022/05/04 2:40,,198368.6817,173718.9155,3.3,,
4711,안전상비의약품 판매업소,01_01_05_P,5010000,PHMH320195010026087500001,20190424,,1,영업/정상,13,영업중,,,,,612460011,,,,전라남도 신안군 지도읍 해제지도로 1295,58813,CU신안조선점,2.01904E+13,I,2019/04/26 2:20,,127421.5982,173509.9085,115,,
4737,안전상비의약품 판매업소,01_01_05_P,4970000,PHMH320194970018087500001,20190418,,1,영업/정상,13,영업중,,,,,,,,전라남도 영광군 영광읍 단주리 346번지 16호,전라남도 영광군 영광읍 옥당로 208,57036,미니스톱 영광스카이점,2.01904E+13,I,2019/04/26 2:20,,154412.1921,198011.8066,83.34,,
4738,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320194840022087500004,20190409,,1,영업/정상,13,영업중,,,,,,,,전라남도 광양시 마동 1037번지 5호,전라남도 광양시 진등5길 34 (마동),57773,GS25 광양송보점,2.01904E+13,U,2019/04/26 2:40,,263141.3662,162000.2773,,,
4758,안전상비의약품 판매업소,01_01_05_P,4820000,PHMH320194820026087500007,20190423,,1,영업/정상,13,영업중,,,,,,,,,"전라남도 순천시 장승길 40, 102호 (조례동, 조례현대아파트)",57948,지에스25 조례현대점,2.01904E+13,I,2019/04/25 2:20,,247747.5606,162185.1742,86,,
4765,안전상비의약품 판매업소,01_01_05_P,4820000,PHMH320194820026087500009,20190501,,1,영업/정상,13,영업중,,,,,061-782-1154,,,전라남도 순천시 황전면 선변리 595번지 8호 황전(전주)방향 휴게소,"전라남도 순천시 황전면 순천완주고속도로 28, 황전(전주)방향 휴게소",57900,황전(전주방향)휴게소,2.01905E+13,I,2019/05/03 2:20,,241419.5069,183896.9202,16,,
4766,안전상비의약품 판매업소,01_01_05_P,4820000,PHMH320194820026087500010,20190501,,1,영업/정상,13,영업중,,,,,061-782-1135,,,전라남도 순천시 황전면 선변리 560번지 7호 황전휴게소,"전라남도 순천시 황전면 순천완주고속도로 25, 황전휴게소",57900,황전(순천방향)휴게소,2.01905E+13,I,2019/05/03 2:20,,241363.55,183351.9763,16,,
4836,안전상비의약품 판매업소,01_01_05_P,4820000,PHMH320194820026087500013,20190603,,1,영업/정상,13,영업중,,,,,,,,전라남도 순천시 장천동 31번지 6호,전라남도 순천시 장천2길 13 (장천동),57956,(주)코리아세븐 순천사랑점,2.02206E+13,U,2022/06/11 2:40,,244640.2467,161200.0337,3.3,,
4847,안전상비의약품 판매업소,01_01_05_P,4820000,PHMH320194820026087500011,20190522,,1,영업/정상,13,영업중,,,,,,,,전라남도 순천시 연향동 1463번지 1호 동광빌딩,"전라남도 순천시 기적의도서관길 24, 1층 (연향동)",57986,미니스톱금당2점,2.01905E+13,I,2019/05/26 2:20,,247887.7795,161132.9724,115,,
4848,안전상비의약품 판매업소,01_01_05_P,4950000,PHMH320194950018087500007,20190530,,1,영업/정상,13,영업중,,,,,,,,전라남도 무안군 무안읍 교촌리 1039번지 광명 샤인빌,"전라남도 무안군 무안읍 창포로 16, 상가동 101~103호 (광명 샤인빌)",58526,지에스(GS)25 무안광명점,2.01906E+13,I,2019/06/05 2:21,,151688.5977,165765.8819,94.34,,
4856,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320194840022087500008,20190531,,1,영업/정상,13,영업중,,,,,,,,전라남도 광양시 마동 1161번지 광양중마 우림필유 아파트,"전라남도 광양시 눈소4길 65, 103,104호 (마동, 광양중마 우림필유 아파트)",57798,씨유광양중마우림정,2.01906E+13,I,2019/06/05 2:21,,264627.2267,160363.8051,,,
4972,안전상비의약품 판매업소,01_01_05_P,4880000,PHMH320194880017087500003,20190411,,1,영업/정상,13,영업중,,,,,,,,전라남도 고흥군 도화면 당오리 646번지 13호 도화공영터미널,"전라남도 고흥군 도화면 중심길 9, 도화공영터미널",59529,cu 도화소설점,2.02109E+13,U,2021/09/04 2:40,,229078.8617,112378.1462,66,,
4979,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320194810029087500018,20190528,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 웅천동 1642번지,"전라남도 여수시 웅천중앙로 27, 제상가동 103 104,105호 (웅천동)",59691,지에스(GS)25 지웰2차점,2.01905E+13,I,2019/05/30 2:20,,261294.0786,139267.2692,77.22,,
5006,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320194840022087500005,20190411,,1,영업/정상,13,영업중,,,,,,,,전라남도 광양시 광양읍 덕례리 1727번지 8호,전라남도 광양시 광양읍 대림오성로 138,57762,씨유 광양덕례퍼플점,2.01904E+13,U,2019/04/26 2:40,,252591.2897,163019.9115,125.03,,
5007,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320194840022087500006,20190411,,1,영업/정상,13,영업중,,,,,,,,전라남도 광양시 광양읍 덕례리 1784번지 11호,전라남도 광양시 광양읍 갈티로 15,57760,세븐일레븐 광양덕례점,2.01904E+13,U,2019/04/26 2:40,,251587.0634,163129.1855,72,,
5065,안전상비의약품 판매업소,01_01_05_P,4900000,PHMH320194900013087500002,20190426,,1,영업/정상,13,영업중,,,,,,,,전라남도 화순군 화순읍 훈리 38번지 1호 이지오피스텔,"전라남도 화순군 화순읍 진각로 144, 이지오피스텔 1층 100호",58113,씨유(CU)화순군청점,2.01904E+13,I,2019/04/28 2:20,,198764.1296,173864.3474,606,,
5071,안전상비의약품 판매업소,01_01_05_P,4990000,PHMH320194990020087500001,20190517,,1,영업/정상,13,영업중,,,,,,,,,전라남도 완도군 완도읍 장보고대로286번길 3,59122,세븐일레븐 완도주도점,2.01905E+13,I,2019/05/19 2:20,,,,86,,
5079,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320194800026087500003,20190426,,1,영업/정상,13,영업중,,,,,,,,전라남도 목포시 연산동 1260번지 6호,"전라남도 목포시 원산중앙로 89, 1층 101-102호 (연산동)",58632,미니스톱 연산주공점,2.01904E+13,I,2019/05/01 2:20,,143231.3769,146099.6518,1.1,,
5153,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320194810029087500013,20190507,,1,영업/정상,13,영업중,,,,,061-661-1040,,,전라남도 여수시 덕충동 2035번지 1호,"전라남도 여수시 덕충안길 88, 1층 (덕충동)",59723,씨유 여수엑스포점,2.01905E+13,I,2019/05/10 2:20,,268179.4593,139706.4444,76,,
5154,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320194810029087500014,20190507,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 평여동 62번지 롯데첨단소재(주),"전라남도 여수시 여수산단로 334-27, 롯데첨단소재(주) 2층 (평여동)",59616,(주)코리아세븐 여수롯데첨단소재점,2.01905E+13,I,2019/05/10 2:20,,261836.8652,146368.0895,69.4,,
5190,안전상비의약품 판매업소,01_01_05_P,4820000,PHMH320194820026087500012,20190530,,1,영업/정상,13,영업중,,,,,,,,전라남도 순천시 연향동 1628번지 호반리젠시빌,"전라남도 순천시 도장길 50, 상가동 102,103호 (연향동, 호반리젠시빌)",58004,CU순천연향우주점,2.01905E+13,I,2019/06/01 2:21,,248404.4735,160260.5013,3.3,,
5212,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320194810029087500011,20190417,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 학동 95번지 5호,전라남도 여수시 시청동3길 24-8 (학동),59689,미니스톱 여천중앙점,2.01904E+13,I,2019/04/19 2:20,,260755.8108,140209.1724,69.4,,
5223,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320194800026087500009,20190610,,1,영업/정상,13,영업중,,,,,,,,전라남도 목포시 용해동 126번지 신안인스빌아파트,"전라남도 목포시 삼학로 363, 1층 104호 (용해동, 신안인스빌아파트)",58702,씨유 목포인스빌점,2.01906E+13,I,2019/06/12 2:21,,145722.1898,145095.3848,70.03,,
5281,안전상비의약품 판매업소,01_01_05_P,4980000,PHMH320194980074087500003,20190405,,1,영업/정상,13,영업중,,,,,,,,전라남도 장성군 장성읍 영천리 1511번지 13호,전라남도 장성군 장성읍 단풍로 48,57216,세븐일레븐 장성단풍점,2.01904E+13,I,2019/04/07 2:20,,180957.9476,201029.2823,85,,
5287,안전상비의약품 판매업소,01_01_05_P,4830000,PHMH320134830021087500006,20130219,,1,영업/정상,13,영업중,,,,,061-332-3383,,,전라남도 나주시 삼영동 161번지 4호,전라남도 나주시 영산포로 263 (삼영동),58264,미니스톱 나주부영점,2.01904E+13,I,2019/04/04 2:20,,173218.1564,167322.9042,6.6,,
5297,안전상비의약품 판매업소,01_01_05_P,4910000,PHMH320194910015087500001,20190401,,1,영업/정상,13,영업중,,,,,,,,전라남도 장흥군 장흥읍 건산리 720번지 31호,전라남도 장흥군 장흥읍 건산로 49,59324,씨유(CU)장흥우량점,2.0211E+13,U,2021/10/29 2:40,,191447.9374,131393.4256,0,,
5343,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320194800026087500006,20190610,,1,영업/정상,13,영업중,,,,,,,,전라남도 목포시 옥암동 1256번지,"전라남도 목포시 남악1로52번나길 6, 1층 101,102호 (옥암동)",58676,(주)코리아세븐 목포옥암사랑점,2.01906E+13,I,2019/06/13 2:21,,149615.6579,145992.4719,39,,
5344,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320194800026087500008,20190610,,1,영업/정상,13,영업중,,,,,061-273-3639,,,전라남도 목포시 산정동 1675번지 8호,"전라남도 목포시 원산로 45, 1층 (산정동)",58714,씨유 목포보건소점,2.01906E+13,I,2019/06/13 2:21,,142667.8241,145251.7061,99,,
5345,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320194800026087500010,20190610,,1,영업/정상,13,영업중,,,,,,,,전라남도 목포시 상동 897번지,"전라남도 목포시 백년대로274번길 7, 1층 (상동)",58696,(주)코리아세븐 목포중앙여중점,2.01906E+13,I,2019/06/13 2:21,,146724.2224,144982.3309,63,,
5352,안전상비의약품 판매업소,01_01_05_P,4820000,PHMH320194820026087500014,20190611,,1,영업/정상,13,영업중,,,,,,,,전라남도 순천시 조례동 563번지 2호 은혜의료기,"전라남도 순천시 조례1길 21, 102호 (조례동)",57947,미니스톱순천병원점,2.01906E+13,I,2019/06/13 2:21,,247769.0141,162550.6509,3.3,,
5401,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320194810029087500020,20190621,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 화장동 739번지 15호,전라남도 여수시 화산1길 34-12 (화장동),59641,지에스(GS)25여수무선초점,2.01906E+13,I,2019/06/23 2:21,,259075.4462,141777.8556,65,,
5427,안전상비의약품 판매업소,01_01_05_P,4830000,PHMH320194830021087500003,20190523,,1,영업/정상,13,영업중,,,,,061-332-1889,,,전라남도 나주시 빛가람동 200번지 중흥s클래스 메가티움 2차,"전라남도 나주시 상야3길 8, 중흥s클래스 메가티움 2차 105호 (빛가람동)",58217,알리바이 메가티움점,2.02206E+13,U,2022/06/04 2:40,,180794.6302,169351.3293,1,,
5428,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320194810029087500017,20190523,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 웅천동 1888번지 1호 여수 웅천 꿈에그린 1단지,"전라남도 여수시 웅천남8로 24, 104동 148,149호 (웅천동, 여수 웅천 꿈에그린 1단지)",59792,지에스25 웅천꿈에그린점,2.01905E+13,I,2019/05/25 2:20,,262196.0855,138091.6187,59.4,,
5455,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320194800026087500005,20190514,,1,영업/정상,13,영업중,,,,,,,,전라남도 목포시 상동 1139번지 21호,"전라남도 목포시 평화로83번길 5, 1층 (상동)",58747,GS25 목포평화광장점,2.01907E+13,U,2019/08/01 2:40,,148064.1287,144485.0493,,,
5483,안전상비의약품 판매업소,01_01_05_P,4820000,PHMH320224820026087500012,20220419,,1,영업/정상,13,영업중,,,,,,,,전라남도 순천시 승주읍 서평리 426-3,전라남도 순천시 승주읍 선암사길 3,57908,씨유 승주사랑방점,2.02204E+13,I,2022/04/21 0:22,,235271.2296,168328.3062,149,,
6733,안전상비의약품 판매업소,01_01_05_P,4900000,PHMH320174900013087500005,20170629,,1,영업/정상,13,영업중,,,,,061-375-6889,,,,"전라남도 화순군 화순읍 서양로 470, 1층",58105,씨유 화순만연점,2.02201E+13,U,2022/01/21 2:40,,198992.9585,174383.8781,73,,
6960,안전상비의약품 판매업소,01_01_05_P,4930000,PHMH320154930013087500001,20150204,,1,영업/정상,13,영업중,,,,,061-534-0748,,,,전라남도 해남군 화원면 청용길 31,59002,CU해남청용점,2.01502E+13,I,2018/08/31 23:59,,138466.3497,130487.252,92,,
6961,안전상비의약품 판매업소,01_01_05_P,4930000,PHMH320184930013087500004,20180426,,1,영업/정상,13,영업중,,,,,,,,,"전라남도 해남군 송지면 산정길 26, 라인소주방",59063,세븐일레븐 해남송지산정점,2.01804E+13,I,2018/08/31 23:59,,155766.6253,97157.97496,,,
6987,안전상비의약품 판매업소,01_01_05_P,4930000,PHMH320174930013087500005,20170515,,1,영업/정상,13,영업중,,,,,535-2436,,,,전라남도 해남군 송지면 땅끝해안로 1796-4 (송림상회),59065,이마트24 해남땅끝점,2.02206E+13,U,2022/06/09 2:40,,155568.8386,91387.75487,51,,
8626,안전상비의약품 판매업소,01_01_05_P,4930000,PHMH320194930013087500002,20190624,,1,영업/정상,13,영업중,,,,,,,,전라남도 해남군 계곡면 성진리 91번지 2호 계곡다방,전라남도 해남군 계곡면 해남로 1439,59018,세븐일레븐 해남흑석점,2.01906E+13,I,2019/06/26 2:21,,168665.0962,127503.2971,92.4,,
8630,안전상비의약품 판매업소,01_01_05_P,4900000,PHMH320194900013087500003,20190624,,1,영업/정상,13,영업중,,,,,,,,전라남도 화순군 화순읍 삼천리 824번지 1호,전라남도 화순군 화순읍 쌍충로 12-1,58136,지에스25 화순산이고운점,2.01906E+13,I,2019/06/26 2:21,,198279.6697,172654.3184,3.3,,
8653,안전상비의약품 판매업소,01_01_05_P,4970000,PHMH320194970018087500003,20190625,,1,영업/정상,13,영업중,,,,,,,,전라남도 영광군 영광읍 도동리 111번지 10호,전라남도 영광군 영광읍 중앙로3길 3,57046,CU영광읍점,2.01906E+13,I,2019/06/27 2:21,,155549.1544,197245.4273,82.5,,
8664,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320194810029087500016,20190521,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 웅천동 1889번지 1호 여수 웅천 꿈에그린 2단지,"전라남도 여수시 웅천남8로 23 (웅천동, 여수 웅천 꿈에그린 2단지)",59792,지에스25 웅천한화점,2.01905E+13,I,2019/05/24 2:20,,262106.5592,138156.5565,94.57,,
8682,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320194810029087500022,20190626,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 신기동 90번지 롯데첨단소재(주),"전라남도 여수시 새터로 6-1, 롯데첨단소재(주) 19동 1층 (신기동)",59684,세븐일레븐 여수첨단소재사택점,2.01906E+13,I,2019/06/28 2:21,,261821.9155,140094.4604,59.5,,
8720,안전상비의약품 판매업소,01_01_05_P,4820000,PHMH320194820026087500016,20190624,,1,영업/정상,13,영업중,,,,,,,,전라남도 순천시 가곡동 972번지 가곡시영맨션,"전라남도 순천시 가곡길 95, 1층 1,2호 (가곡동, 가곡시영맨션)",57923,지에스25 가곡시영점,2.01906E+13,I,2019/06/26 2:21,,243855.0464,164646.6722,3.3,,
8752,안전상비의약품 판매업소,01_01_05_P,4950000,PHMH320194950018087500006,20190531,,1,영업/정상,13,영업중,,,,,,,,전라남도 무안군 삼향읍 남악리 1497번지,"전라남도 무안군 삼향읍 남악4로82번길 19, 104,105호",58567,GS25 남악베아체점,2.01906E+13,U,2019/06/05 2:40,,151256.996,146185.0002,3.3,,
8757,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320194810029087500021,20190624,,1,영업/정상,13,영업중,,,,,061-642-2288,,,,전라남도 여수시 돌산읍 돌산로 3169-27,59771,세븐일레븐 여수비치리조트점,2.01906E+13,I,2019/06/26 2:21,,,,45,,
8827,안전상비의약품 판매업소,01_01_05_P,4930000,PHMH320194930013087500005,20190924,,1,영업/정상,13,영업중,,,,,,,,전라남도 해남군 삼산면 평활리 884번지 8호 포근한민박,"전라남도 해남군 삼산면 고산로 514, 미니스톱 해남삼산점 2층층",59047,미니스톱 해남삼산점,2.01909E+13,I,2019/09/28 2:22,,164034.8316,113790.2693,,,
