연번,시군명,기관장,기관명,소재지 (도로명 주소),전화번호,진료과목,진료시간,비고,데이터기준일자
19,순천시,양선길,별량보건지소,전라남도 순천시 별량면 별량장길 25,061-749-6033,양방+치과,09:00~18:00,육지,2021-08-01
20,순천시,양선길,상사보건지소,전라남도 순천시 상사면 상사초등길 36,061-749-6036,양방,09:00~18:00,육지,2021-08-01
21,순천시,양선길,황전보건지소,전라남도 순천시 황전면 백야중길 12,061-749-6040,양방+한방+치과,09:00~18:00,육지,2021-08-01
22,순천시,양선길,월등보건지소,전라남도 순천시 월등면 월등로 571,061-749-6044,양방+한방,09:00~18:00,육지,2021-08-01
23,나주시,김영식,중부보건지소,전라남도 나주시 금성관길 9,061-333-6161,외과+내과+소아과+한의과+물리치료,09:00~18:00,육지,2021-08-01
24,나주시,김영식,세지보건지소,전라남도 나주시세지면 동창로130-11,061-331-5861,외과+내과+소아과+치과+물리치료,09:00~18:00,육지,2021-08-01
25,나주시,김영식,왕곡보건지소,전라남도 나주시왕곡면 터진목길 8,061-335-8796,외과+내과+소아과,09:00~18:00,육지,2021-08-01
26,나주시,김영식,반남보건지소,전라남도 나주시반남면 고분로 594-7,061-336-3862,외과+내과+소아과+한의과+물리치료,09:00~18:00,육지,2021-08-01
27,나주시,김영식,공산보건지소,전라남도 나주시공산면 공산로 113-2,061-335-3028,외과+내과+소아과+한의과+물리치료,09:00~18:00,육지,2021-08-01
28,나주시,김영식,동강보건지소,전라남도 나주시동강면 인동길 28,061-335-4741,외과+내과+소아과+한의과,09:00~18:00,육지,2021-08-01
29,나주시,김영식,다시보건지소,전라남도 나주시다시면 다시로 175-24,061-335-3863,외과+내과+소아과+치과+물리치료,09:00~18:00,육지,2021-08-01
30,나주시,김영식,문평보건지소,전라남도 나주시문평면 체암로 289,061-336-3864,외과+내과+소아과+한의과+물리치료,09:00~18:00,육지,2021-08-01
31,나주시,김영식,노안보건지소,전라남도 나주시노안면 금산로 14,061-335-3865,외과+내과+소아과+한의과,09:00~18:00,육지,2021-08-01
32,나주시,김영식,금천보건지소,전라남도 나주시금천면 금영로 934,061-331-9995,외과+내과+소아과,09:00~18:00,육지,2021-08-01
33,나주시,김영식,산포보건지소,전라남도 나주시산포면 산포로 468-15,061-337-3866,외과+내과+소아과+한의과+물리치료,09:00~18:00,육지,2021-08-01
34,나주시,김영식,다도보건지소,전라남도 나주시다도면 다도로 759,061-337-3867,외과+내과+소아과+한의과+물리치료,09:00~18:00,육지,2021-08-01
35,나주시,김영식,봉황보건지소,전라남도 나주시봉황면 죽석길 1,061-331-8713,외과+내과+소아과+치과,09:00~18:00,육지,2021-08-01
36,광양시,박주필,중마통합보건지소,전라남도 광양시 중동로 42(중동),061-797-4063,일반의과+치과+한의과,09:00~18:00,육지,2021-08-01
37,광양시,박주필,광양시도시보건지소,전라남도 광양시 담안2길 16-15(태인동),061-797-4821,일반의과+치과,09:00~18:00,육지,2021-08-01
38,광양시,박주필,봉강보건지소,전라남도 광양시 봉강면 비봉길 1,061-797-4080,일반의과+한의과,09:00~18:00,육지,2021-08-01
39,광양시,박주필,옥룡보건지소,전라남도 광양시 옥룡면 신재로 615,061-797-4081,일반의과+한의과,09:00~18:00,육지,2021-08-01
40,광양시,박주필,옥곡보건지소,전라남도 광양시 옥곡면 옥진로 618,061-797-4082,일반의과+치과,09:00~18:00,육지,2021-08-01
41,광양시,박주필,진상보건지소,전라남도 광양시 진상면 신시길 232,061-797-4083,일반의과+한의과,09:00~18:00,육지,2021-08-01
42,광양시,박주필,진월보건지소,전라남도 광양시 진월면 선소중앙길 32,061-797-4084,일반의과+한의과,09:00~18:00,육지,2021-08-01
43,광양시,박주필,다압보건지소,전라남도 광양시 다압면 섬진강매화로 2147,061-797-4085,일반의과+한의과,09:00~18:00,육지,2021-08-01
44,담양군,김순복,봉산보건지소,전라남도 담양군 봉산면 신학길 8,061-380-3601,내과+외과+가정의학과,09:00~18:00,육지,2021-08-01
45,담양군,김순복,고서보건지소,전라남도 담양군 고서면 원등1길 11,061-380-3606,내과+외과+한의과,09:00~18:00,육지,2021-08-01
46,담양군,김순복,남면보건지소,전라남도 담양군 남면 가사문학로 1143-17,061-380-3611,내과+외과+치과,09:00~18:00,육지,2021-08-01
47,담양군,김순복,창평보건지소,전라남도 담양군 창평면 의병로 118,061-380-3618,내과+외과+가정의학과,09:00~18:00,육지,2021-08-01
48,담양군,김순복,대덕보건지소,전라남도 담양군 대덕면 창평현로 903,061-380-3621,내과+외과+가정의학과,09:00~18:00,육지,2021-08-01
49,담양군,김순복,무정보건지소,전라남도 담양군 무정면 술지2길 20-10,061-380-3627,내과+외과+한의과,09:00~18:00,육지,2021-08-01
50,담양군,김순복,금성보건지소,전라남도 담양군 금성면 석현길 10-7,061-380-3632,내과+외과+한의과,09:00~18:00,육지,2021-08-01
51,담양군,김순복,용면보건지소,전라남도 담양군 용면 추월산로 369,061-380-3637,내과+외과+한의과,09:00~18:00,육지,2021-08-01
52,담양군,김순복,월산보건지소,전라남도 담양군 월산면 도개길 15-36,061-380-3643,내과+외과+한의과,09:00~18:00,육지,2021-08-01
53,담양군,김순복,수북보건지소,전라남도 담양군 수북면 추성1로 705,061-380-3650,내과+외과+재활의학과+치과,09:00~18:00,육지,2021-08-01
54,담양군,김순복,대전보건지소,전라남도 담양군 대전면 대치8길 21-5,061-380-3667,내과+외과+가정의학과,09:00~18:00,육지,2021-08-01
55,곡성군,임인동,오곡보건지소,전라남도 곡성군 오곡면 기차마을로 120,061-363-2657,의과+한의과,09:00~18:00,육지,2021-08-01
56,곡성군,임인동,삼기보건지소,전라남도 곡성군 삼기면 원등1길 65,061-362-2557,의과+한의과,09:00~18:00,육지,2021-08-01
57,곡성군,임인동,석곡보건지소,전라남도 곡성군 석곡면 석곡로 79,061-363-0903,의과+한의과,09:00~18:00,육지,2021-08-01
58,곡성군,임인동,목사동보건지소,전라남도 곡성군 목사동면 평리 고두길 58,061-362-1525,의과+한의과,09:00~18:00,육지,2021-08-01
59,곡성군,임인동,죽곡보건지소,전라남도 곡성군 죽곡면 오죽로 5,061-362-4734,의과+한의과,09:00~18:00,육지,2021-08-01
60,곡성군,임인동,고달보건지소,전라남도 곡성군 곡달면 목동1길 16,061-362-0333,의과+한의과,09:00~18:00,육지,2021-08-01
61,곡성군,임인동,옥과통합보건지소,전라남도 곡성군 옥과면 리문 6길 25,061-362-5809,의과+치과,09:00~18:00,육지,2021-08-01
62,곡성군,임인동,입면보건지소,전라남도 곡성군 입면 금산택촌길 6,061-362-6102,의과+한의과,09:00~18:00,육지,2021-08-01
63,구례군,김형진,문척보건지소,전라남도 구례군문척면 수달생태로 281,061-780-2050,의과,09:00~18:00,육지,2021-08-01
64,구례군,김형진,간전보건지소,전라남도 구례군간전면 안음길 3,061-780-2052,의과+한의과,09:00~18:00,육지,2021-08-01
65,구례군,김형진,토지보건지소,전라남도 구례군토지면 섬진강대로 5039,061-780-2057,의과+치과,09:00~18:00,육지,2021-08-01
66,구례군,김형진,마산보건지소,전라남도 구례군마산면 화엄사로 159,061-780-2059,의과+한의과,09:00~18:00,육지,2021-08-01
67,구례군,김형진,광의보건지소,전라남도 구례군광의면 철쭉동산로 14,061-780-2061,의과+한의과,09:00~18:00,육지,2021-08-01
68,구례군,김형진,용방보건지소,전라남도 구례군용방면 하용길 5,061-780-2063,의과+한의과,09:00~18:00,육지,2021-08-01
69,구례군,김형진,산동보건지소,전라남도 구례군산동면 원촌1길 13-5,061-780-2067,의과+한의과+치과,09:00~18:00,육지,2021-08-01
70,고흥군,박소언,도양읍 보건지소,전라남도 고흥군도양읍 녹동 남촌 2길 14,061-830-6745,의과+안과+한의과,09:00~18:00,육지,2021-08-01
71,고흥군,박소언,풍양면 보건지소,전라남도 고흥군풍양면 죽시장터길 3,061-830-6655,의과+한의과,09:00~18:00,육지,2021-08-01
72,고흥군,박소언,도덕면 보건지소,전라남도 고흥군도덕면 고흥로 491,061-830-6656,의과한의과,09:00~18:00,육지,2021-08-01
73,고흥군,박소언,금산면 보건지소,전라남도 고흥군금산면 거금중앙길 86-4,061-830-6657,의과+한의과+치과,09:00~18:00,육지,2021-08-01
74,고흥군,박소언,도화면 보건지소,전라남도 고흥군도화면 도화로 502,061-830-6658,의과+한의과,09:00~18:00,육지,2021-08-01
75,고흥군,박소언,포두면 보건지소,전라남도 고흥군포두면 우주로 597,061-830-6659,의과+한의과,09:00~18:00,육지,2021-08-01
76,고흥군,박소언,봉래면 보건지소,전라남도 고흥군봉래면 축정1길 16,061-830-6775,의과+한의과+치과,09:00~18:00,육지,2021-08-01
77,고흥군,박소언,동일면 보건지소,전라남도 고흥군동일면 양화길 10,061-830-6661,의과.한의과,09:00~18:00,육지,2021-08-01
78,고흥군,박소언,점암면 보건지소,전라남도 고흥군점암면 점암학교길 28,061-830-6662,의과.한의과,09:00~18:00,육지,2021-08-01
79,고흥군,박소언,영남면 보건지소,전라남도 고흥군영남면 해맞이로 10,061-830-6663,의과.한의과,09:00~18:00,육지,2021-08-01
80,고흥군,박소언,과역면 보건지소,전라남도 고흥군과역면 송학큰길52-1,061-830-6664,의과,09:00~18:00,육지,2021-08-01
81,고흥군,박소언,남양면 보건지소,전라남도 고흥군남양면 남양로 26,061-830-6665,의과.한의과,09:00~18:00,육지,2021-08-01
82,고흥군,박소언,동강면 보건지소,전라남도 고흥군동강면 서민호길 5,061-830-6666,의과.한의과,09:00~18:00,육지,2021-08-01
83,고흥군,박소언,대서면 보건지소,전라남도 고흥군대서면 봉두로 579,061-830-6667,의과.한의과,09:00~18:00,육지,2021-08-01
84,고흥군,박소언,두원면 중앙 보건지소,전라남도 고흥군두원면 두원로482,061-830-6668,의과.한의과,09:00~18:00,육지,2021-08-01
85,고흥군,박소언,두원면 북부 보건지소,전라남도 고흥군두원면 두원로 896,061-830-6669,의과,09:00~18:00,육지,2021-08-01
86,보성군,박경희,벌교보건지소,전라남도 보성군 벌교읍 벌교상고길 27,061-850-8550,내과+한의과,09:00~18:00,육지,2021-08-01
87,보성군,박경희,노동보건지소,전라남도 보성군 노동면 화전길 37,061-850-8560,내과,09:00~18:00,육지,2021-08-01
88,보성군,박경희,겸백보건지소,전라남도 보성군겹백면 충의로 2458-1,061-850-8570,내과+한의과,09:00~18:00,육지,2021-08-01
89,보성군,박경희,율어보건지소,전라남도 보성군율어면 상율길 39-11,061-850-8583,내과+한의과,09:00~18:00,육지,2021-08-01
90,보성군,박경희,복내보건지소,전라남도 보성군복내면 개기로 1666-32,061-850-8590,내과+치과,09:00~18:00,육지,2021-08-01
91,보성군,박경희,문덕보건지소,전라남도 보성군문덕면 장운길 10,061-850-8600,내과,09:00~18:00,육지,2021-08-01
92,보성군,박경희,조성보건지소,전라남도 보성군조성면 조성4길 10-12,061-850-8610,내과+한의과,09:00~18:00,육지,2021-08-01
93,보성군,박경희,득량보건지소,전라남도 보성군득량면 역전길 15-11,061-850-8620,내과+치과+한의과,09:00~18:00,육지,2021-08-01
94,보성군,박경희,회천보건지소,전라남도 보성군회천면 우암1길 3,061-850-8630,내과+한의과,09:00~18:00,육지,2021-08-01
95,보성군,박경희,웅치보건지소,전라남도 보성군웅치면 일림로 989,061-850-8640,내과+한의과,09:00~18:00,육지,2021-08-01
96,화순군,김인아,한천보건지소,전라남도 화순군 한천면 죽헌로271 ,061-379-5232,내과,09:00~18:00,육지,2021-08-01
97,화순군,김인아,춘양보건지소,전라남도 화순군 춘양면 강변길 17-1,061-379-5233,내과,09:00~18:00,육지,2021-08-01
98,화순군,김인아,청풍보건지소,전라남도 화순군 청풍면 평지촌길 40,061-379-5234,내과,09:00~18:00,육지,2021-08-01
99,화순군,김인아,이양보건지소,전라남도 화순군 이양면 이양로 93,061-379-5235,내과,09:00~18:00,육지,2021-08-01
100,화순군,김인아,능주보건지소,전라남도 화순군 능주면 죽수길 73,061-379-5236,내과,09:00~18:00,육지,2021-08-01
101,화순군,김인아,도곡보건진료소지소,전라남도 화순군 도곡면 효자2길 71,061-379-5237,내과,09:00~18:00,육지,2021-08-01
102,화순군,김인아,도암보건지소,전라남도 화순군 도암면 천태로 417,061-379-5238,내과,09:00~18:00,육지,2021-08-01
103,화순군,김인아,이서보건지소,전라남도 화순군 이서면 적벽길 845,061-379-5239,내과,09:00~18:00,육지,2021-08-01
104,화순군,김인아,북면보건지소,전라남도 화순군 북면 학천길 20,061-379-5240,내과,09:00~18:00,육지,2021-08-01
105,화순군,김인아,동복보건지소,전라남도 화순군 동복면 오지호로 276,061-379-5241,내과,09:00~18:00,육지,2021-08-01
106,화순군,김인아,남면보건지소,전라남도 화순군 남면 사호로 228,061-379-5242,내과,09:00~18:00,육지,2021-08-01
107,화순군,김인아,동면보건지소,전라남도 화순군 동면 충의로 751,061-379-5243,내과,09:00~18:00,육지,2021-08-01
108,장흥군,박옥란,관산보건지소,전라남도 장흥군 관산읍 우회로 99,061-860-0642,내과+한의과,09:00~18:00,육지,2021-08-01
109,장흥군,박옥란,대덕보건지소,전라남도 장흥군 대덕읍 거정안길 10,061-860-0643,내과+한의과,09:00~18:00,육지,2021-08-01
110,장흥군,박옥란,용산보건지소,전라남도 장흥군 용산면 장흥대로 2476,061-860-0644,내과+한의과,09:00~18:00,육지,2021-08-01
111,장흥군,박옥란,안양보건지소,전라남도 장흥군 안양면 남부관광로 728,061-860-0645,내과+한의과,09:00~18:00,육지,2021-08-01
112,장흥군,박옥란,북부통합보건지소,전라남도 장흥군 장평면 장평중앙길 29,061-860-0647,내과+치과+한의과,09:00~18:00,육지,2021-08-01
113,장흥군,박옥란,유치보건지소,전라남도 장흥군 유치면 유치로 22,061-860-0648,내과+한의과,09:00~18:00,육지,2021-08-01
114,장흥군,박옥란,부산보건지소,전라남도 장흥군 부산면 부유로 31,061-860-0649,내과,09:00~18:00,육지,2021-08-01
115,장흥군,박옥란,회진보건지소,전라남도 장흥군 회진면 가학회진로 1574,061-860-0550,치과+한의과,09:00~18:00,육지,2021-08-01
116,강진군,서현미, 군동보건지소,전라남도 강진군 군동면 진흥로 324-9,061-430-5803,내과,09:00~18:00,육지,2021-08-01
117,강진군,서현미, 칠량보건지소,전라남도 강진군 칠량면 칠량로 74,061-430-5811,내과,09:00~18:00,육지,2021-08-01
118,강진군,서현미,대구보건지소,전라남도 강진군 대구면 수동길 2,061-430-5821,내과,09:00~18:00,육지,2021-08-01
119,강진군,서현미,마량보건지소,전라남도 강진군 마량면 마량4길 1,061-430-5831,내과,09:00~18:00,육지,2021-08-01
120,강진군,서현미, 도암보건지소,전라남도 강진군 도암면 중앙로 59,061-430-5841,내과,09:00~18:00,육지,2021-08-01
121,강진군,서현미,신전보건지소,전라남도 강진군 신전면 중앙로 15-4,061-430-5851,내과,09:00~18:00,육지,2021-08-01
122,강진군,서현미,성전보건지소,전라남도 강진군 성전면 예향로 12-11,061-430-5861,내과,09:00~18:00,육지,2021-08-01
123,강진군,서현미,작천보건지소,전라남도 강진군 작천면 평리3길 20,061-430-5871,내과,09:00~18:00,육지,2021-08-01
124,강진군,서현미,병영보건지소,전라남도 강진군 병영면 성남하고길 20,061-430-5881,내과,09:00~18:00,육지,2021-08-01
125,강진군,서현미,옴천보건지소,전라남도 강진군 옴천면 개산중앙길 11-12,061-430-5893,내과,09:00~18:00,육지,2021-08-01
126,해남군,조준영,삼산면보건지소,전라남도 해남군 삼산면 오소재로965,061-532-2234,내과+한방,09:00~18:00,육지,2021-08-01
127,해남군,조준영,화산면보건지소,전라남도 해남군 화산면 송평로23,061-532-6995,내과,09:00~18:00,육지,2021-08-01
128,해남군,조준영,현산면보건지소,전라남도 해남군 현산면 현산북평로113-9,061-532-1037,내과+한방,09:00~18:00,육지,2021-08-01
129,해남군,조준영,송지면보건지소,전라남도 해남군 송지면 산정1길,061-533-7703,내과,09:00~18:00,육지,2021-08-01
130,해남군,조준영,북평면보건지소,전라남도 해남군 북평면 달량진길8,061-533-4928,내과,09:00~18:00,육지,2021-08-01
131,해남군,조준영,북일면보건지소,전라남도 해남군 북일면 장고봉로11,061-533-0324,내과,09:00~18:00,육지,2021-08-01
132,해남군,조준영,옥천면보건지소,전라남도 해남군 옥천면 해강로24,061-532-2245,내과,09:00~18:00,육지,2021-08-01
133,해남군,조준영,계곡면보건지소,전라남도 해남군 계곡면 해남로1455,061-532-5985,내과+한방,09:00~18:00,육지,2021-08-01
134,해남군,조준영,마산면보건지소,전라남도 해남군 마산면 마산로445,061-532-5706,내과,09:00~18:00,육지,2021-08-01
135,해남군,조준영,황산면보건지소,전라남도 해남군 황산면 시등로70-2,061-533-5189,내과,09:00~18:00,육지,2021-08-01
136,해남군,조준영,산이면보건지소,전라남도 해남군 산이면 비석길 66,061-532-5594,내과,09:00~18:00,육지,2021-08-01
137,해남군,조준영,문내면보건지소,전라남도 해남군 문내면 동영길 12,061-532-1527,내과,09:00~18:00,육지,2021-08-01
138,해남군,조준영,화원면보건지소,전라남도 해남군 화원면 금평길32,061-532-0982,내과,09:00~18:00,육지,2021-08-01
139,영암군,이국선,삼호보건지소,전라남도 영암군삼호읍세가래1길 10-6,061-462-6532,일반진료,09:00~18:00,육지,2021-08-01
140,영암군,이국선,덕진보건지소,전라남도 영암군덕진면예향로 1731,061-470-6911,일반진료,09:00~18:00,육지,2021-08-01
141,영암군,이국선,금정보건지소,전라남도 영암군금정면용두로 11-21,061-470-6921,일반진료,09:00~18:00,육지,2021-08-01
142,영암군,이국선,신북보건지소,전라남도 영암군신북면간은정로 21-8,061-470-6933,일반진료,09:00~18:00,육지,2021-08-01
143,영암군,이국선,시종보건지소,전라남도 영암군시종면내동중앙로 41,061-470-2675,일반진료,09:00~18:00,육지,2021-08-01
144,영암군,이국선,도포보건지소,전라남도 영암군도포면호산로 39,061-470-6895,일반진료,09:00~18:00,육지,2021-08-01
145,영암군,이국선,군서보건지소,전라남도 영암군군서면도갑사로 25,061-472-0202,일반진료,09:00~18:00,육지,2021-08-01
146,영암군,이국선,서호보건지소,전라남도 영암군서호면서호로 288,061-470-6937,일반진료,09:00~18:00,육지,2021-08-01
147,영암군,이국선,학산보건지소,전라남도 영암군학산면독천로 191,061-472-1820,일반진료,09:00~18:00,육지,2021-08-01
148,영암군,이국선,미암보건지소,전라남도 영암군미암면미중1로 39,061-472-4342,일반진료,09:00~18:00,육지,2021-08-01
149,무안군,박홍근,일로보건지소,전라남도 무안군 일로읍 시장길 7,061-281-5693,의과+한의과,09:00~18:00,육지,2021-08-01
150,무안군,박홍근,삼향보건지소,전라남도 무안군 삼향읍 신기길 17,061-283-3356,의과+한의과,09:00~18:00,육지,2021-08-01
151,무안군,박홍근,몽탄보건지소,전라남도 무안군 몽탄면 몽탄로 865,061-452-3202,의과+치과+한의과,09:00~18:00,육지,2021-08-01
152,무안군,박홍근,청계보건지소,전라남도 무안군 청계면 청계중앙길 14-5,061-452-5540,의과+한의과,09:00~18:00,육지,2021-08-01
153,무안군,박홍근,현경보건지소,전라남도 무안군 현경면 현해로 84,061-452-2467,의과+한의과,09:00~18:00,육지,2021-08-01
154,무안군,박홍근,망운보건지소,전라남도 무안군 망운면 압창길 5,061-452-2351,의과+한의과,09:00~18:00,육지,2021-08-01
155,무안군,박홍근,해제보건지소,전라남도 무안군 해제면 해제중앙로 18,061-453-3474,의과+한의과,09:00~18:00,육지,2021-08-01
156,무안군,박홍근,운남보건지소,전라남도 무안군 운남면 운해로 607,061-453-1650,의과+치과+한의과,09:00~18:00,육지,2021-08-01
157,함평군,정명희,손불보건지소,전라남도 함평군 손불면 손불중앙길 45,061-320-2350,내과+한의과+보건사업등,09:00~18:00,육지,2021-08-01
158,함평군,정명희,신광보건지소,전라남도 험평군 신광면 신광중앙길 84,061-320-2355,내과+한의과+보건사업등,09:00~18:00,육지,2021-08-01
159,함평군,정명희,학교보건지소,전라남도 함평군 학교면 함영로 472,061-320-2360,내과+한의과+치과+보건사업등,09:00~18:00,육지,2021-08-01
160,함평군,정명희,엄다보건지소,전라남도 함평군 엄다면 엄다길 55,061-320-2365,내과+한의과+보건사업등,09:00~18:00,육지,2021-08-01
161,함평군,정명희,대동보건지소,전라남도 함평군 대동면 대동길 5-10,061-320-2371,내과+보건사업등,09:00~18:00,육지,2021-08-01
162,함평군,정명희,나산보건지소,전라남도 함평군 나산면 나산길 118,061-320-2375,내과+한의과+보건사업등,09:00~18:00,육지,2021-08-01
163,함평군,정명희,해보보건지소,전라남도 함평군 해보면 유정길 8-11,061-320-2380,내과+한의과+보건사업등,09:00~18:00,육지,2021-08-01
164,함평군,정명희,월야보건지소,전라남도 함평군 월야면 밀재로 1476,061-320-2385,내과+한의과+보건사업등,09:00~18:00,육지,2021-08-01
165,영광군,홍성후,백수보건지소,전라남도 영광군 백수읍 백수로 11길 16,061-350-5671,의과+한의과+치과,09:00~18:00,육지,2021-08-01
166,영광군,홍성후,대마보건지소,전라남도 영광군 대마면 동삼로 706-1 ,061-350-5672,의과+한의과,09:00~18:00,육지,2021-08-01
167,영광군,홍성후,묘량보건지소,전라남도 영광군 묘량면 묘량로 283,061-350-5673,의과+한의과,09:00~18:00,육지,2021-08-01
168,영광군,홍성후,불갑보건지소,전라남도 영광군 불갑면 함영로 4길 12,061-350-5674,의과+한의과,09:00~18:00,육지,2021-08-01
169,영광군,홍성후,군서보건지소,전라남도 영광군 군서면 군서로 2길 64 ,061-350-5675,의과+한의과,09:00~18:00,육지,2021-08-01
170,영광군,홍성후,염산보건지소,전라남도 영광군 염산면 칠산로 74,061-350-5676,의과+한의과+치과,09:00~18:00,육지,2021-08-01
171,영광군,홍성후,낙월보건지소,전라남도 영광군 낙월면 낙월길 42-2,061-350-5677,의과+한의과+치과,09:00~18:00,도서,2021-08-01
172,영광군,홍성후,군남면보건지소,전라남도 영광군 군남면 군불로 34,061-350-4752,내과+한의과+치과,09:00~18:00,도서,2021-08-01
173,장성군,이명자,진원보건지소,전라남도 장성군 진원면 덕주1길 11,061-390-6865,내과,09:00~18:00,육지,2021-08-01
174,장성군,이명자,남면보건지소,전라남도 장성군 남면 못재로 101,061-390-6895,내과+한방과,09:00~18:00,육지,2021-08-01
175,장성군,이명자,동화보건지소,전라남도 장성군 동화면 수연로 7,061-390-6925,내과,09:00~18:00,육지,2021-08-01
176,장성군,이명자,삼서보건지소,전라남도 장성군 삼서면 해삼로 1115,061-390-6955,내과+한방과,09:00~18:00,육지,2021-08-01
177,장성군,이명자,삼계보건지소,전라남도 장성군 삼계면 영장로 1585,061-390-8325,내과,09:00~18:00,육지,2021-08-01
178,장성군,이명자,서삼보건지소,전라남도 장성군 서삼면 축령로 366,061-390-7905,내과+한방과,09:00~18:00,육지,2021-08-01
179,장성군,이명자,북일보건지소,전라남도 장성군 북일면 신흥로 390,061-390-7935,내과,09:00~18:00,육지,2021-08-01
180,장성군,이명자,북이보건지소,전라남도 장성군 북이면 백양로 32,061-390-7965,내과+치과,09:00~18:00,육지,2021-08-01
181,장성군,이명자,북하보건지소,전라남도 장성군 북하면 백양로 894,061-390-7985,내과+한방과,09:00~18:00,육지,2021-08-01
182,장성군,이명자,장북보건지소,전라남도 장성군 장성읍 미락단지길 22,061-390-7680,내과+한방과,09:00~18:00,육지,2021-08-01
183,완도군,김선종,금일보건지소,전라남도 완도군 금일읍 금일로 365-1,061-550-6793,의과+치과+한의과,09:00~18:00,도서,2021-08-01
184,완도군,김선종,노화보건지소,전라남도 완도군 노화읍 노화로 813,061-550-6801,의과+소아청소년과,09:00~18:00,도서,2021-08-01
185,완도군,김선종,넙도보건지소,전라남도 완도군 노화읍 넙도길 278,061-550-6895,의과+치과+한의과,09:00~18:00,도서,2021-08-01
186,완도군,김선종,군외보건지소,전라남도 완도군 군외면 청해진서로 2100번길 58,061-550-6811,의과+한의과,09:00~18:00,육지,2021-08-01
187,완도군,김선종,신지보건지소,전라남도 완도군 신지면 신지로 567-1,061-550-6820,의과+한의과,09:00~18:00,육지,2021-08-01
188,완도군,김선종,고금보건지소,전라남도 완도군 고금면 농상도남길 23,061-550-6833,의과+한의과,09:00~18:00,육지,2021-08-01
189,완도군,김선종,약산보건지소,전라남도 완도군 약산면 약산로 407번길 3-5,061-550-6840,의과+한의과,09:00~18:00,육지,2021-08-01
190,완도군,김선종,청산보건지소,전라남도 완도군 청산면 청산로 40,061-550-6852,의과+치과+한의과,09:00~18:00,도서,2021-08-01
191,완도군,김선종,소안보건지소,전라남도 완도군 소안면 소안로 213-1,061-550-6864,의과+치과+한의과,09:00~18:00,도서,2021-08-01
192,완도군,김선종,금당보건지소,전라남도 완도군 금당면 금당로 50,061-550-6871,의과+치과+한의과,09:00~18:00,도서,2021-08-01
193,완도군,김선종,보길보건지소,전라남도 완도군 보길면 보길동로 19번길 26-2,061-550-6881,의과+치과+한의과,09:00~18:00,도서,2021-08-01
194,완도군,김선종,생일보건지소,전라남도 완도군 생일면 생일로 590-32,061-550-6891,의과+치과+한의과,09:00~18:00,도서,2021-08-01
195,진도군,김영배,군내보건지소,전라남도 진도군 군내면 금골길 38,061-542-4138,내과+한의과,09:00~18:00,육지,2021-08-01
196,진도군,김영배,고군보건지소,전라남도 진도군 고군면 진도대로 303,061-543-1071,내과+한의과,09:00~18:00,육지,2021-08-01
