fid,field_1,Unnamed: 0,약국명_y,주소_y,전화번호,좌표정보(X),좌표정보(Y),월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영,시도명,시군구명,읍면명,회관명,소재지,Latitude,Longitude,규모(제곱미터),데이터기준일자,마을회관명,소재지도로명주소,회원수,대표자,대지면적,건축면적,경로당명,주소,연락처,연번,명칭,관장,시설소재지,시설설치일,위탁 또는 운영단체,보건소명,일반전화,팩스,우편번호,도로명주소,위치,시군명,기관장,기관명,소재지 (도로명 주소),진료과목,진료시간,비고,layer,path,ringId,distance,NUMPOINTS
"755",,,,,,,,,,,,,,,,전라남도,담양군,담양읍,담주 마을회관,전라남도 담양군 담양읍 담주리 61,35.3213348,126.980544,110.4,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"756",,,,,,,,,,,,,,,,전라남도,담양군,담양읍,천변 마을회관,전라남도 담양군 담양읍 천변리 97,35.3176788,126.9799927,101.9,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"757",,,,,,,,,,,,,,,,전라남도,담양군,담양읍,금곡 마을회관,전라남도 담양군 담양읍 지침리 84-2,35.3180512,126.9845157,137.7,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"758",,,,,,,,,,,,,,,,전라남도,담양군,담양읍,객사1리 마을회관,전라남도 담양군 담양읍 객사리 158,35.3226604,126.9880094,83.85,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"759",,,,,,,,,,,,,,,,전라남도,담양군,담양읍,객사2리 마을회관,전라남도 담양군 담양읍 객사리 232-2,35.322303,126.9841953,106.1,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"760",,,,,,,,,,,,,,,,전라남도,담양군,담양읍,향백동 마을회관,전라남도 담양군 담양읍 백동1리 63-1,35.3204254,126.9818638,95.16,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"761",,,,,,,,,,,,,,,,전라남도,담양군,담양읍,내동 마을회관,전라남도 담양군 담양읍 백동2리 172-1,35.3204254,126.9818638,82.4,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"762",,,,,,,,,,,,,,,,전라남도,담양군,담양읍,신기 마을회관,전라남도 담양군 담양읍 백동3리 475,35.3204254,126.9818638,50,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"763",,,,,,,,,,,,,,,,전라남도,담양군,담양읍,미리산 마을회관,전라남도 담양군 담양읍 백동4리 244-8,35.3204254,126.9818638,48,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"764",,,,,,,,,,,,,,,,전라남도,담양군,담양읍,서당골 마을회관,전라남도 담양군 담양읍 백동6리 15-1,35.3204254,126.9818638,82.56,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"765",,,,,,,,,,,,,,,,전라남도,담양군,담양읍,남촌 마을회관,전라남도 담양군 담양읍 남산1리 170-2,35.3204254,126.9818638,65.9,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"766",,,,,,,,,,,,,,,,전라남도,담양군,담양읍,동정자 마을회관,전라남도 담양군 담양읍 남산2리 50-2,35.3204254,126.9818638,52.38,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"767",,,,,,,,,,,,,,,,전라남도,담양군,담양읍,광동 마을회관,전라남도 담양군 담양읍 향교1리 379-1,35.3204254,126.9818638,70.8,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"768",,,,,,,,,,,,,,,,전라남도,담양군,담양읍,향교 마을회관,전라남도 담양군 담양읍 향교1리 290-1,35.3204254,126.9818638,66,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"769",,,,,,,,,,,,,,,,전라남도,담양군,담양읍,취영 마을회관,전라남도 담양군 담양읍 향교2리 398-2,35.3204254,126.9818638,44.46,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"770",,,,,,,,,,,,,,,,전라남도,담양군,담양읍,신흥 마을회관,전라남도 담양군 담양읍 향교3리 446-19,35.3204254,126.9818638,153.2,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"771",,,,,,,,,,,,,,,,전라남도,담양군,담양읍,완동 마을회관,전라남도 담양군 담양읍 만성1리 110,35.3204254,126.9818638,66,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"772",,,,,,,,,,,,,,,,전라남도,담양군,담양읍,벌뫼 마을회관,전라남도 담양군 담양읍 만성2리 171-1,35.3204254,126.9818638,93.3,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"773",,,,,,,,,,,,,,,,전라남도,담양군,담양읍,시산 마을회관,전라남도 담양군 담양읍 양각1리 192-4,35.3159177,126.9726969,174.1,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
