읍면,마을명,회관명,소재지(주소),건축연도,규모,전화번호
산동면,정산,정산마을회관,전라남도 구례군 산동면 정산길 76,1981,69.1,061-783-1968
산동면,탑동,탑동마을회관,전라남도 구례군 산동면 탑동1길 24-3,1999,132,061-781-5778
산동면,한천,한천마을회관,전라남도 구례군 산동면 한천길 17-2,2005,102.3,
산동면,내온,내온마을회관,전라남도 구례군 산동면 내온길 3-5,1999,81.18,061-782-0068
산동면,하신,하신마을회관,전라남도 구례군 산동면 신학하신길 52,2001,60,061-782-9145
산동면,토치,토치마을회관,전라남도 구례군 산동면 토치1길 13,2002,48.4,
산동면,오향,오향마을회관,전라남도 구례군 산동면 오향길 29,2002,68.85,
산동면,이촌,이촌마을회관,전라남도 구례군 산동면 이촌길 6,2006,106.8,061-782-5708
산동면,우와,우와마을회관,전라남도 구례군 산동면 우와길 47,2006,84.2,
산동면,이사,이사마을회관,전라남도 구례군 산동면 이사길 16,1976,49.6,061-782-0694
산동면,둔기,둔기마을회관,전라남도 구례군 산동면 둔기길 108,2004,65.34,
산동면,시랑,시랑마을회관,전라남도 구례군 산동면 시랑길 17,1996,66,061-781-6963
