연번,경로당,주소,전화번호
59,일정리,전남 완도군 금일읍 일정길7-1,061-554-9814
60,도장리경로복지센터,전남 완도군 금일읍 도장1길25-10,061-553-4107
61,척치리경로복지센터,전남 완도군 금일읍 척치길41   ,061-552-5917
62,구동리경로복지센터,전남 완도군 금일읍 구동리금일로452,061-553-9660
63,신평리,전남 완도군 금일읍 신평길25-1,061-553-2892
64,동송리경로복지센터,전남 완도군 금일읍 동송길160,061-554-6297
65,월송리경로복지센터,전남 완도군 금일읍 월송리707번길708,061-553-9411
66,동백리경로복지센터,전남 완도군 금일읍 동백39번길23,061-554-6831
67,궁항리,전남 완도군 금일읍 궁항길323-8  ,061-554-7942
68,용항리,전남 완도군 금일읍 용항길235,061-554-9228
69,소랑리,전남 완도군 금일읍 금일로1204번길,061-553-3348
70,사동리경로복지센터,전남 완도군 금일읍 죽동2길25-1,061-554-8570
71,척치리후포,전남 완도군 금일읍 신평길216-5   ,061-553-7821
72,충도리,전남 완도군 금일읍 충도길30       ,061-553-4123
73,충도리(여)신규,전남 완도군 금일읍 금일충도길30,061-555-4048
74,상화전리 여,전남 완도군 금일읍 상화전길28,061-554-7973
75,신구리 여(신평 여),전남 완도군 금일읍 신평후포길 24,061-552--3981
76,소랑리 여,전남 완도군 금일읍 소랑길22,061-554-6268
77,척치리독바,전남 완도군 금일읍 척치리 72,061-553-2704
78,연지리 ,전남 완도군 금일읍 장정리514-6,061-553-2613
79,노화읍분회,전남 완도군 노화읍 이목25벌길 18,061-553-4652
80,이목1구,전남 완도군 노화읍 노화로870번길27-2,061-554-7932
81,이목1구여(이포리),전남 완도군 노화읍 노화로870번길27-2,061-553-5199
82,이목2구,전남 완도군 노화읍 노화로870번길7-6,061-553-4670
83,이목2구여,전남 완도군 노화읍 노화로870번길15-7,061-553-4809
84,포전리,전남 완도군 노화읍 노화서로53,061-554-8758
85,소당리,전남 완도군 노화읍 소당길7,061-554-5999
86,도청리,전남 완도군 노화읍 도청2길16-10,061-553-1533
87,잘포리,전남 완도군 노화읍 이포등산길134-7,061-552-1076
88,당산리,전남 완도군 노화읍 이포등산길337,061-553-5282
89,대당리,전남 완도군 노화읍 노화읍 대당길16,061-554-9654
90,염등리,전남 완도군 노화읍 염등길9-10,061-553-7553
91,미라리경로복지센터,전남 완도군 노화읍 미라길22,061-552-8471
92,삼마리,전남 완도군 노화읍 노화서로406,061-553-1013
93,북고리경로복지센터,전남 완도군 노화읍 북고길82,061-553-5284
94,신리경로복지센터,전남 완도군 노화읍 신리길35,061-553-5611
95,신목리(완도여),전남 완도군 노화읍 신목길34,061-552-7774
96,양하리,전남 완도군 노화읍 양하1길7,061-554-1120
97,구목리,전남 완도군노화읍 노화북로446,061-553-5483
98,석중리경로복지센터,전남 완도군 노화읍 노화석중길62,061-554-3721
99,동고리,전남 완도군 노화읍 노화동고길16,061-553-3740
100,천구리,전남 완도군 노화읍 노화로78          ,061-552-4158
101,충도리경로복지센터,전남 완도군 노화읍 노화충도길135-1,061-554-6443
102,내 리경로복지센터,전남 완도군 노화읍 넙도108번길29-12,061-553-7398
103,방축리경로복지센터,전남 완도군 노화읍 넙도길390-1,061-552-2061
104,서 리(넙도),전남 완도군 노화읍 서넙도길45,-
105,당포리,전남 완도군 노화읍 당산2길,061-555-3088
106,할목,전남 완도군 노화읍 할목길20,061-555-1104
107,앞북고리경로당(고막리),전남 완도군 노화읍 노화서로518,061-553-4770
108,여개동 (신규),전남 완도군 노화읍천구2길7,061-553-1110
109,마안도(신규),전남 완도군 노화읍 마안도깅28,-
110,동고리 알갱이(신규),전남 완도군 노화읍 노화북로543길82,061-552-7885
111,군외면분회,전남 완도군 군외면 청해진서로2100길58,061-554-1939
112,당인 중리,전남 완도군 군외면 청해진서로 1339,061-552-5990
113,당인리큰마을,전남 완도군 군외면 당인길26,061-553-4426
114,삼두리경로복지센터,전남 완도군 군외면 삼두길34,061-554-0484
115,갈문리,전남 완도군 군외면 갈문길20,061-554-8554
116,대문리,전남 완도군 군외면 대묵리13-1,061-552-7514
117,신흥리,전남 완도군 군외면 신흥길38,061-554-0688
118,망축리,전남 완도군 군외면 청해진서로2036번길 25,061-552-5819
119,초평리,전남 완도군 군외면 초평11길,-
120,용계리,전남 완도군 군외면 용계리152          ,061-552-5942
121,원동리,전남 완도군 군외면 원동상길 21-1,061-552-5715
122,달도경로복지센터,전남 완도군 군외면 달도길11,061-552-5264
123,달도염수리,전남 완도군 군외면 연수길53,061-553-5335
124,중 리,전남 완도군 군외면 중리길31,061-552-4993
125,교인리,전남 완도군 군외면 청해진북로338번길 3,061-552-9423
126,황진리,전남 완도군 군외면 황진길21-32,061-554-4981
127,남선리 (남방계),전남 완도군 군외면 청해진로 570-2,061-552-7566
128,남선리,전남 완도군 군외면 청해진로625-16,061-554-4647
129,영흥리,전남 완도군 군외면 청해진로738번길30,061-552-1585
130,불목리경로복지센터,전남 완도군 군외면 청해진북로637,061-554-8496
131,불목리 여,전남 완도군 군외면 청해진북로 556-1,061-554-9606
132,영풍리,전남 완도군 군외면 영풍길333,061-554-2010
133,대창1리,전남 완도군 군외면 대창1구길22,061-553-5289
134,대창2리,전남 완도군 군외면 대창2구길,061-552-6838
135,고마리,전남 완도군 군외면 고마도길158,061-554-7709
136,사후리,전남 완도군 군외면 사후도길 57-5,061-554-7314
137,흑일리,전남 완도군 군외면 흑일도길 12,061-552-6303
138,백일리,전남 완도군 군외면 백일리 62-2,061-555-1187
139,토도리,전남 완도군 군외면 토도길 16-2길,061-534-4888
140,당인리(상리),전남 완도군 군외면 당인3길7,061-554-8241
141,중리 제일,전남 완도군 군외면 중리2길16,061-552-6879
142,신지면분회,전남 완도군 신지면 신지로 567-2,061-554-7614
143,강독리,전남 완도군 신지면 강독길21-19 ,061-554-8092
144,송곡리경로복지센터,전남 완도군 신지면 신지로122번길14,061-554-2892
145,임촌리경로복지센터,전남 완도군 신지면 신지로372번길31,061-554-7045
146,신 리,전남 완도군 신지면 신지로454번길 33,061-554-3073
147,내정리,전남 완도군 신지면 신지로454번길57,061-553-4601
148,대평리,전남 완도군 신지면 대곡20번길 20,061-554-9118
149,대평리(여)신규,전남 완도군 신지면 대곡20번길20,061-554-9118
150,금곡리,전남 완도군 신지면 대곡70번길33,061-553-8993
151,양천리,전남 완도군 신지면 대곡80번길20  ,061-552-6014
152,삼마리,전남 완도군 신지면 신지로1627번길,061-553-1046
153,신기리,전남 완도군 신지면 신지로741번길67-6,061-552-8470
154,신상리,전남 완도군 신지면 신지로789번길16-23,061-552-2165
155,월부리경로복지센터,전남 완도군 신지면 월부리 817-11,061-553-7739
156,양지리경로복지센터,전남 완도군 신지면 신지로918번길 74,061-552-9995
157,내동리,전남 완도군 신지면 월양1091-1,061-554-6251
158,석화포,전남 완도군 신지면 월양48번길 83-24,061-552-1218
159,가인리,전남 완도군 신지면 신지로1013-1,061-552-7399
160,동고리경로복지센터,전남 완도군 신지면 신지로1273번길 1,061-554-4705
161,동촌리,전남 완도군 신지면 동촌리 117-15,061-552-1414
162,고금면분회,전남 완도군 고금면 고금동로17-30,061-554-1266
163,농상리,전남 완도군 고금면 농상1길15-1,061-553-0610
164,영부리,전남 완도군 고금면 영부리길48,061-553-2242
165,대곡리,전남 완도군 고금면 고금로423번길 29,061-555-1611
166,백운동,전남완도군 고금면 백운길38-17,061-553-1855
167,석치리,전남 완도군 고금면 고금동로3,061-553-1995
168,일덕암리,전남 완도군 고금면 고금로626,061-553-0222
169,일덕암리아랫마을,전남 완도군 고금면 고금로684-44-22,061-553-8084
170,이덕암리,전남 완도군 고금면 덕암55번길 6,061-553-1144
171,도남리,전남 완도군 고금면 고금남로72,061-554-9892
172,장풍리,전남 완도군 고금면 농상도남길,061-553-4394
173,척찬리,전남 완도군 고금면 척찬길6,061-552-6773
174,부곡리,전남 완도군 고금면 부곡길19-8,-
175,연동리,전남 완도군 고금면 연동길 97,061-553-1456
176,회룡리,전남 완도군 고금면 회룡40번길5-5,061-552-2630
177,봉암리,전남 완도군 고금면 고금서로294,-
178,장중리,전남 완도군 고금면 장중길33,061-552-8126
179,상정리경로복지센터,전남 완도군 고금면 고금로239번길1,061-553-4321
180,봉명리,전남 완도군 고금면 봉명길112-2,061-553-1917
181,장항리,전남 완도군 고금면 고금서로474번길1,061-552-1281
182,봉성리,전남 완도군 고금면 고금서로474번길 79,061-553-6073
183,칠인리,전남 완도군 고금면 봉명청요길257-1     ,061-553-1961
184,청룡리경로복지센터,전남 완도군 고금면 청룡길23,061-553-1084
185,용초리,전남 완도군 고금면 봉명청용길381,061-553-5559
186,청학리,전남 완도군 고금면 청학동길193번길1,061-552-4811
187,먹 골,전남 완도군 고금면 청학동길83,061-553-0216
188,가교리,전남 완도군 고금면 가교86번길22,061-553-2953
189,음마동,전남 완도군 고금면 가교길233,061-554-9741
190,교성리,전남 완도군 고금면 고금로1053번길 13,061-554-0044
191,세동리,전남 완도군 고금면 세동길39-220,061-554-5697
192,내동리,전남 완도군 고금면 내동1길2,061-552-6706
193,항동리,전남 완도군 고금면 고금동로86번길80,061-553-0503
194,신장리,전남 완도군 고금면 신장길31-8,061-553-0511
195,덕동리,전남 완도군 고금면 고금동로647번길24,061-553-1066
196,충무리,전남 완도군 고금면 충무사길69,061-554-2062
197,윤동리,전남 완도군 고금면 고금동로647번길 57,061-553-0424
198,화성리,전남 완도군 고금면 고금동로570,061-553-0353
199,농상리 여,전남 완도군 고금면 농상길15-1,061-553-1688
200,회룡리 여 ,전남 완도군 고금면 회룡길 29-4,061-554-6442
201,넙도리,전남 완도군 고금면 넙도길2-1,061-555-2601
202,여 성(중앙),전남 완도군 고금면 고금로593-1,-
203,교성리진등(신규),전남 완도군 고금면 고금로936번길47,061-552-3492
204,덕암리동백정(신규),전남 완도군 고금면 덕암55번길 79-4,061-553-1258
205,약산면분회,전남 완도군 약산면 약산로253-69((화가리),061-553-1154
206,어두리경로복지센터,전남 완도군 약산면 어두길33-1,061-554-8671
207,해동리경로복지센터,전남 완도군 약산면 해동길6,061-552-3930
208,당목리,전남 완도군 약산면 당목40번길 17,061-555-2234
209,가래리,전남 완도군 약산면 가래3길21,061-553-8092
210,가래리 여,전남 완도군 약산면 가래3길21,061-553-8093
211,장용리,전남 완도군 약산면 장용1길20,061-554-1724
212,장용리할머니,전남 완도군 약산면 장용1길20,061-553-4417
213,여동리,전남 완도군 약산면 여동길 12,061-553-9769
214,여동리 여,전남 완도군 약산면 여동길19-2,061-553-0107
215,우두리경로복지센터,전남 완도군 약산면 우두길 178,061-554-9063
216,천동리,전남 완도군 약산면 약산로 143번길6,061-555-0065
217,관산리경로복지센터,전남 완도군 약산면 관산길118,061-553-8638
218,구성리,전남 완도군 약산면 구성길25-127,061-555-3727
219,득암리경로복지센터,전남 완도군 약산면 득암4번길48-7,061-553-9665
220,사동리,전남 완도군 약산면 사동길92-3,-
221,죽선리,전남 완도군 약산면 약산로 454,061-553-8985
222,상득암리,전남 완도군 약산면 약산일주로430-9,061-553-8783
223,가사리,전남 완도군 약산면 가사길696-9길,061-553-2589
224,화가리,전남 완도군 약산면 화가길60-10,061-554-3655
225,넙고리(신규),전남 완도군 약산면 천동넙고길167-1,061-553-0910
226,청산면분회,전남 완도군 청산면 청산로465번길 17,061-552-8548
227,도청1리,전남 완도군 청산면 청산로1595번길 7,061-552-9366
228,도청1리 여,전남 완도군 청산면 청산로1595번길7-2,061-555-1925
229,도청2리,전남 완도군 청산면 청산로3번길16-3,061-552-9330
230,도청2리 여,전남 완도군 청산면 청산로3번길 16-3,061-553-1504
231,도락리,전남 완도군 청산면 청산로72번길 33-1,061-554-6234
232,도락리 여,전남 완도군 청산면 청산로72번길43-5,061-554-6234
233,당 리,전남 완도군 청산면 당리 청산로156길17-13,061-554-8523
234,당 리 여,전남 완도군 청산면 당리 청산로156번길15-21,061-554-8523
235,읍리경로복지센터,전남 완도군 청산면 청산로225번길 22,061-554-7350
236,지리경로복지센터,전남 완도군 청산면 청산로1383번길,061-553-6088
237,신흥리,전남 완도군 청산면 청산로67-3,061-555-1776
238,신흥리 여,전남 완도군 청산면 청산로660,061-555-1776
239,구장리,전남 완도군 청산면 구장리 487-2,061-554-4777
240,권덕리,전남 완도군 청산면 청산남로317-1,061-552-6671
241,청계리,전남 완도군 청산면 청계길26-3,061-552-8950
242,신풍리,전남 완도군 청산면 청산로 495번길 56,061-552-8531
243,부흥리,전남 완도군 청산면 청산로495번길 56,061-554-5857
244,양지리,전남 완도군 청산면 청산로525번길39,061-554-1569
245,중흥리,전남 완도군 청산면 중흥로597번길9-1,061-553-9762
246,원동리,전남 완도군 청산면 상동36번길8,061-554-8643
247,상서리,전남 완도군 청산면 상동길78,061-554-6717
248,동촌리,전남 완도군 청산면 청산로672번길51,061-554-4487
249,진산리,전남 완도군 청산면 청산로952-1,061-554-4641
250,국화리,전남 완도군 청산면 청산로1172번길34-6,061-552-1017
251,모동리,전남 완도군 청산면 모도리 550,061-552-8366
252,모서리,전남 완도군 청산면 대모도길18-1  ,061-554-4429
253,모복리,전남 완도군 청산면 모도리 1766,061- 552-8219
254,여서리,전남 완도군 청산면 여서도길25 ,061-554-1026
255,장도리,전남 완도군 청산면 장도길3-22 ,061-552-8994
256,소안면분회,전남 완도군 소안면 비자리1232-1,061-553-5743
257,비동리 경로복지센터,전남 완도군 소안면 비동리34번길12-1,061- 554-7170
258,비서리경로복지센터,전남 완도군 소안면 비자길15,061-552-0171
259,이목리,전남 완도군 소안면 소안북로135,061-554-5556
260,월항리경로복지센터,전남 완도군 소안면 월항길19-18,061-554-3595
261,가학리경로복지센터,전남 완도군 소안면 소안로1355번길10,061-554-8262
262,맹선리윗마을,전남 완도군 소안면 맹선길 48,061-553-7003
263,서중리,전남 완도군 소안면 소안로850,061-553-0086
264,동진리경로복지센터,전남 완도군 소안면 동진1길18-1,061-554-7110
265,소진리,전남 완도군 소안면 소진리116-1,061-552-2269
266,부상리,전남 완도군 소안면 부리길,061-554-2872
267,미라리경로복지센터,전남 완도군 소안면 소안로588,061-553-7336
268,이목하리,전남 완도군 소안면 이월리854-3,061-553-2121
269,당사리,전남 완도군 소안면 당사도길17-1,061-555-1171
270,횡간리,전남 완도군 소안면 횡간도43번길11,061-552-0220
271,구도리,전남 완도군 소안면 구도길1-10,061-554-8878
272,북암리,전남 완도군 소안면 소암북로438번길5,061-554-8182
273,맹선리하리,전남 완도군 소안면 맹선길2,061-554-8895
274,중진리,전남 완도군 소안면 석중리길41,061-552-1049
275,신흥리,전남 완도군 소안로 332-8,061-552-4547
276,금당면분회,전남 완도군 금당면 금당로71,061-843-1324
277,삼산리,전남 완도군 금당면 삼산길102,061-843-2590
278,신흥리,전남 완도군 금당면 금당해변로673번길5,061-844-2411
279,세포리,전남 완도군 금당면 세토길164-1,061-842-0017
280,울포리,전남 완도군 금당면 금당로20-1,061-842-0132
281,봉동리,전남 완도군 금당면 금당해변로941번길11,061-843-9743
282,비견리,전남 완도군 금당면 비견도길105,061-844-1904
283,차우리경로복지센터,전남 완도군 금당면 금당로92-1,061-842-0573
284,가학리경로복지센터,전남 완도군 금당면 금당해변로139              ,061-843-9894
285,육동리,전남 완도군 금당면 금남로254번길6,061-843-9946
286,보길면분회,전남 완도군 보길면 청별리 9-11,061-553-7100
287,백도리,전남 완도군 보길면 보길동로551번길21,061-553-6288
288,중 리,전남 완도군 보길면 보길동로377번길9,061-552-4354
289,여항리,전남 완도군 보길면 보길동로398번길9-4,061-555-0444
290,통리경로복지센터,전남 완도군 보길면 보길동로239,061-553-9380
291,월송리,전남 완도군 보길면 월송리 83-8,061-553-8976
292,예송리경로복지센터,전남 완도군 보길면 예송로304번길10-18,061-554-8568
293,선창리경로복지센터,전남 완도군 보길면 보길로870-3,061-555-5717
294,청별리,전남 완도군 보길면 청별길42,061-553-2226
295,부황리,전남 완도군 보길면 부황1길20,061-553-7559
296,부용리,전남 완도군 보길면 부용리 343,061-553-1794
297,보옥리,전남 완도군 보길면 보길로1199번길8,061-553-7040
298,정동리 경로복지센터,전남 완도군 보길면 보길로424번길,061-553-0555
299,정자리,전남 완도군 보길면 보길로537,061-553-6886
300,예작리,전남 완도군 보길면 예작리 85-1,061-553-6298
301,생일면분회,전남 완도군 생일면 생일로590-26,061-553-8806
302,서성리경로복지센터,전남 완도군 생일면 생일로595-3,061-554-2472
303,유촌리,전남 완도군 생일면 금곡1길30-13,061-553-8558
304,금곡리경로복지센터,전남 완도군 생일면 생일로1151번길30-10,061-552-6258
305,용출리경로복지센터,전남 완도군 생일면 봉선길25,061-553-8307
306,굴전리,전남 완도군 생일면 굴정길15,061-554-1832
307,덕우리경로복지센터,전남 완도군 생일면 덕우도길18-5,061-554-5518
