연번,경로당 명칭,관리기관,소재지,관리기관전화번호,데이터기준일자
141,노재동,무안군,전라남도 무안군  삼향읍 진등길4-1,061-450-5524,2021-08-06
142,장곡,무안군,전라남도 무안군  삼향읍 수련길 397,061-450-5524,2021-08-06
143,안동,무안군,전라남도 무안군  삼향읍 오룡동길43,061-450-5524,2021-08-06
144,오룡동,무안군,전라남도 무안군  삼향읍 남악4로60번길14,061-450-5524,2021-08-06
145,회룡,무안군,전라남도 무안군  삼향읍 남악2로 74번길 42,061-450-5524,2021-08-06
146,남악신도시아이파크,무안군,전라남도 무안군  삼향읍 남악2로74번길14,061-450-5524,2021-08-06
147,남악신동아파밀리에,무안군,전라남도 무안군  삼향읍 남악영산길39,061-450-5524,2021-08-06
148,연꽃마을효행정,무안군,전라남도 무안군  삼향읍 남악5로22번길60,061-450-5524,2021-08-06
149,오룡마을휴먼시아,무안군,전라남도 무안군  삼향읍 남악2로74번길13,061-450-5524,2021-08-06
150,무안남악3휴먼시아,무안군,전라남도 무안군  삼향읍 남악4로34번길7,061-450-5524,2021-08-06
151,부영애시앙,무안군,전라남도 무안군  삼향읍 남악72번길7,061-450-5524,2021-08-06
152,근화베아채,무안군,전라남도 무안군  삼향읍 남악4로82번길31,061-450-5524,2021-08-06
153,스위트멘토회,무안군,전라남도 무안군  삼향읍 남악5로 22번길 20,061-450-5524,2021-08-06
154,세영리첼,무안군,전라남도 무안군  삼향읍 남악4로 34번길 31,061-450-5524,2021-08-06
155,남악골드디움,무안군,전라남도 무안군  삼향읍 남악5로 72번길 81-21,061-450-5524,2021-08-06
156,비올레,무안군,전라남도 무안군  삼향읍 남악5로 22번길 10,061-450-5524,2021-08-06
157,몽탄분회,무안군,전라남도 무안군  몽탄면  몽탄로858-8,061-450-5524,2021-08-06
158,죽전,무안군,전라남도 무안군  몽탄면 죽전길 1,061-450-5524,2021-08-06
159,달산2,무안군,전라남도 무안군  몽탄면  법천길271,061-450-5524,2021-08-06
160,노송정,무안군,전라남도 무안군  몽탄면  노송2길4,061-450-5524,2021-08-06
161,중흥동,무안군,전라남도 무안군  몽탄면  양장길140,061-450-5524,2021-08-06
162,도림산,무안군,전라남도 무안군  몽탄면  도림산길2,061-450-5524,2021-08-06
163,월산,무안군,전라남도 무안군  몽탄면  양장길285,061-450-5524,2021-08-06
164,양지촌,무안군,전라남도 무안군  몽탄면  양지촌길3-2,061-450-5524,2021-08-06
165,회룡정,무안군,전라남도 무안군  몽탄면 몽탄로 1243,061-450-5524,2021-08-06
166,사옥동,무안군,전라남도 무안군  몽탄면 사옥길 101,061-450-5524,2021-08-06
167,학전동,무안군,전라남도 무안군  몽탄면  학전길55,061-450-5524,2021-08-06
168,갈산,무안군,전라남도 무안군  몽탄면  갈산안길86-3,061-450-5524,2021-08-06
169,당호2리,무안군,전라남도 무안군  몽탄면  갈산안길15,061-450-5524,2021-08-06
170,신흥동,무안군,전라남도 무안군  몽탄면 신흥동길85-6,061-450-5524,2021-08-06
171,명산1 ,무안군,전라남도 무안군  몽탄면  몽탄로1517-3,061-450-5524,2021-08-06
172,명산2,무안군,전라남도 무안군  몽탄면 도산길 38-7,061-450-5524,2021-08-06
173,상몽탄,무안군,전라남도 무안군  몽탄면  호반로359,061-450-5524,2021-08-06
174,언동,무안군,전라남도 무안군  몽탄면  언동길43,061-450-5524,2021-08-06
175,박실,무안군,전라남도 무안군  몽탄면  약곡길100,061-450-5524,2021-08-06
176,약실,무안군,전라남도 무안군  몽탄면  약곡길144,061-450-5524,2021-08-06
177,귀학,무안군,전라남도 무안군  몽탄면 귀학길52-3,061-450-5524,2021-08-06
178,만복동,무안군,전라남도 무안군  몽탄면 몽탄로 864-6,061-450-5524,2021-08-06
179,사내,무안군,전라남도 무안군  몽탄면  월천길24,061-450-5524,2021-08-06
180,봉서동,무안군,전라남도 무안군  몽탄면  사내길14,061-450-5524,2021-08-06
181,구산1 ,무안군,전라남도 무안군  몽탄면  몽탄로825-6,061-450-5524,2021-08-06
182,구산2리 ,무안군,전라남도 무안군  몽탄면  원구산길69,061-450-5524,2021-08-06
183,호동,무안군,전라남도 무안군  몽탄면  호동길58,061-450-5524,2021-08-06
184,배뫼,무안군,전라남도 무안군  몽탄면 배뫼길 63,061-450-5524,2021-08-06
185,늘어지,무안군,전라남도 무안군  몽탄면  호반로741-2,061-450-5524,2021-08-06
186,남천,무안군,전라남도 무안군  몽탄면 남천안길 26-4,061-450-5524,2021-08-06
187,화산,무안군,전라남도 무안군  몽탄면  화산길 54,061-450-5524,2021-08-06
188,양마,무안군,전라남도 무안군  몽탄면  양마길 24 ,061-450-5524,2021-08-06
189,한재,무안군,전라남도 무안군  몽탄면  한재길12,061-450-5524,2021-08-06
190,총지,무안군,전라남도 무안군  몽탄면  대치로355,061-450-5524,2021-08-06
191,봉암,무안군,전라남도 무안군  몽탄면  봉암길6,061-450-5524,2021-08-06
192,학산,무안군,전라남도 무안군  몽탄면  학사길 38-2,061-450-5524,2021-08-06
193,후동,무안군,전라남도 무안군  몽탄면  학사길 110,061-450-5524,2021-08-06
194,인평,무안군,전라남도 무안군  몽탄면  인평길28,061-450-5524,2021-08-06
195,차뫼,무안군,전라남도 무안군  몽탄면  차뫼길28,061-450-5524,2021-08-06
196,사창,무안군,전라남도 무안군  몽탄면  우명길97-6,061-450-5524,2021-08-06
197,저두,무안군,전라남도 무안군  몽탄면  학사길286,061-450-5524,2021-08-06
198,덕암,무안군,전라남도 무안군  몽탄면 덕암길 93,061-450-5524,2021-08-06
199,초당산,무안군,전라남도 무안군  몽탄면  초당길11,061-450-5524,2021-08-06
200,사동,무안군,전라남도 무안군  몽탄면  사동길52,061-450-5524,2021-08-06
201,기동,무안군,전라남도 무안군  몽탄면  봉산길83,061-450-5524,2021-08-06
202,옥반동,무안군,전라남도 무안군  몽탄면 옥반길 11,061-450-5524,2021-08-06
203,기룡동,무안군,전라남도 무안군  몽탄면  기룡동길23,061-450-5524,2021-08-06
204,청계분회,무안군,전라남도 무안군  청계면 연곡길 8,061-450-5524,2021-08-06
205,월선1리,무안군,전라남도 무안군  청계면 월선길 177-3,061-450-5524,2021-08-06
206,월선2리,무안군,전라남도 무안군  청계면 월선길47,061-450-5524,2021-08-06
207,석대정,무안군,전라남도 무안군  청계면 월선길1-1,061-450-5524,2021-08-06
208,청계1,무안군,전라남도 무안군  청계면 행림길1,061-450-5524,2021-08-06
209,청계2리,무안군,전라남도 무안군  청계면 구암길13-3,061-450-5524,2021-08-06
210,장부교,무안군,전라남도 무안군  청계면 독골길8,061-450-5524,2021-08-06
211,학유정,무안군,전라남도 무안군  청계면 학유정길45,061-450-5524,2021-08-06
212,도림2리,무안군,전라남도 무안군  청계면 청계중앙길 22-4,061-450-5524,2021-08-06
213,백년동,무안군,전라남도 무안군  청계면 백련동2길37-10,061-450-5524,2021-08-06
214,도림6리,무안군,전라남도 무안군  청계면 도림길63-30,061-450-5524,2021-08-06
215,남성동,무안군,전라남도 무안군  청계면 청계중앙길93,061-450-5524,2021-08-06
216,망산,무안군,전라남도 무안군  청계면 해안로 208,061-450-5524,2021-08-06
217,복길1리,무안군,전라남도 무안군  청계면 복길1길 16,061-450-5524,2021-08-06
218,복길2리,무안군,전라남도 무안군  청계면 복길로 117,061-450-5524,2021-08-06
219,구로,무안군,전라남도 무안군  청계면 구로안길10,061-450-5524,2021-08-06
220,관동,무안군,전라남도 무안군  청계면 관동길10,061-450-5524,2021-08-06
221,상마정,무안군,전라남도 무안군  청계면 상마길36,061-450-5524,2021-08-06
222,용마,무안군,전라남도 무안군  청계면 하마정길 27,061-450-5524,2021-08-06
223,평림,무안군,전라남도 무안군  청계면 영산로1869,061-450-5524,2021-08-06
224,복룡,무안군,전라남도 무안군  청계면 용수길 1,061-450-5524,2021-08-06
225,대곡,무안군,전라남도 무안군  청계면 송복길 193,061-450-5524,2021-08-06
226,원강정,무안군,전라남도 무안군  청계면 해안로 658,061-450-5524,2021-08-06
227,태천,무안군,전라남도 무안군  청계면 태천길40-1,061-450-5524,2021-08-06
228,도대,무안군,전라남도 무안군  청계면  도대로 566,061-450-5524,2021-08-06
229,서호정,무안군,전라남도 무안군  청계면 서호정길2,061-450-5524,2021-08-06
230,서호2리,무안군,전라남도 무안군  청계면 청계신기길27,061-450-5524,2021-08-06
231,기동,무안군,전라남도 무안군  청계면 기동길22-3,061-450-5524,2021-08-06
232,서호4리,무안군,전라남도 무안군  청계면 연수동길 60,061-450-5524,2021-08-06
233,솔치,무안군,전라남도 무안군  청계면 솔치길 85-1,061-450-5524,2021-08-06
234,대성동,무안군,전라남도 무안군  청계면 영산로1958-3,061-450-5524,2021-08-06
235,작연,무안군,전라남도 무안군  청계면 남청길 47-1,061-450-5524,2021-08-06
236,태봉,무안군,전라남도 무안군  청계면 태봉안길 2,061-450-5524,2021-08-06
237,남안1 ,무안군,전라남도 무안군  청계면 동암길87,061-450-5524,2021-08-06
238,남안2리,무안군,전라남도 무안군  청계면 남청길 185,061-450-5524,2021-08-06
239,화설당,무안군,전라남도 무안군  청계면 화설당길 12,061-450-5524,2021-08-06
240,사마동,무안군,전라남도 무안군  청계면 사마길63,061-450-5524,2021-08-06
241,청천,무안군,전라남도 무안군  청계면 청천길39-21,061-450-5524,2021-08-06
242,청천2리,무안군,전라남도 무안군  청계면 청천앞길 50,061-450-5524,2021-08-06
243,현경분회(중앙),무안군,전라남도 무안군  현경면 운해로1604-4,061-450-5524,2021-08-06
244,모촌남자,무안군,전라남도 무안군  현경면 모촌동길 103,061-450-5524,2021-08-06
245,모촌여자,무안군,전라남도 무안군  현경면 모촌길 121-3,061-450-5524,2021-08-06
246,양학동,무안군,전라남도 무안군  현경면 양학길206-11,061-450-5524,2021-08-06
247,신리,무안군,전라남도 무안군  현경면 동산길68,061-450-5524,2021-08-06
248,원동산,무안군,전라남도 무안군  현경면 동산길105,061-450-5524,2021-08-06
249,애북,무안군,전라남도 무안군  현경면 애북길1-1,061-450-5524,2021-08-06
250,당두,무안군,전라남도 무안군  현경면 당두길 19,061-450-5524,2021-08-06
251,수양동,무안군,전라남도 무안군  현경면 수양동길120-43,061-450-5524,2021-08-06
252,평산,무안군,전라남도 무안군  현경면 원평산길65,061-450-5524,2021-08-06
253,평림,무안군,전라남도 무안군  현경면 현경 평림길40,061-450-5524,2021-08-06
254,통정,무안군,전라남도 무안군  현경면 통정길23-3,061-450-5524,2021-08-06
255,평산4리,무안군,전라남도 무안군  현경면 유수정길34-7,061-450-5524,2021-08-06
256,반룡,무안군,전라남도 무안군  현경면 외반길13-1,061-450-5524,2021-08-06
257,화촌,무안군,전라남도 무안군  현경면 화촌길27,061-450-5524,2021-08-06
258,조암,무안군,전라남도 무안군  현경면 조암길53,061-450-5524,2021-08-06
259,외반4리,무안군,전라남도 무안군  현경면 반룡길21,061-450-5524,2021-08-06
260,현화1리,무안군,전라남도 무안군  현경면 외현화길 18-6,061-450-5524,2021-08-06
261,청용,무안군,전라남도 무안군  현경면 현화로135,061-450-5524,2021-08-06
262,현화,무안군,전라남도 무안군  현경면 내현화길27-9,061-450-5524,2021-08-06
263,성자동,무안군,전라남도 무안군  현경면 성자동길81,061-450-5524,2021-08-06
264,절동,무안군,전라남도 무안군  현경면 절동길2-5,061-450-5524,2021-08-06
265,노두목,무안군,전라남도 무안군  현경면 장군로257-3,061-450-5524,2021-08-06
266,시목,무안군,전라남도 무안군  현경면 시목길10-1,061-450-5524,2021-08-06
267,해운동,무안군,전라남도 무안군  현경면 해운동길98,061-450-5524,2021-08-06
268,월명촌,무안군,전라남도 무안군  현경면 월명길6,061-450-5524,2021-08-06
269,후동,무안군,전라남도 무안군  현경면 해운로 248-2,061-450-5524,2021-08-06
270,현경,무안군,전라남도 무안군  현경면 하수장길30-28,061-450-5524,2021-08-06
271,송정2리,무안군,전라남도 무안군  현경면 현해로360,061-450-5524,2021-08-06
272,수양촌,무안군,전라남도 무안군  현경면 수양촌길70-20,061-450-5524,2021-08-06
273,석북,무안군,전라남도 무안군  현경면 석북길86,061-450-5524,2021-08-06
274,두동,무안군,전라남도 무안군  현경면 팔방길 200,061-450-5524,2021-08-06
275,새터,무안군,전라남도 무안군  현경면 현경신촌길24,061-450-5524,2021-08-06
276,용정,무안군,전라남도 무안군  현경면 봉월로183,061-450-5524,2021-08-06
277,월두,무안군,전라남도 무안군  현경면 봉월로399,061-450-5524,2021-08-06
278,성재,무안군,전라남도 무안군  현경면 성재길81,061-450-5524,2021-08-06
279,봉대,무안군,전라남도 무안군  현경면 봉월로9-1,061-450-5524,2021-08-06
280,오류1리,무안군,전라남도 무안군  현경면 오류길355-4,061-450-5524,2021-08-06
281,오류동여자,무안군,전라남도 무안군  현경면 오류길 340-3,061-450-5524,2021-08-06
282,어은동(오류2리),무안군,전라남도 무안군  현경면 오류길40-4,061-450-5524,2021-08-06
283,곡지,무안군,전라남도 무안군  현경면 오류길 160,061-450-5524,2021-08-06
284,신정,무안군,전라남도 무안군  현경면 신정길68-3,061-450-5524,2021-08-06
285,삽다리,무안군,전라남도 무안군  현경면 오류길14,061-450-5524,2021-08-06
286,마산,무안군,전라남도 무안군  현경면 마산길122-6,061-450-5524,2021-08-06
287,마산여자,무안군,전라남도 무안군  현경면 마산길122-4,061-450-5524,2021-08-06
288,신기,무안군,전라남도 무안군  현경면 마산길252,061-450-5524,2021-08-06
289,가입,무안군,전라남도 무안군  현경면 가입안길43-1,061-450-5524,2021-08-06
290,너물,무안군,전라남도 무안군  현경면 가입길155,061-450-5524,2021-08-06
291,망운분회,무안군,전라남도 무안군  망운면 압창길11,061-450-5524,2021-08-06
292,목동,무안군,전라남도 무안군  망운면 목동1길12,061-450-5524,2021-08-06
293,압창,무안군,전라남도 무안군  망운면 압창길80-20,061-450-5524,2021-08-06
294,하주교,무안군,전라남도 무안군  망운면 동목장길15-1,061-450-5524,2021-08-06
295,상주교,무안군,전라남도 무안군  망운면 신촌길22,061-450-5524,2021-08-06
296,해동,무안군,전라남도 무안군  망운면 망운로124-51,061-450-5524,2021-08-06
297,목남,무안군,전라남도 무안군  망운면 압창길5-1,061-450-5524,2021-08-06
298,내덕,무안군,전라남도 무안군  망운면 내덕길14,061-450-5524,2021-08-06
299,대곡,무안군,전라남도 무안군  망운면 서목장길52-1,061-450-5524,2021-08-06
300,외덕,무안군,전라남도 무안군  망운면 외덕길11-3,061-450-5524,2021-08-06
301,외덕여자,무안군,전라남도 무안군  망운면 외덕길11-3,061-450-5524,2021-08-06
302,목북,무안군,전라남도 무안군  망운면 망운로7-22,061-450-5524,2021-08-06
303,장재,무안군,전라남도 무안군  망운면 장재길45,061-450-5524,2021-08-06
304,용교,무안군,전라남도 무안군  망운면 용교길16-1,061-450-5524,2021-08-06
305,조산,무안군,전라남도 무안군  망운면 조산길79-1,061-450-5524,2021-08-06
306,정착,무안군,전라남도 무안군  망운면 정착길16,061-450-5524,2021-08-06
307,두모 ,무안군,전라남도 무안군  망운면 두모길15,061-450-5524,2021-08-06
308,용동,무안군,전라남도 무안군  망운면 운해로1086-3,061-450-5524,2021-08-06
309,송현,무안군,전라남도 무안군  망운면 송현길40,061-450-5524,2021-08-06
