연번,등록번호,경로당명,등록년월일,소재지,행정리,자연마을명,대표자,토지,건물,구조,연 락 처
25,102,월현경로당,1996-02-12,영광읍 월현로1길 55,단주3리,언고,정국호,351,83,벽돌스라브,061-353-7068
26,105,옥당여자경로당,1996-10-23,영광읍 중앙로3길 19-9,도동1리,교촌,조기주,127,64.88,벽돌스라브,061-351-1844
27,109,성산여자경로당,1996-12-26,영광읍 물무로 70,백학2리,백학,김순례,106,59,벽돌스라브,061-351-2388
28,111,양평2리경로당,1997-02-21,영광읍 와룡로3길 62,양평2리,옥동,최병호,330,64.8,벽돌스라브,061-353-2920
29,115,백학1리경로당,1997-07-04,영광읍 물무로2길 35-4,백학1리,백학,안철환,364,90.22,벽돌스라브,061-352-1977
30,123,푸른경로당,1997-11-20,영광읍 천년로9길 121-25,녹사1리,녹사(녹산),이창옥,411,67.58,벽돌스라브,061-351-1009
31,126,신기경로당,1998-01-20,영광읍 신남로1길 40,신하1리,신기,김덕선,443,64.8,벽돌스라브,061-351-0242
32,135,궁산경로당,1998-10-12,영광읍 장궁길1길 30-2,송림2리,궁산,이동수,325,68.32,벽돌스라브,061-351-0807
33,136,사직갑동경로당,1998-10-21,영광읍 옥당로 233-12,단주2리,갑룡,양영만,66,49.5,철근시멘트스라브,061-351-3681
34,143,장등경로당,1999-03-17,영광읍 월현로2길 28,송림3리,장동,김용호,337,66.96,벽돌스라브,061-352-4234
35,174,월곡경로당,2001-05-22,영광읍 청보리로3길 70-2,계송1리,월곡,정길성,228,85.52,벽돌스라브,061-352-2611
36,175,입석1리경로당,2001-05-22,영광읍 입석길 239-6,입석1리,신대,신휘환,327,68,벽돌양철,061-352-1599
37,178,신만경로당,2001-06-04,영광읍 복호로1길 76,송림1리,신만,주창수,492,98.96,벽돌스라브,061-353-7944
38,187,녹사2리경로당,1991-11-08,영광읍 함영로8길 93,녹사2리,도양,윤금석,341,97.12,벽돌스라브,061-352-1712
39,195,덕호1리경로당,2002-04-18,영광읍 장궁길 259,덕호1리,덕산,한창호,542,103.2,벽돌스라브,061-353-7956
40,214,고송경로당,2003-01-02,영광읍 청보리로4길 67,계송2리,고성,김양석,324,71.7,시멘트벽돌스라브,061-353-1669
41,215,국제아파트경로당,2003-01-02,영광읍 옥당로 85-8,녹사3리,녹사,정찬심,5734,16,시멘트벽돌스라브,061-353-9909
42,226,삼호경로당,2003-04-28,영광읍 덕호로3길 41-10,덕호3리,삼호,양판국,616,116.72,시멘트벽돌스라브,061-353-9969
43,236,백학정여자경로당,2003-07-24,영광읍 물무로2길 35-4,백학1리,백학,안금자,132,66,시멘트벽돌스라브,061-353-6133
44,259,주공경로당,2004-12-24,영광읍 천년로 1440-12,녹사1리,녹사,신옥현,15379.3,61.519,철근콘크리트,061-353-3158
45,266,와룡3리경로당,2006-03-07,영광읍 와룡로7길 139,와룡3리,구평,김병옥,825,82.89,철근콘크리트,061-353-0012
46,268,무령리여자경로당,2006-05-19,영광읍 물무로2길 88,무령1리,무령,구옥순,198,43.9,목조스레트,061-352-0532
47,269,칠성경로당,2006-07-10,영광읍 덕호로2길 85,덕호2리,칠성동,서정기,262,87.28,시멘트벽돌콘크리트,061-353-6670
48,270,옥당마을경로당,2006-09-12,영광읍 백산길 43,단주2리,단주,김병노,7.236,73,철근콘크리트슬라브,061-351-0048
49,292,연성2구경로당,2007-04-30,영광읍 영대로1길 34,연성2리,,이춘자,,66.9,조적조스라브,
50,300,와룡2리경로당,2007-11-26,영광읍 와룡로5길 98-65,와룡2리,희경,정기성,263,84.96,조적조스라브,061-351-1840
51,312,입동경로당,2008-07-18,영광읍 묘량로8길 20,연성2리,입동,안종윤,397,78.75,조적조스라브,061-353-0655
52,317,평전경로당,2008-09-26,영광읍 청보리로5길 135,양평1리,평전,장병규,227,90.45,조적조스라브,061-351-3188
53,335,신대경로당,2009-06-22,영광읍 입석길 239,입석1리,신대,박종관,381,96.9,벽돌콘크리트,061-352-0407
54,336,장산타워맨션경로당,2009-09-10,영광읍 신남로 246-6,남천2리,장산아파트,박래상,,,,
55,339,금호경로당,2009-09-11,영광읍 옥당로 190-5,단주1리,금호아파트,김상기,,,,
56,348,월송경로당,2010-01-21,영광읍 덕호로 24-27,덕호1리,백동,정종임,347,99.99,조적조스라브,061-353-3990
57,349,궁산경로당,2010-02-25,영광읍 영대로3길 20,우평2리,궁산,이석홍,200,83.79,철근콘크리트,061-351-0807
58,352,영광도동휴먼시아경로당,2010-07-08,영광읍 물무로 227,도동리,,홍대성,,81.59,벽돌철근콘크리트,061-351-7474
59,355,우산여자경로당,2010-09-15,영광읍 천년로13길 2-39,남천2리,,임복례,281,91.08,철근콘크리트,061-351-0566
60,357,대성경로당,2011-11-15,영광읍 옥당로 115-78,녹사리,대성아파트,허인기,,,,
61,358,영진근로복지아파트경로당,2014-08-27,영광읍 옥당로 94,녹사3리,,장영철,,,,
62,359,영진파크경로당,2015-04-01,영광읍 대하4길 21-11,단주리621-4,영진파크아파트,정의성,,,,
63,50,대전남자경로당,1989-06-03,백수읍 백수로 779-10,대전2리,6반 ,주동상,193,70.8,시멘트벽돌,061-351-0128
64,51,중앙경로당,1989-06-03,백수읍 백수로11길 3,양성1리,양성리시장,이신,377,365,적벽돌,061-353-4855
65,52,학산경로당,1989-06-03,백수읍 학산길 164,학산2리,하대,오길종,659.9,23.04,시멘트벽돌,061-353-0670
66,86,길용경로당,1993-02-22,백수읍 성지로 1265-8,길용1리,구호동,유인봉,430,85.11,시멘트벽돌,
67,88,지암경로당,1994-04-28,백수읍 해안로2길 1,홍곡1리,지암,이재천,125,67.05,시멘트벽돌,061-351-4348
68,89,장산경로당,1994-05-06,백수읍 장산로 144-11,장산1리,월촌,조병옥,291,65.67,적벽돌,061-351-0881
69,103,한시랑경로당,1996-03-05,백수읍 해안로7길 22,구수2리,한시랑,전재영,222,67.05,시멘트벽돌,061-353-0150
70,106,백암경로당,1996-12-02,백수읍 해안로 608-17,백암1리,교동,강만수,463,38.5,조립식,061-352-0560
71,112,대초경로당,1997-04-02,백수읍 대산길3길 33-8,대신1리,대초,박용철,387,87.75,적벽돌,061-353-9189
72,116,덕산경로당,1997-07-11,백수읍 대산길1길 3-8,대신2리,덕산,박태업,149,65.55,시멘트벽돌,061-351-0328
73,117,송정경로당,1997-07-11,백수읍 하사길2길 29,하사3리,송정,이정태,359,82.56,시멘트벽돌,061-353-7671
74,118,논산경로당,1997-07-16,백수읍 성지로 870,논산2리,금정,한도현,550,67.58,조적조,061-351-0766
75,119,송산경로당,1997-08-18,백수읍 하사길 167,하사1리,송산,박이동,802,99.9,시멘트벽돌,061-351-0620
76,127,가지경로당,1998-02-21,백수읍 지산길2길 59,지산1리,가지,정융,274,104.96,시멘트벽돌,061-352-3502
77,128,백동경로당,1998-02-21,백수읍 해안로 305-1,홍곡2리,백동,김수찬,162,49.5,조립식,
78,133,상촌경로당,1998-09-05,백수읍 상사길 87,상사1리,상촌,김광길,188,99.57,시멘트벽돌,061-352-7929
79,140,장수경로당,1999-01-06,백수읍 대홍길 60,홍곡1리,장수,박남율,1333,94.62,시멘트벽돌,061-351-0812
80,146,약수경로당,1999-10-20,백수읍 약수길 96,약수2리,조양,이순례,363,90.27,시멘트벽돌,061-351-0086
81,149,중촌경로당,2000-01-26,백수읍 하사길5길 83,하사2리,중촌,강대천,202,92.52,시멘트벽돌,061-351-4451
82,150,평산경로당,2000-02-21,백수읍 하사길1길 39-1,하사4리,평산,탁재회,259,82.56,시멘트벽돌,061-352-7229
83,158,염전경로당,2000-04-04,백수읍 백수로2길 15,하사6리,염전,이석범,242,83.28,시멘트벽돌,
84,163,천정경로당,2001-01-16,백수읍 성지로9길 13-7,천정1리,대흥,전계성,588,83.61,시멘트벽돌,061-353-2343
85,164,신촌경로당,2001-02-10,백수읍 죽사2리 677,죽사2리,신촌,전영길,965,83.73,시멘트벽돌,061-352-0048
86,167,천기경로당,2001-03-16,백수읍 천정2리 657-1,천정2리,천기,박장수,199,23.4,적벽돌,061-352-7477
87,171,한성경로당,1989-06-03,백수읍 상사길 1길 10,상사3리,한성,김채환,412,66,적벽돌,061-352-7024
88,172,대전여자경로당,2001-05-15,백수읍 대전2리 374-1,대전2리,4반,이옥임,403,99,적벽돌,061-351-1080
89,180,백수읍경로당,1989-06-03,백수읍양성리 909-1,양성리 ,오성,장용채,850,66.1,목조,061-351-0580
90,182,평지경로당,2001-09-03,백수읍 천정1리 69,천정1리,평지,탁무설,291,59.4,시멘트벽돌,061-351-0434
91,189,미리내경로당,2001-11-02,백수읍 지산3리 571-1,지산3리,이민촌,김국남,485,77.55,벽돌,061-352-0722
92,199,삽고경로당,2002-05-28,백수읍 약수1리  443-3,약수1리,삽고,장순덕,496,99.39,시멘트벽돌,061-353-4247
93,200,염소경로당,2002-06-05,백수읍 지산2리  1276-1,지산2리,염소,함상숙,215,55,벽돌,061-351-5344
94,202,동봉경로당,2002-08-02,백수읍 지산4리  330,지산4리,동봉,김동수,473,80.85,시멘트벽돌,061-353-3091
95,210,월산경로당,2002-11-26,백수읍 논산1리  314-37,논산1리,월산,장성섭,248,82.8,시멘트벽돌,061-353-6799
96,216,범실경로당,2003-01-02,백수읍 백수로8길 59,양성2리,범실,정재남,500,80.73,시멘트벽돌,061-353-9450
97,217,백암2구경로당,2003-01-02,백수읍 백암2리 561-1,백암2리,답동,양길봉,443,95.88,시멘트벽돌,
98,222,명마경로당,2003-03-18,백수읍 천마1리 659-1,천마1리,명마,강경구,587,96.02,시멘트벽돌,061-353-0435
99,227,동백여자경로당,2003-04-29,백수읍 백암1리 273-1,백암1리,동백,은순애,183,66.06,시멘트벽돌,061-351-0558
100,229,죽사1구경로당,2003-05-27,백수읍 죽사1리 75-6,죽사1리,명산,강경호,338,81.18,시멘트벽돌,061-353-9980
101,230,반암경로당,2003-05-27,백수읍 약수리 608,백암2리,반암,김용신,532,74.52,시멘트벽돌,061-353-9823
102,234,사등경로당,2003-07-21,백수읍 상사3리 산2-47,상사3리,사등,김영주,1421,103.63,시멘트벽돌,061-352-0124
103,251,묘동경로당,2004-03-24,백수읍 대전1리 68-1,대전1리,묘동,정희섭,357,60,시멘트벽돌,061-351-0801
104,252,구수1리경로당,2004-03-24,백수읍 구수1리 370-1,구수1리,구시미,배용남,132,67.05,시멘트벽돌,061-352-6183
105,258,상사2리백신경로당,2004-11-23,백수읍 상사2리  47-31,상사2리,백신,이중구,246,76.95,철조,061-352-0471
106,272,길용2리경로당,2006-11-13,백수읍 길용2리 355,길용2리,용암,김재훈,264,82.68,시멘트벽돌,061-351-5010
107,288,신장경로당,2007-02-16,백수읍 죽사2리 453-4,죽사2리,신정,박종일,660,95.73,철근콘크리트,061-352-0680
108,303,운제경로당,2008-02-19,백수읍죽사1리 272-17,죽사1리,운제,박갑수,231,84.39,철근콘크리트,061-352-7522
109,307,용학경로당,2008-04-25,백수읍논산리 554-4,논산1리,학동,박정랑,309,84.31,철근콘크리트,061-352-6151
110,323,학산1리경로당,2008-11-07,백수읍 학산리 172-1,학산1리 ,상대,김병모,325,93.04,철근콘크리트,061-352-0670
111,330,삽촌경로당,2009-03-10,백수읍 백수로 978,양성1리 ,삽촌,문영남,396,82,철근콘크리트,
112,331,장산여자경로당,2009-03-13,백수읍 장산리 171-5,장산1리 ,월촌,정효순,1005,82,철근콘크리트,061-352-0266
113,351,논산2리여자경로당,2010-04-26,백수읍 논산2리 173-24,논산2리,만년동,고순례,123,74.83,벽돌,061-353-1182
114,39,만수경로당,1989-05-08,홍농읍 홍농로 452,상하8리,중앙동,최병두,999,239,시멘트벽돌슬라브,061-356-3591
115,81,가마미경로당,1992-04-11,홍농읍 계마길 111-2,계마리 ,계마리,이강선,227,76.8,시멘트슬라브,061-356-0561
116,83,풍암경로당,1992-04-11,홍농읍 샘목로5길 63-2,월암2리,풍암,한순례,374,73.13,시멘트벽돌슬라브,
117,84,칠암경로당,1992-04-11,홍농읍 홍농로1길 62,칠곡1리,칠암,손종인,434,69.48,시멘트벽돌슬라브,061-356-4526
118,130,신석명당경로당,1998-03-10,홍농읍 상단길5길 20,신석4리,명당,김동기,312,63.99,시멘트벽돌슬라브,
119,131,가학경로당,1998-05-01,홍농읍 샘목로 609,가곡2리,가학,이경재,128,72.53,시멘트벽돌슬라브,061-356-8366
120,142,상삼경로당,1999-01-25,홍농읍 진덕로1길 19,진덕1리,상삼,주맹기,310,68.4,시멘트벽돌슬라브,061-356-1227
121,176,구사경로당,1995-10-16,홍농읍 상단길6길 59,단덕3리,구사,설권수,170,71.94,시멘트벽돌슬라브,061-356-3601
122,183,죽동경로당,2001-09-17,홍농읍 홍농로4길 20-12,성산4리,죽동,김승만,360,72,적벽돌조적조슬라브,061-356-1380
123,194,하석경로당,2002-02-23,홍농읍 상단길4길 21-3,신석3리,하석,박균석,384,66,시멘트벽돌슬라브,061-356-5841
124,212,성산양지경로당,2002-12-30,홍농읍 홍농로5길 14-2,성산3리,양지,김상연,660,79.83,시멘트벽돌슬라브,061-356-3277
125,218,월암경로당,2003-01-08,홍농읍 샘목로 811,월암1리,월평,전점이,457,66,시멘트벽돌슬라브,
126,231,우봉경로당,2003-05-29,홍농읍 연우로6길 4,상하3리,우봉,장안길,242,85.4,시멘트벽돌슬라브,061-356-2858
127,232,산덕경로당,2003-05-29,홍농읍 진덕로3길 6,진덕3리,산덕,안삼진,627,101,시멘트벽돌슬라브,061-356-0008
128,233,덕림경로당,2003-05-29,홍농읍 단덕로 107-1,단덕1리,덕림,이완식,361,66,시멘트벽돌슬라브,061-356-4911
129,238,상봉경로당,2003-11-25,홍농읍 상하길 76-6,상하1리,상봉,김명성,768,87.96,시멘트벽돌슬라브,061-356-3465
130,246,신촌경로당,2004-03-05,홍농읍 홍농로6길 18,성산2리,신촌,이장옥,432,84.39,시멘트블록조,061-356-0623
131,256,하봉경로당,2004-06-23,홍농읍 상하길23-11,상하2리,하봉,최도명,139,92.29,시멘트블록조,061-356-5903
132,257,하삼경로당,2004-10-07,홍농읍 진덕로2길 101-1,진덕2리,하삼,최종화,331,64.24,시멘트벽돌슬라브,061-356-6735
133,261,단지경로당,2005-01-05,홍농읍 샘목로2길 21,단덕2리,단지,박종연,231,65.8,시멘트벽돌조,061-356-1646
134,263,신대경로당,2005-09-29,홍농읍 동부로3길 29,신석1리,신대,김영술,144,67.05,시멘트벽돌조,061-356-6366
135,274,해주경로당,2006-11-28,홍농읍 홍농로 442-29,상하8리,중앙동,김종남,13.32,58.8,철근콘크리트슬라브,
136,275,황곡경로당,2006-12-08,홍농읍 샘목로4길 61-7,가곡1리,황곡,주병종,784,80.82,시멘트벽돌슬라브,
137,276,교동경로당,2006-12-13,홍농읍 상하길3길 11-4,상하5리,교동,김석진,186,68.79,시멘트벽돌슬라브,061-356-7784
138,278,월곡경로당,2006-12-20,홍농읍 칠곡로 328,칠곡2리,월곡,고영주,415.2,73.02,시멘트벽돌슬라브,
139,279,문산경로당,2006-12-20,홍농읍 상단길 127,상하4리,문산,서금년,331,68.04,시멘트벽돌슬라브,061-356-3634
140,284,서당경로당,2007-01-16,홍농읍 홍농로3길 8-5,진덕1리,서당,김선동,626,85.32,조적조슬라브,061-356-5691
141,289,상석경로당,2007-03-09,홍농읍 동부로2길 8,신석2리,상석,유재봉,199,66,조적조슬라브,
142,295,진정경로당,2007-08-31,홍농읍 진덕로6길 3-1,진덕4리,진정,문두용,227,82.64,조적조슬라브,061-356-0801
143,305,항월경로당,2008-04-08,홍농읍 칠곡로 227,칠곡3리,항월,송문례,,83.09,조적조슬라브,
144,306,신석3리경로당,2008-04-08,홍농읍 동부로1길 62,신석3리,하석,조동선,,84.33,조적조슬라브,061-356-5841
145,341,암모실경로당,2009-12-08,홍농읍 진덕로5길 43-1,진덕4리 ,암모실,김복성,568,73.2,조적조스라브,061-356-1416
146,345,한현경로당,2009-12-18,홍농읍 샘목로 710,월암2리,한현,김대복,224,71.4,적벽돌스라브,061-356-8366
147,347,목맥경로당,2010-01-15,홍농읍 칠곡1로 18-9,칠곡3리,목맥,고태수,248,83.55,벽돌스라브,061-356-1818
148,14,대안경로당,1989-04-25,대마면 영장로10길 68,복평1리,섬암,김용대,345,112.56,벽돌 슬라브,061-353-6623
149,20,애국경로당,1989-04-25,대마면 영장로5길 3-23,원흥2리,반월,박종익,250,114.88,블록 스레트,061-353-5778
150,18,원당경로당,1989-04-25,대마면 원당길 94-3,원흥1리,원당,김득원,389,102.4,벽돌 슬라브,061-352-9966
151,16,장보경로당,1989-04-25,대마면 영장로 270,월산1리,장보,강동진,129,102.66,벽돌 슬라브,061-353-9224
152,71,남성경로당,1989-08-30,대마면 화평길 84-3,화평1리,농주,박종현,347,85.44,벽돌 슬라브,061-353-9308
153,74,남산경로당,1991-03-15,대마면 동삼로9길 39,남산1리,남산,이일범,331,94.6,벽돌 슬라브,061-351-1156
154,75,선산경로당,1991-03-15,대마면 영장로12길 17,성산3리,선산,이용풍,364,72.04,벽돌 슬라브,061-351-1967
155,78,월랑경로당,1991-06-27,대마면 영장로4길 67,월산2리,월산,김문호,307,81.54,벽돌 슬라브,061-351-0441
156,92,평금경로당,1994-10-22,대마면 고성산길 109-2,성산1리,평금,신태섭,185,83.25,벽돌 슬라브,061-351-2367
157,93,송죽경로당,1995-10-22,대마면 영장로3길 38,송죽2리,송촌,정삼차,250,98.83,벽돌 슬라브,061-351-4347
158,101,군동경로당,1996-02-12,대마면 영장로1길 30,원흥3리,군동,박배곤,371,102.66,벽돌 슬라브,061-353-3021
159,160,대성경로당,2000-07-12,대마면 고성산길1길 31-12,성산2리,대성,정강성,291,102.73,시멘트 벽돌,061-352-6796
160,166,중홍경로당,2001-03-07,대마면 홍교로1길 28,홍교2리,중홍,김이남,135,66.12,시멘트 블록,061-353-9232
161,184,수촌경로당,2001-10-08,대마면 화평길4길 24,화평2리,하화,김형련,327,91.65,벽돌 슬라브,
162,237,죽동경로당,2003-11-18,대마면 영장로9길 26,송죽1리,죽동,양운진,290,72.6,시멘트 벽돌,061-352-5150
163,253,구천경로당,2004-04-08,대마면 영장로2길 39,남산2리,구천,이재남,119,79.4,벽돌 슬라브,061-353-2616
164,254,주교경로당,2004-04-08,대마면 화평길1길 13-1,홍교1리,주교,정동명,270,59,벽돌 슬라브,
165,296,금산경로당,2007-09-07,대마면 동삼로10길 61-39,월산3리 ,금산,이종범,108,79.04,조적/슬라브,061-352-4788
166,299,복평2리경로당,2007-10-15,대마면 영장로9길 26,복평2리 ,석정,이상형,660,84.15,조적/슬라브,
167,322,지장마을경로당,2008-10-28,대마면 영장로2길 39,월산1리 ,지장,정행모,645,79.04,조적/슬라브,061-352-0726
168,324,산정경로당,2008-12-05,대마면 화평길1길 13-1,화평1리 ,산정,박재일,250,79.04,조적/콘크리트 슬라브,061-352-4084
169,41,삼학경로당,1989-05-19,묘량면 황량로 29-0,삼학1리,삼산,강종호,178,66.96,시멘트벽돌조 슬라브,061-351-6078
170,44,매선박경로당,1989-05-19,묘량면 동삼로 111-0,운당2리,선동,이근호,158,74.7,조적조(적벽돌) 슬라브,061-352-0057
171,80,월암경로당,1992-04-11,묘량면 황량로1길 65-0,월암1리,청산,김정근,231,88.49,시멘트벽돌조 평슬라브,061-352-6656
172,91,장동경로당,1994-06-13,묘량면 묘량로3길 10-0,영양2리,장동,이재옥,167,78.24,시멘트벽돌조 슬라브,061-351-4840
173,96,영민농원경로당,1995-01-22,묘량면 덕흥길2길 7,덕흥1리,영민농원,장옥자,20145,49.68,시멘트블럭 기와,061-351-4302
174,108,영당경로당,1996-12-23,묘량면 동삼로1길 31-0,운당1리,영당,이은신,171,50.85,조적조(적벽돌) 기와,061-352-6476
175,110,석산경로당,1997-01-30,묘량면 동삼로 320-0,삼효2리,미산,김상호,275,100.19,벽돌조 슬라브,061-351-0091
176,124,당산경로당,1997-12-30,묘량면 묘량로4길 23-0,영양3리,당산,이현식,114,66.6,시멘트벽돌조 슬라브,061-353-8252
177,144,효동경로당,1999-05-11,묘량면 동삼로3길 37-0,삼효1리,효동,신순례,300,83.79,시멘트벽돌조 슬라브,061-352-0568
178,153,산포경로당,2000-03-03,묘량면 밀재로10길 31-2,삼학2리,산포,강대홍,418,82.3,시멘트벽돌조 슬라브,061-352-6960
179,169,장등경로당,2001-04-27,묘량면 영대로2길 23-0,덕흥3리,장등,김경범,143,69.3,시멘트벽돌조 슬라브,061-353-2944
180,177,영촌경로당,2001-05-30,묘량면 묘량로5길 54-0,영양1리,영촌,정윤성,757,72.6,시멘트벽돌조 슬라브,
181,188,운암경로당,2001-11-23,묘량면 동삼로 1길 101-0,운당1리,운암,이현점,859,73.5,시멘트벽돌조 슬라브,061-352-0656
182,192,신천경로당,2002-01-10,묘량면 밀재로2길 5-0,신천2리,유성,최석주,215,74.64,시멘트벽돌조 슬라브,061-352-1433
183,197,효성경로당,2002-05-17,묘량면 동삼로4길 56-0,운당3리,효성,이현두,165,72.6,시멘트벽돌조 슬라브,061-352-1314
184,198,초포경로당,2002-05-17,묘량면 황량로 411-0,월암1리,월포,이장연,195,74.3,시멘트벽돌조 슬라브,
185,220,덕흥경로당,2002-02-27,묘량면 덕흥길 116-1,덕흥1리,가리,정영용,234,72.6,시멘트벽돌조 슬라브,061-351-5455
186,221,연암경로당,2002-02-27,묘량면 밀재로 11길 4-7,연암리 ,팔음,김옥순,457,77.3,시멘트벽돌조 슬라브,061-353-1526
187,225,막해경로당,2003-04-17,묘량면 묘량로 511-2,덕흥2리,막해,홍석희,198,78.54,시멘트벽돌조 슬라브,
188,241,신천1리경로당,2003-12-29,묘량면 묘량로1길 14-10,신천1리,연촌,유영조,126,65.22,조적조 슬라브,
189,264,몽강경로당,2005-10-03,묘량면 동삼로 5길 10-3,삼효1리,몽강,이정연,192,72.6,시멘트벽돌조 슬라브,061-352-2214
190,297,덕동경로당,2007-09-11,묘량면 묘량로 9길 42-0,덕흥2리 ,덕동,서영준,307,82.13,조적/슬라브,
191,310,문례경로당,2008-06-24,묘량면 황량로 167-0,월암1리 ,문례,강태정,,76.14,조적/슬라브,
192,321,왕촌경로당,2008-10-29,묘량면 황량로 100-6,삼학1리 ,왕촌,김남식,694,91.47,조적/슬라브,
193,30,부춘경로당,1989-04-27,불갑면 부춘리 219-1,부춘리 ,부실,구동순,261,79.5,시멘트벽돌슬라브,061-352-2044
194,73,수성경로당,1991-10-01,불갑면 모악리 186-4,모악리 ,사산,정종만,142,64.66,시멘트벽돌슬라브,061-352-0740
195,87,불갑경로당,1996-12-13,불갑면 순용리 173-4,순용리 ,용산,김공수,155,67.05,시멘트벽돌슬래브,061-353-9610
196,113,용산경로당,1997-06-27,불갑면 순용리 321-1,순용리 ,용산,정웅모,238,67.05,시멘트벽돌슬라브,061-352-7991
197,156,황산경로당,2000-03-24,불갑면 건무리 58-1,건무리 ,황산,김영준,194,64.05,시멘트벽돌슬래브,061-352-1578
198,157,방마경로당,2000-03-24,불갑면 방마리 88-4,방마리 ,봉동,강녹원,541,75,시멘트블록스레트,
199,179,쌍운경로당,2001-06-11,불갑면 강항로1길 20,쌍운리 ,송정,김안순,255,75,시멘트벽돌스라브,061-351-6567
200,181,오룡경로당,2001-08-10,불갑면 안맹리 24-4,안맹리 ,오룡,류기복,165,71.4,시멘트벽돌슬라브,061-351-2991
201,185,인산경로당,2001-10-29,불갑면 녹산리 244,녹산리 ,인산,유기준,208,80.5,시멘트벽돌슬라브,061-352-4789
202,191,맹자경로당,2001-12-24,불갑면 안맹리 255-28,안맹리 ,맹자,김판성,302,76.17,조적콘크리트,061-352-3305
203,196,응봉경로당,2002-05-17,불갑면 응봉리 202-1,응봉리 ,봉암,임종석,132,72,시멘트벽돌슬라브,061-352-3596
204,223,우곡경로당,2003-03-18,불갑면 우곡리 232-1,우곡리 ,연봉,배광수,545,98.2,적벽돌슬래브,061-352-0381
205,235,생곡경로당,2003-07-24,불갑면 생곡리 291-4,생곡리 ,생실,정준기,496,78,적벽돌슬래브,061-352-0217
206,239,자비경로당,2003-11-25,불갑면 자비리 143-3,자비리 ,단산,강성훈,155,80,시멘트블럭슬라브,061-352-8054
207,240,순용경로당,2003-11-25,불갑면 순용리 693-1,순용리 ,순량,안종용,412,79,시멘트블럭슬라브,061-351-2026
208,248,금계경로당,2004-03-24,불갑면 금계리 102-1,금계리 ,회산,강대성,357,91.05,시멘트블럭슬라브,061-352-2982
209,255,덕산경로당,2004-05-13,불갑면 녹산리 632-5,녹산리 ,덕산,이종현,2684,88,시멘트벽돌슬라브,061-352-0422
