경로당명,주소 ,연락처
장동,전라남도 함평군 학교면 학교장동길 2,061-322-7969
내동,전라남도 함평군 학교면 내동길 46-1,061-322-6941
복산,전라남도 함평군 학교면 복산길 952,061-322-5795
고막1리,전라남도 함평군 학교면 고막천로 643-16,061-323-7603
재생,전라남도 함평군 학교면 영산로 3933-25,061-323-6183
광진,전라남도 함평군 학교면 고막천로 419-3,061-322-6294
석정,전라남도 함평군 학교면 고막천로 141-4,061-323-7167
흥용동,전라남도 함평군 학교면 동림흥용길 32-22,061-322-7809
동림동,전라남도 함평군 학교면 동림흥용길 59-5,061-322-6084
건지,전라남도 함평군 학교면 고막천로 125,061-322-6951
금송,전라남도 함평군 학교면 고막천로 52,061-323-6751
반곡,전라남도 함평군 학교면 중천포로 37-4,061-323-6176
금산,전라남도 함평군 학교면 중천포로 467,061-323-6143
향동,전라남도 함평군 학교면 중천포로 510-21,061-323-5988
방우동,전라남도 함평군 학교면 중천포로 372,061-322-6796
배야,전라남도 함평군 학교면 망월동길 18,061-322-6833
기동,전라남도 함평군 학교면 중천포로 604-17,061-322-7933
망월동,전라남도 함평군 학교면 망월동길 53,061-323-6571
용호,전라남도 함평군 학교면 월호길 120-1,061-322-7674
곡창,전라남도 함평군 학교면 곡창길 33,061-322-6634
곡창2리,전라남도 함평군 학교면 서당매길 35,061-323-7633
백학,전라남도 함평군 학교면 큰동네길 88-4,061-322-6244
이암,전라남도 함평군 학교면 중천포로 20,
영화촌,전라남도 함평군 학교면 영화촌길 9,061-323-6644
신학,전라남도 함평군 학교면 학다리길 224,061-322-6170
쌍교,전라남도 함평군 학교면 학다리길 336-10,061-322-6566
학교중앙,전라남도 함평군 학교면 학다리길 336-12,061-322-6309
학교6리,전라남도 함평군 학교면 학다리길 289,061-322-7855
회춘동,전라남도 함평군 학교면 회춘동길 2-1,061-322-6423
달배기,전라남도 함평군 학교면 닻빼기길 26,061-322-6090
명암,전라남도 함평군 학교면 학교길 119,061-322-6602
경화,전라남도 함평군 학교면 경화동길 14-16,061-322-6626
율동,전라남도 함평군 학교면 율동길 19,061-322-6640
사거3,전라남도 함평군 학교면 사거리길 35,061-322-3834
청정,전라남도 함평군 학교면 사거리길 103,061-322-6368
송산,전라남도 함평군 학교면 송산길 56-2,061-322-1304
송정,전라남도 함평군 학교면 학교월산길 84-1,061-322-1315
학교문화마을,전라남도 함평군 학교면 송산길 46,
신흥동,전라남도 함평군 학교면 신흥동길 30,061-322-9736
화산,전라남도 함평군 학교면 학교화산길 53-5,061-322-1922
월봉,전라남도 함평군 학교면 학교월봉길 79,061-322-6083
정자동,전라남도 함평군 학교면 정자동길 24-4,061-323-6703
덕산,전라남도 함평군 학교면 덕산길 5-5,
선암,전라남도 함평군 학교면 선암길 20-2,061-322-6926
둔기,전라남도 함평군 학교면 둔기길 65,061-322-6331
호암,전라남도 함평군 학교면 학교호암길 9-6,061-322-6280
청수원,전라남도 함평군 학교면 청수원길 24-6,061-322-7897
신기,전라남도 함평군 학교면 학교신기길 9,061-322-7967
표산,전라남도 함평군 학교면 표산길 36-5,061-322-3290
신평,전라남도 함평군 학교면 학교신평길 23-1,061-323-6171
성산,전라남도 함평군 엄다면 성산길 18-7,061-322-9220
번동,전라남도 함평군 엄다면 엄다길 66,061-323-5460
엄다,전라남도 함평군 엄다면 엄다길 59-5,061-322-7318
불암,전라남도 함평군 엄다면  불암길 35,061-323-6056
제동,전라남도 함평군 엄다면  제동길 14,061-323-2343
정동,전라남도 함평군 엄다면 정동길 34-1,061-323-3618
신양동,전라남도 함평군 엄다면 엄다길 24-3,061-322-2909
노상,전라남도 함평군 엄다면 노상길 19,061-323-7662
해정,전라남도 함평군 엄다면 해정길 2,061-322-7140
송촌,전라남도 함평군 엄다면 송촌길 33-2,061-322-3349
담안,전라남도 함평군 엄다면 담안길 38,061-324-7427
베다니,전라남도 함평군 엄다면 신송길 13-32,
화계,전라남도 함평군 엄다면 신송길 243-17,061-323-2033
장동,전라남도 함평군 엄다면 신송길 271-1,061-322-0898
우평,전라남도 함평군 엄다면 신송길 231-177,061-322-3696
삼원,전라남도 함평군 엄다면 원삼정길 88-10,061-323-7678
송정,전라남도 함평군 엄다면 삼정길 76,061-322-7066
삼정,전라남도 함평군 엄다면 삼정길 85,061-322-7730
영천,전라남도 함평군 엄다면 영흥길 78-25,061-323-6886
흥용동,전라남도 함평군 엄다면 영흥길 199-3,061-324-5566
영흥,전라남도 함평군 엄다면 곤재로 898-3,061-324-5560
학야1리,전라남도 함평군 엄다면 학야길 51,061-323-4988
토교,전라남도 함평군 엄다면 영산로 3408-18,061-322-3141
대천,전라남도 함평군 엄다면 학야길 113,061-322-5526
성암,전라남도 함평군 엄다면 성암길 37,
와촌,전라남도 함평군 엄다면 곤재로 291,
화양,전라남도 함평군 엄다면 화양길 68,061-322-7209
농포,전라남도 함평군 엄다면 화양길 21,061-322-1356
정양,전라남도 함평군 엄다면 수산길 49,061-322-0635
쌍천,전라남도 함평군 엄다면 쌍천길 105,061-322-7555
비석동,전라남도 함평군 엄다면  곤재로 543-1,061-323-0029
송암,전라남도 함평군 엄다면 정동길5-9,
옥동,전라남도 함평군 대동면 옥동길 49,061-323-3800
나막,전라남도 함평군 대동면 대동길 29-37,061-322-3367
금적,전라남도 함평군 대동면 고막천로 1095,061-323-9859
월송,전라남도 함평군 대동면 동암길 25,
석호,전라남도 함평군 대동면 석호길 50-4,061-322-3959
용목골,전라남도 함평군 대동면 백호길 56-84,
백련,전라남도 함평군 대동면 백련동길 51,061-322-9855
보화,전라남도 함평군 대동면 보화촌길 52,061-324-2117
송산,전라남도 함평군 대동면 송산길 12-8,
상강,전라남도 함평군 대동면 상강길 96,061-322-5898
주평,전라남도 함평군 대동면 주평길 64,061-324-4343
홍지학송,전라남도 함평군 대동면 함장로 1693-10,061-322-1037
상교,전라남도 함평군 대동면 대동길 129,061-324-0766
중남교,전라남도 함평군 대동면 향교길 31-16,061-322-0929
고시,전라남도 함평군 대동면 고시길 42,
명륜,전라남도 함평군 대동면 대동길 9,061-324-3722
향교,전라남도 함평군 대동면 대동길 5-32,061-322-3584
아차,전라남도 함평군 대동면 아차동길 37,061-323-0097
고산,전라남도 함평군 대동면 고산동길 97,061-322-3069
외덕,전라남도 함평군 대동면 외덕길 35,061-323-3807
내덕,전라남도 함평군 대동면 내덕길 17-3,061-323-3247
용연,전라남도 함평군 대동면 용연길 38-1,
구룡,전라남도 함평군 대동면 구룡동길 33,
정창,전라남도 함평군 대동면 정창길 21,061-323-0046
금성,전라남도 함평군 대동면 금성동길 37-10,061-322-2515
괴정,전라남도 함평군 대동면 괴정길 12-2,061-322-3005
해운,전라남도 함평군 대동면 학동로 1118-4,061-324-8100
마량,전라남도 함평군 대동면 마량길 17,061-322-4967
감산,전라남도 함평군 대동면 금산길 155-21,061-322-3812
금구,전라남도 함평군 대동면 학동로 1202-9,061-322-3862
노적,전라남도 함평군 대동면 노적길 5,061-322-3649
연암,전라남도 함평군 대동면 연암길 166,061-322-0223
향교주공,전라남도 함평군 대동면 영수길 367,
서호,전라남도 함평군 대동면 서호길 30,
계동,전라남도 함평군  나산면 계동길 102-4,061-322-4561
관동,전라남도 함평군  나산면 나산월봉길 173-43,
구산,전라남도 함평군  나산면 구산원선길 56,061-323-1141
구산2리,전라남도 함평군  나산면 삼방길 23,061-323-0188
금수,전라남도 함평군  나산면 함장로 2426,061-322-1211
나산1리,전라남도 함평군  나산면 이인정길 16,061-323-9412
나성,전라남도 함평군  나산면 나산길 82-10,061-322-8223
나심,전라남도 함평군  나산면 나산길 20,061-323-9469
덕림,전라남도 함평군  나산면 백양길 8-1,061-322-9933
마산,전라남도 함평군  나산면 수하길 87,
방하,전라남도 함평군  나산면 방하동길 40,
분토,전라남도 함평군  나산면 분토길 50,
사산,전라남도 함평군  나산면 사산길 45,061-322-8083
사정,전라남도 함평군  나산면 시루뫼길 18-2,061-322-4888
삼리,전라남도 함평군  나산면 이문길 20,061-322-8250
삼성,전라남도 함평군  나산면 함장로 1941-15,061-322-8101
상축,전라남도 함평군  나산면 삼축길 133-26,
석지,전라남도 함평군  나산면 석지길 45,061-322-5744
석현,전라남도 함평군  나산면 회화정길 29-2,061-322-4138
선박,전라남도 함평군  나산면 선박길 116,
송암,전라남도 함평군  나산면 월암로 1331,061-323-4368
송죽,전라남도 함평군  나산면 월암로 1384,
수하,전라남도 함평군  나산면 수하길 11,061-323-8826
수하2리,전라남도 함평군  나산면 장제동길 67,061-323-0034
신평,전라남도 함평군  나산면 월신길 314,
오수,전라남도 함평군  나산면 용머리길 8,061-322-8391
용산,전라남도 함평군  나산면 나산월봉길115-30,
용수,전라남도 함평군  나산면 용머리길 86,061-323-4501
우치,전라남도 함평군  나산면 우치길 77,061-323-6034
원석현,전라남도 함평군  나산면 석현회룡동길 110,061-322-1599
원선,전라남도 함평군  나산면 구산원선길 245,061-322-8890
원초포,전라남도 함평군  나산면 원초포길 5,061-323-8080
월봉,전라남도 함평군  나산면 나산월봉길 121-16,061-322-4170
월평,전라남도 함평군  나산면 월평길 171-2,061-322-8086
월현,전라남도 함평군  나산면 나산월현길 38,061-322-0326
유덕,전라남도 함평군  나산면 수상길 55-23,061-322-8987
유촌,전라남도 함평군  나산면 구산원선길 189,061-323-8776
입석,전라남도 함평군  나산면 입석길 32,061-322-1109
축동,전라남도 함평군  나산면 삼축길 79,
광영,전라남도 함평군 나산면 함장로 1869-22,
상모,전라남도 함평군 해보면 상모길 61-4,061-322-0477
수산,전라남도 함평군 해보면 산내길599,061-323-0518
하모,전라남도 함평군 해보면 하모길 49,061-322-6900
운곡,전라남도 함평군 해보면 운곡길 30-4,061-323-3111
창서,전라남도 함평군 해보면 창서길 38,061-323-3315
성대,전라남도 함평군 해보면 성대길 16,
주현,전라남도 함평군 해보면 주현길 37,061-323-0633
천재등,전라남도 함평군 해보면 해삼로 302,
소성,전라남도 함평군 해보면 소성길 49-16,
대성,전라남도 함평군 해보면 해보대성길 61-4,061-323-0204
백토,전라남도 함평군 해보면 백토길 30-13,061-323-0154
문암,전라남도 함평군 해보면 구밀길 155,
상귀,전라남도 함평군 해보면 구밀길 92,061-323-0649
구미,전라남도 함평군 해보면 구밀길 51,061-323-0211
하귀,전라남도 함평군 해보면 하귀길 65-8,061-323-2930
시장,전라남도 함평군 해보면 밀재로1268-13,061-323-8778
유정,전라남도 함평군 해보면 유정길 28,061-322-2341
금곡,전라남도 함평군 해보면 밀재로 1185-50,061-323-2028
고두,전라남도 함평군 해보면 금덕길 59,061-323-2450
만년,전라남도 함평군 해보면 해보만년길 146,061-323-3380
구계,전라남도 함평군 해보면 구계길 147,
모산,전라남도 함평군 해보면 모산길 75,
발미,전라남도 함평군 해보면 발미길 19,061-323-0534
월현,전라남도 함평군 해보면 해보월현길141,061-322-4904
금산,전라남도 함평군 해보면 해보금산길 73,061-322-0054
원산,전라남도 함평군 해보면 산내길 55-15,061-323-4564
광암,전라남도 함평군 해보면 용천사길 56-130,
각궁,전라남도 함평군 해보면 각궁길 45,
해보,전라남도 함평군 해보면 밀재로 1267-40,061-323-0443
오두,전라남도 함평군 해보면 올림픽로 1048-45,
내세,전라남도 함평군 월야면 내세길 6,061-323-2667
외세,전라남도 함평군 월야면 외세길 30-2,
수창,전라남도 함평군 월야면 용머리길 172,061-323-7522
월봉,전라남도 함평군 월야면 월야월봉길 20-11,061-323-9507
용두,전라남도 함평군 월야면 용머리길 125,061-323-1147
양지,전라남도 함평군 월야면 갈동길 146-3,061-323-1412
방축,전라남도 함평군 월야면 방축길 13,061-323-7002
덕령,전라남도 함평군 월야면 덕령길 22,061-323-3334
석보,전라남도 함평군 월야면 갈동길 296-6,061-323-1907
백야,전라남도 함평군 월야면 백야길 116-165,061-323-5755
외치,전라남도 함평군 월야면 외치길 11-76,061-324-7799
월야면,전라남도 함평군 월야면 밀재로 1543,061-323-3048
월야여,전라남도 함평군 월야면 밀재로 1543,061-323-7856
월야1리,전라남도 함평군 월야면 전하길 63-4,061-323-1333
월야문화마을,전라남도 함평군 월야면 문화마을길 6-13,061-323-2235
순촌,전라남도 함평군 월야면 순송길 76,061-322-7116
장동,전라남도 함평군 월야면 문화로 655,061-323-9409
평촌,전라남도 함평군 월야면 월삼길 9,061-323-1217
금석,전라남도 함평군 월야면 금석길 49-1,061-323-8527
전하(월야5리),전라남도 함평군 월야면 전하길 7,061-322-1904
지변,전라남도 함평군 월야면 팔열부길 111,
월악,전라남도 함평군 월야면 사인정길 15,
성주,전라남도 함평군 월야면 월삼길 64-31,061-323-1163
봉덕,전라남도 함평군 월야면 봉덕길 164,061-323-7308
노동,전라남도 함평군 월야면 월삼길 267,061-323-3244
연당,전라남도 함평군 월야면 연당길 11,061-323-1595
시목,전라남도 함평군 월야면 시목길 34,061-322-2487
주전,전라남도 함평군 월야면 주전길 61,061-322-2442
장함,전라남도 함평군 월야면 주전길 22,061-323-3721
가차,전라남도 함평군 월야면 가차길 38,061-323-2468
죽림,전라남도 함평군 월야면 금치죽림길 77-5,
금치,전라남도 함평군 월야면 금치죽림길 16,061-324-8889
예동,전라남도 함평군 월야면 예동길 107,061-323-5494
신촌,전라남도 함평군 월야면 예동길 35,
신덕,전라남도 함평군 월야면 신덕길 6,061-323-1884
내정,전라남도 함평군 월야면 내정길 46,061-323-3711
화산,전라남도 함평군 월야면 월야화산길 20,061-323-1337
동촌,전라남도 함평군 월야면 동촌길 17-2,061-322-2231
대야,전라남도 함평군 월야면 월야장교길 18,061-323-7684
서촌,전라남도 함평군 월야면 서촌길 45-7,061-322-7774
신기,전라남도 함평군 월야면 월야신기길 6,061-323-9922
방하,전라남도 함평군 월야면 방하길 25,061-323-1766
연화,전라남도 함평군 월야면 연화길 48,
신성,전라남도 함평군 월야면 신성길 16,061-323-1049
은암,전라남도 함평군 월야면 은암길 178,061-323-3335
용정,전라남도 함평군 월야면 용정길 178,061-322-1912
복용,전라남도 함평군 월야면 복룡길 35,061-323-3999
석계,전라남도 함평군 월야면 석계길 12-11,061-323-1120
용강,전라남도 함평군 월야면 용강길 65-6,061-323-1182
덕산,전라남도 함평군 월야면 월야덕산길 6,061-323-5611
