연번,명칭,경로당주소,전화번호
30,벌교부인경로당,전라남도 보성군 벌교읍 채동선로 322-8,061-858-0130
31,덕운경로당,전라남도 보성군 겸백면 은덕길 38,061-853-0331
32,하고경로당,전라남도 보성군 벌교읍 하고길 39-1,061-857-1796
33,청암경로당,전라남도 보성군 득량면 청암길 104,061-853-1092
34,조양경로당,전라남도 보성군 득량면 조양길 28,061-853-0442
35,득량경로당,전라남도 보성군 득량면 역전길1-6,061-853-8556
36,대촌경로당,전라남도 보성군 벌교읍 대촌길 10,061-857-8944
37,대여 경로당,전라남도 보성군 노동면 영구길 61,061-852-0133
38,대산경로당,전라남도 보성군 웅치면 해룡길 12 ,061-853-1887
39,분토경로당,전라남도 보성군 벌교읍 분토길 12-2,
40,월평경로당,전라남도 보성군 득량면 월평길 31-9,061-853-7999
41,관기경로당,전라남도 보성군 득량면 예당길174-5,061-853-5444
42,복내여자경로당,전라남도 보성군 복내면 송재로 1829-21,
43,덕정경로당,전라남도 보성군 조성면 조성덕정길 51 ,
44,금능경로당,전라남도 보성군 득량면 공룡로1325,
45,평촌경로당,전라남도 보성군 보성읍 평촌길8-17,
46,대흥경로당,전라남도 보성군 조성면 대흥길 17 ,061-853-1544
47,평촌경로당,전라남도 보성군 벌교읍 채동선로 474-4,
48,매산경로당,전라남도 보성군 벌교읍 매산길 7,
49,수연경로당,전라남도 보성군 조성면 수당길 171-4 ,
50,두슬경로당,전라남도 보성군 보성읍 신지두슬길 84,061-853-2440
51,마동경로당,전라남도 보성군 벌교읍 마동리 878-3,
52,장양경로당,전라남도 보성군 벌교읍 장양길 46-3,061-857-3414
53,부수경로당,전라남도 보성군 벌교읍 부수길 3,061-857-9936
54,장암경로당,전라남도 보성군 벌교읍 장암길 335-25,
55,장좌경로당,전라남도 보성군 벌교읍 장좌길 25,061-857-3536
56,원등경로당,전라남도 보성군 벌교읍 지동길 242,
57,척령경로당,전라남도 보성군 벌교읍 척령길 6-3,061-857-8150
58,무만경로당,전라남도 보성군 벌교읍 무만길 11-1,
59,연동경로당,전라남도 보성군 벌교읍 벌교연동길 166,
60,삼흥경로당,전라남도 보성군 득량면 충의로 1245,061-853-8968
61,주봉1경로당,전라남도 보성군 보성읍 주봉길 10-3,
62,흥촌경로당,전라남도 보성군 조성면 대보둑길 602 ,061-857-9567
63,강산경로당,전라남도 보성군 웅치면 강산2길 14 ,061-853-7720
64,구정경로당,전라남도 보성군 벌교읍 구정길 25-11,
65,원효경로당,전라남도 보성군 득량면 방죽길 28,061-852-7911
66,원당경로당,전라남도 보성군 벌교읍 벌교원당길 51,061-858-0511
67,축내경로당,전라남도 보성군 조성면 축내길 99-1 ,061-857-9733
68,산정경로당,전라남도 보성군 조성면 산정길 77 ,
69,신촌경로당,전라남도 보성군 조성면 중앙로길 34 ,061-853-7266
70,현촌경로당,전라남도 보성군 보성읍 현촌길16,061-852-2484
71,용암경로당,전라남도 보성군 문덕면 장동길 47,061-853-4338
72,담안경로당,전라남도 보성군 보성읍 보성담안길 48,061-853-5780
73,동암경로당,전라남도 보성군 보성읍 동암1길 63,
74,징광경로당,전라남도 보성군 벌교읍 징광길 230,061-857-1989
75,강골경로당,전라남도 보성군 득량면 강골길 38,061-853-2388
76,군농경로당,전라남도 보성군 회천면 충의로 387,061-853-1710
77,원동경로당,전라남도 보성군 벌교읍 원동길 30,061-858-1415
78,연암경로당,전라남도 보성군 웅치면 연암길 46-4,061-853-4611
79,내추경로당,전라남도 보성군 벌교읍 내추길 84,061-857-2459
80,원촌부인경로당,전라남도 보성군 조성면 월평길 3 ,061-857-3772
81,사초경로당,전라남도 보성군 조성면 사초길 16 ,
82,예당8리경로당,전라남도 보성군 득량면 예당중앙길38-5,061-853-3103
83,대은경로당,전라남도 보성군 웅치면 대은길 38-4 ,061-853-6296
84,약산경로당,전라남도 보성군 웅치면 약산길 4 ,061-853-4562
85,살래경로당,전라남도 보성군 미력면 살래2길 16,061-853-1733
86,낙성경로당,전라남도 보성군 벌교읍 벌교용동길 24-4,
87,두평경로당,전라남도 보성군 벌교읍 두평길 70,
88,고읍경로당,전라남도 보성군 벌교읍 고읍길 246,061-857-8048
89,진석경로당,전라남도 보성군 벌교읍 장호길 339,061-857-2692
90,동막경로당,전라남도 보성군 벌교읍 동막길 25,
91,용동경로당,전라남도 보성군 벌교읍 벌교용동길 43,
92,명봉경로당,전라남도 보성군 노동면 명봉길 15,061-853-1180
93,거석경로당,전라남도 보성군 노동면 거석길 208,061-852-0336
94,반암경로당,전라남도 보성군 미력면 반암길33,061-852-1995
95,고내경로당,전라남도 보성군 조성면 고내길 39 ,061-858-1609
96,정문경로당,전라남도 보성군 조성면 정문길 24-4 ,061-858-2686
97,감동경로당,전라남도 보성군 조성면 감동길 51 ,061-853-4994
98,대전경로당,전라남도 보성군 조성면 대전길 73 ,061-857-8449
99,귀산경로당,전라남도 보성군 조성면 귀산길 87 ,061-858-1244
100,금천경로당,전라남도 보성군 율어면 선암길 121,061-853-0919
101,은림경로당,전라남도 보성군 조성면 조성은곡길 386 ,
102,덕림경로당,전라남도 보성군 웅치면 용추덕림길 64 ,061-853-1944
103,택촌경로당,전라남도 보성군 보성읍 택촌길 9,
104,덕촌경로당,전라남도 보성군 조성면 조성덕촌길 96 ,061-857-8987
105,정노회경로당,전라남도 보성군 보성읍 현충로 42-36,061-852-0939
106,칠음경로당,전라남도 보성군 율어면 칠음길 10,
107,왕초경로당,전라남도 보성군 웅치면  왕초길 2 ,061-852-0475
108,보성여자경로당,전라남도 보성군 보성읍 송재로 177-3,061-853-5660
109,내판경로당,전라남도 보성군 복내면 내판길 16,
110,세동경로당,전라남도 보성군 벌교읍 징광길 76,
111,전동경로당,전라남도 보성군 벌교읍 전동1길 83,061-857-3839
112,호산경로당,전라남도 보성군 벌교읍 호산길 8,
113,수촌경로당,전라남도 보성군 조성면 조성수촌길 61 ,061-852-0596
114,고장경로당,전라남도 보성군 조성면 높은담1길 80 ,061-857-0827
115,금곡경로당,전라남도 보성군 벌교읍 녹색로 5147-8,
116,쟁동경로당,전라남도 보성군 벌교읍 장호길 199-47,061-857-2615
117,구치경로당,전라남도 보성군 벌교읍 구치길 56-3,061-857-3929
118,장천경로당,전라남도 보성군 복내면 송재로 1300-7,061-852-5295
119,일와경로당,전라남도 보성군 복내면 일와길 22,061-852-4555
120,외판경로당,전라남도 보성군 복내면 외판길 5,061-853-6940
121,계동경로당,전라남도 보성군 복내면 복내월평길 25,061-852-5395
122,중흥경로당,전라남도 보성군 웅치면 웅치중흥길 38 ,061-853-3201
123,평촌경로당,전라남도 보성군 조성면 조성1길 17 ,061-858-1605
124,중촌경로당,전라남도 보성군 조성면 조성중촌길 23 ,061-857-9474
125,석부경로당,전라남도 보성군 조성면 석부길 33 ,061-857-5521
126,우춘경로당,전라남도 보성군 보성읍 중앙로 7(주공아파트),061-853-1552
127,매곡경로당,전라남도 보성군 조성면 매곡길 67 ,
128,입석경로당,전라남도 보성군 미력면 예재로21,061-852-4023
129,용지경로당,전라남도 보성군 미력면 용지길 12,061-852-1521
130,선소경로당,전라남도 보성군 득량면 청암길31-10,061-853-6405
131,진천경로당,전라남도 보성군 율어면 진천길 36,061-853-0673
132,고죽경로당,전라남도 보성군 율어면 고음길 131,061-852-7150
133,반곡경로당,전라남도 보성군 복내면 서리실길 24,061-853-3610
134,상천경로당,전라남도 보성군 득량면 아랫상천길 30,061-853-0098
135,안심경로당,전라남도 보성군 득량면 득량만길464,061-853-5633
136,입석경로당,전라남도 보성군 복내면 복내선돌길 112-4,061-853-2246
137,웅동경로당,전라남도 보성군 복내면 웅동길 63-22,061-853-5339
138,내기경로당,전라남도 보성군 복내면 내기길 6-1,061-852-8453
139,구교경로당,전라남도 보성군 보성읍 구교길 27,
140,두방경로당,전라남도 보성군 보성읍 쾌상길 284,
141,태평경로당,전라남도 보성군 보성읍 태평길 42-3,061-853-4048
142,오류경로당,전라남도 보성군 웅치면  유산길 258 ,061-853-2029
143,명곡경로당,전라남도 보성군 율어면 명곡길 69-3,061-852-3326
144,이동경로당,전라남도 보성군 율어면 배골길 46,061-853-5388
145,박석경로당,전라남도 보성군 벌교읍 박석길 24,
146,옥전경로당,전라남도 보성군 벌교읍 옥전2길 31-36,
147,장수경로당,전라남도 보성군 율어면 장수길 1-2,061-853-3353
148,가평경로당,전라남도 보성군 미력면 가평길43,061-852-4577
149,중흥경로당,전라남도 보성군 벌교읍 벌교중흥길 159,
150,금평경로당,전라남도 보성군 벌교읍 녹색로 5359-3,
151,금평경로당,전라남도 보성군 득량면 금평길23,061-853-4045
152,봉산경로당,전라남도 보성군 조성면 조성봉산길 50 ,061-853-9363
153,신기경로당,전라남도 보성군 조성면 신기길 82-5 ,061-857-8242
154,군지경로당,전라남도 보성군 벌교읍 벌교군지길 95,
155,대야2경로당,전라남도 보성군 보성읍 관동길 36,
156,소룡경로당,전라남도 보성군 미력면 소룡길83,061-852-4686
157,쌍룡경로당,전라남도 보성군 보성읍 쌍룡길 38-9,
158,엘림경로당,전라남도 보성군 벌교읍 조정래길 56(엘림아파트관리사무실) 2층,061-857-8690
159,대실경로당,전라남도 보성군 미력면 대실길40-9,061-852-4249
160,더래경로당,전라남도 보성군 미력면 구덕길70,061-852-4029
161,하진경로당,전라남도 보성군 복내면 하진길 74,061-853-4997
162,덕산경로당,전라남도 보성군 득량면 덕산길 10,061-853-0093
163,수풍경로당,전라남도 보성군 조성면 수풍길 38 ,061-853-4758
164,신방경로당,전라남도 보성군 조성면 신방길 35-4 ,061-853-3935
165,유신경로당,전라남도 보성군 율어면 유신길 33,
166,원삼수경로당,전라남도 보성군 웅치면 외삼수길 6 ,061-852-2714
167,봉림경로당,전라남도 보성군 벌교읍 봉림길 28,
168,능묵경로당,전라남도 보성군 겸백면 능묵길 43,061-852-1402
169,삼수경로당,전라남도 보성군 웅치면 삼수길 5 ,061-852-6678
170,가마실경로당,전라남도 보성군 보성읍 송재로 208-3,
171,대야1경로당,전라남도 보성군 보성읍 유촌길 128-30,
172,송림경로당,전라남도 보성군 미력면 송림2길4,061-853-4424
173,도촌경로당,전라남도 보성군 득량면 참냉기길118,
174,풍치경로당,전라남도 보성군 복내면 바람재길 8,061-852-5760
175,학동경로당,전라남도 보성군 노동면 학동길 81,061-852-0588
176,옥암리경로당,전라남도 보성군 보성읍 예동길 30,061-852-4443
177,대룡경로당,전라남도 보성군 벌교읍 장암길 349-10,
178,상율여자경로당,전라남도 보성군 율어면 상율길 33,061-852-1646
179,덕촌경로당,전라남도 보성군 복내면 덕촌길 55-4,061-852-5442
180,서당2리경로당,전라남도 보성군 회천면 원산길 32-15,061-852-6750
181,삼장경로당,전라남도 보성군 회천면 일림산길 330-2,061-852-6834
182,대산2경로당,전라남도 보성군 웅치면 임수신전길 62-1 ,061-852-1599
183,담안경로당,전라남도 보성군 웅치면 보성담안길 42 ,061-852-9642
184,중선경로당,전라남도 보성군 웅치면 서동길 126 ,061-853-4458
185,용추경로당,전라남도 보성군 웅치면 용추덕림길 99-6,061-853-3858
186,주봉3경로당,전라남도 보성군 보성읍 주봉길 74,
187,진봉경로당,전라남도 보성군 복내면 진척서봉길 79,061-852-3966
188,화령경로당,전라남도 보성군 복내면 화령길 34,061-852-5833
189,봉천경로당,전라남도 보성군 복내면 당촌길 8,061-853-5896
190,사월경로당,전라남도 보성군 조성면 사월1길 52-2 ,061-857-1958
191,대야경로당,전라남도 보성군 조성면 대야1길 57 ,061-858-1155
192,월평경로당,전라남도 보성군 조성면 월평길 34 ,061-857-5514
193,입석경로당,전라남도 보성군 조성면 입석길 49 ,061-857-9082
194,채석경로당,전라남도 보성군 웅치면 채석길 39-12 ,061-852-5486
195,법화경로당,전라남도 보성군 문덕면 법화길 64-5,061-852-1261
196,내동경로당,전라남도 보성군 복내면 안골길 89-1,061-853-5460
197,모령경로당,전라남도 보성군 보성읍 모령길 45,
198,망일경로당,전라남도 보성군 문덕면 가내길 21,061-852-4390
199,반곡경로당,전라남도 보성군 조성면  조성은곡길 244 ,061-857-3884
200,명교경로당,전라남도 보성군 회천면 명교길 34,061-852-1599
201,두곡경로당,전라남도 보성군 회천면 두곡길 41,061-852-3552
202,제석경로당,전라남도 보성군 벌교읍 홍암로 123-6,
203,청능경로당,전라남도 보성군 조성면 청능길 32,
204,만평경로당,전라남도 보성군 보성읍 송재로 408-3,061-852-0442
205,양동경로당,전라남도 보성군 벌교읍 양동길 18,061-857-2811
206,서동경로당,전라남도 보성군 회천면 서동지등길 111,
207,도안경로당,전라남도 보성군 겸백면 도림길 38-4,061-853-6623
208,초당경로당,전라남도 보성군 미력면 초당길13,061-853-3348
209,기정경로당,전라남도 보성군 율어면 깃발길 53,061-852-0577
210,군지경로당,전라남도 보성군 회천면 회천군지길 29,
211,우암경로당,전라남도 보성군 회천면 우암1길 77,061-852-4883
212,대련 2리 경로당,전라남도 보성군 노동면 적련길 1,061-852-1830
213,마화경로당,전라남도 보성군 벌교읍 마화길 9,
214,연산경로당,전라남도 보성군 벌교읍 조정래길 277-8,
215,봉계경로당,전라남도 보성군 복내면 일봉길 324-9,061-852-9208
216,원봉1경로당,전라남도 보성군 보성읍 송재로 19-22,
217,침동경로당,전라남도 보성군 겸백면 침동길 26,061-853-6422
218,객산경로당,전라남도 보성군 회천면 객산길 15,
219,서재동경로당,전라남도 보성군 웅치면  서동길 181-2 ,
220,옥마경로당,전라남도 보성군 노동면 평동로 787-9,061-852-1601
221,장미경로당,전라남도 보성군 보성읍 중앙로 30-40,061-853-2218
222,평화경로당,전라남도 보성군 겸백면 평화길 45,061-853-6339
223,기남경로당,전라남도 보성군 득량면 기남길68,061-853-0095
224,내동경로당,전라남도 보성군 웅치면  웅치내동길 24-13 ,061-852-4675
225,농소경로당,전라남도 보성군 회천면 농소길 82-18,061-852-9344
226,행정경로당,전라남도 보성군 벌교읍 행정길 8,
227,당산경로당,전라남도 보성군 회천면 회천당산길 40,
228,성재경로당,전라남도 보성군 득량면 성재길30-13,061-853-3955
229,신전경로당,전라남도 보성군 득량면 신전길22,061-852-4779
230,대운경로당,전라남도 보성군 문덕면 대운길 12,061-852-1239
231,자세경로당,전라남도 보성군 보성읍 자세길 50,061-852-1240
232,죽동경로당,전라남도 보성군 복내면 죽동길 152,061-852-5591
233,반월경로당,전라남도 보성군 문덕면 동소산길 449,061-852-1380
234,원촌경로당,전라남도 보성군 문덕면 원촌길 38,061-852-1149
235,서관기경로당,전라남도 보성군 득량면 서관기길10-5,061-853-7044
236,호음동경로당,전라남도 보성군 득량면 호음동길39,
237,쇠실경로당,전라남도 보성군 득량면 쇠실길50,061-853-2251
238,방축경로당,전라남도 보성군 복내면 방축동길 61,061-852-2770
239,신근경로당,전라남도 보성군 회천면 신근길 60,061-853-9177
240,세동경로당,전라남도 보성군 보성읍 닭재세동길 44-7,061-852-0805
241,월정경로당,전라남도 보성군 벌교읍 월정길 105,
242,부용경로당,전라남도 보성군 벌교읍 부용안길 1,
243,우곡경로당,전라남도 보성군 미력면 우와실길21,061-852-4314
244,은행마을 경로당 ,전라남도 보성군 회천면 은행길 63,
245,호동경로당,전라남도 보성군 벌교읍 벌교호동길 62,
246,회정경로당,전라남도 보성군 벌교읍 회정1길 7,
247,영등경로당,전라남도 보성군 벌교읍 영등길 61,
248,선돌여성경로당,전라남도 보성군 겸백면 충의로 2483-5,061-853-6040
249,가전경로당,전라남도 보성군 겸백면 달구재길 352,061-853-6211
250,시장마을경로당,전라남도 보성군 복내면 송재로 1837-27,061-853-5512
251,상신경로당,전라남도 보성군 조성면  상신길 41 ,061-853-2639
252,화동경로당,전라남도 보성군 회천면 화동분매길 118-1,061-852-8820
253,화당경로당,전라남도 보성군 회천면 화당길 18,
254,초지경로당,전라남도 보성군 벌교읍 초지길 11,
255,백천경로당,전라남도 보성군 벌교읍 백천길 49-2,
256,탄곡경로당,전라남도 보성군 노동면 탄곡길 102-5,061-852-6606
257,봉화경로당,전라남도 보성군 노동면  봉화길 27,061-853-0566
258,신흥경로당,전라남도 보성군 노동면 신천길 114,061-852-6893
259,양지경로당,전라남도 보성군 율어면 양지길 35,
260,연동경로당,전라남도 보성군 회천면 회천연동길 2-11,
261,석간경로당,전라남도 보성군 회천면 충의로 503-24,
262,구기경로당,전라남도 보성군 미력면 구기길 26,061-852-4115
263,대평경로당,전라남도 보성군 율어면 율어로 787-31,061-852-0458
264,도당경로당,전라남도 보성군 회천면 도당길 24,061-852-4783
265,지곡경로당,전라남도 보성군 벌교읍 지곡길 71,
266,선암경로당,전라남도 보성군 율어면 상선길 17,061-852-7580
267,상율경로당,전라남도 보성군 회천면 만수상율길 96-2,061-852-3556
268,향교촌경로당,전라남도 보성군 문덕면 용암길 246,061-852-1711
269,마천1리경로당,전라남도 보성군 득량면 마천길34,061-852-6905
270,부춘동경로당,전라남도 보성군 웅치면 부춘길 29-4 ,061-852-9930
271,수차경로당,전라남도 보성군 벌교읍 수차길 24-3,
272,금호 경로당,전라남도 보성군 노동면 대여길 67,061-852-0526
273,천동경로당,전라남도 보성군 조성면 조성천동길 64 ,061-857-9705
274,사곡경로당,전라남도 보성군 겸백면 사곡길 42,061-853-7004
275,옥천경로당,전라남도 보성군 겸백면 옥천길 71-6,061-852-3442
276,신정경로당,전라남도 보성군 벌교읍 신정길 4-19,
277,용호경로당,전라남도 보성군 노동면 노동수촌길39,061-852-1750
278,구룡경로당,전라남도 보성군 득량면 구룡길 12,061-853-0607
279,분지경로당,전라남도 보성군 득량면 분지길 1-8,061-852-9311
280,작천경로당,전라남도 보성군 득량면 작천길24,061-853-6700
281,괴정마을경로당,전라남도 보성군 복내면 괴정길 47,061-852-2724
282,군학경로당,전라남도 보성군 회천면 군학길 23-1,061-852-8708
283,도락경로당,전라남도 보성군 보성읍 도락제길 8,
284,인사동경로당,전라남도 보성군 보성읍 인사길 7-3,
285,홍교경로당,전라남도 보성군 벌교읍 채동선로 347-10,061-858-1239
286,토산경로당,전라남도 보성군 벌교읍 토산길 19,
287,옥마2리  경로당,전라남도 보성군 노동면 벽옥길 7,061-852-0215
288,원봉마을경로당,전라남도 보성군 복내면 원봉길 34,061-852-5209
289,산수마을경로당,전라남도 보성군 복내면 산수길 12-1,061-852-5562
290,다전경로당,전라남도 보성군 득량면 다전길35,061-853-9893
291,가신경로당,전라남도 보성군 득량면 가신길 49,061-853-8890
292,지등경로당,전라남도 보성군 회천면 서동지등길 172-1,
293,제두경로당,전라남도 보성군 벌교읍 제두길 93-12,
294,영구 경로당,전라남도 보성군 노동면 영구길 26,061-852-0350
295,중촌경로당,전라남도 보성군 미력면 미력중촌길50,061-852-4880
296,신성경로당,전라남도 보성군 벌교읍 시장1길 15-21,
297,월곡경로당,전라남도 보성군 벌교읍 월곡길 38-3,061-857-1146
298,기동경로당,전라남도 보성군 득량면 기동길 27,061-853-3340
299,상장경로당,전라남도 보성군 벌교읍 상장길 16,
300,하가경로당,전라남도 보성군 겸백면 하가길 15-9,061-853-6683
301,살치경로당,전라남도 보성군 복내면 송재로 2223-33,061-852-5524
302,중동경로당,전라남도 보성군 득량면 중동길76,
303,모원경로당,전라남도 보성군 회천면 모원길 8,
304,율포부녀경로당,전라남도 보성군 회천면 남부관광로 2293-13,061-852-8083
305,이문경로당,전라남도 보성군 회천면 이문길 35,061-852-7488
306,외래경로당,전라남도 보성군 회천면 일림산길 42-3,061-852-1192
307,예당6리경로당,전라남도 보성군 득량면 참샘이길42,061-853-0690
308,광화경로당,전라남도 보성군 노동면  광화길 13,061-852-1120
309,동촌경로당,전라남도 보성군 회천면 동촌길 38,
310,대동경로당,전라남도 보성군 조성면  조성대동길 62 ,061-857-5665
311,백동경로당,전라남도 보성군 벌교읍 백동길 63,061-858-5511
312,남양경로당,전라남도 보성군 겸백면 대겸길 12,061-853-2314
313,율변경로당,전라남도 보성군 율어면 밤갓길 19-2,061-852-7995
314,장목경로당,전라남도 보성군 회천면 장목길 13,
315,원서당경로당,전라남도 보성군 회천면 원서당길 28,
316,자포경로당,전라남도 보성군 겸백면 자포길 23,061-853-6866
317,하청룡경로당,전라남도 보성군 보성읍 대련로 7-4,
318,내동여자경로당,전라남도 보성군 문덕면 문덕내동길 67,061-852-2829
319,성두경로당,전라남도 보성군 보성읍 용문길 50-52,
320,와장경로당,전라남도 보성군 보성읍 와장길 36-8,
321,대치경로당,전라남도 보성군 노동면 대련로 402,061-852-0310
322,정자경로당,전라남도 보성군 미력면 정자길85-3,061-852-6619
323,상진경로당,전라남도 보성군 복내면 상진길 84-1,061-852-5501
324,대동경로당,전라남도 보성군 율어면 율어대동길 87-3,061-852-8894
325,원촌경로당,전라남도 보성군 조성면 조성4길 6-20 ,061-857-6116
326,거석지심경로당,전라남도 보성군 노동면 거석길 289,061-852-5080
327,온동경로당,전라남도 보성군 벌교읍 온동길 28-5,
328,고분경로당,전라남도 보성군 벌교읍 고분길 59,
329,옥평경로당,전라남도 보성군 복내면 옥평길 27,061-852-2830
330,파청경로당,전라남도 보성군 득량면 파청길7-10,061-853-8080
331,용호경로당,전라남도 보성군 득량면 용호길 29,
332,오봉7리경로당,전라남도 보성군 득량면 상작길25-21,061-853-7745
333,주음경로당,전라남도 보성군 보성읍 주음길 21,
334,요평경로당,전라남도 보성군 보성읍 평동로 1612-1,
335,진산경로당,전라남도 보성군 문덕면 진산길 20-5,061-852-1293
336,남양2구경로당,전라남도 보성군 겸백면 금곡길 82,061-852-3321
337,마산경로당,전라남도 보성군 회천면 회천마산길 60,061-852-9001
338,동곡여성경로당,전라남도 보성군 조성면 대보둑로 325-1,061-852-6691
339,회령시장경로당,전라남도 보성군 회천면 시장길 28-16,061-852-0584
340,오호경로당,전라남도 보성군 겸백면 오호길 31,061-852-3421
341,한치경로당,전라남도 보성군 율어면 한치길 102,061-852-7998
342,봉림경로당,전라남도 보성군 회천면 봉서동길 49,061-852-0649
343,춘정경로당,전라남도 보성군 벌교읍 벌교춘정길 76,
344,보림경로당,전라남도 보성군 노동면 보림길 41,061-852-2488
345,학송경로당,전라남도 보성군 노동면 학송길 39,061-852-0456
346,무사경로당,전라남도 보성군 노동면 대련로 295,061-852-0421
347,유신2구경로당,전라남도 보성군 율어면 시목길 50,061-852-7545
348,녹동경로당,전라남도 보성군 웅치면 녹동길 18 ,061-853-1217
349,숙호경로당,전라남도 보성군 겸백면 숙호길 148,061-853-0322
350,가척경로당,전라남도 보성군 율어면 율어로 431,061-852-7055
351,강변경로당,전라남도 보성군 문덕면 동소산길 339,061-852-1255
352,장골경로당,전라남도 보성군 미력면 장고을길22-2,061-853-1644
353,만수경로당,전라남도 보성군 회천면 만수상율길 21,061-852-0599
354,도강마을경로당,전라남도 보성군 회천면 영천길 56,
355,오리실경로당,전라남도 보성군 보성읍 오리실길 69,
356,장운경로당,전라남도 보성군 문덕면 장운길 21,061-853-4724
357,갑동경로당,전라남도 보성군 노동면 학동길 199,061-852-5208
358,칠동경로당,전라남도 보성군 벌교읍 칠동길 9,
359,역전경로당,전라남도 보성군 벌교읍 시장1길 8-20,
360,강산새마을경로당,전라남도 보성군 보성읍 강산길 131,
361,지동경로당,전라남도 보성군 득량면 득량지동길32,061-853-8133
362,정흥1리경로당,전라남도 보성군 득량면 득량동막길51,
363,돈다경로당,전라남도 보성군 노동면 돈다길 69,061-853-0709
364,봉황경로당,전라남도 보성군 벌교읍 봉황길 129,
365,상고경로당,전라남도 보성군 벌교읍 고정길 19,
366,감정경로당,전라남도 보성군 노동면 평동로 971-17,061-852-0216
367,신동여성경로당,전라남도 보성군 조성면 대보둑로 371-12,
368,신리경로당,전라남도 보성군 회천면 녹차로 218-1,
369,대화경로당,전라남도 보성군 득량면 참냉기길166-6,061-853-2442
370,지곡금평경로당,전라남도 보성군 벌교읍 지곡금평길 20,061-857-4059
371,묵산경로당,전라남도 보성군 회천면 공룡로 33,
372,이정경로당,전라남도 보성군 득량면 이정길29-14,
373,춘정여자경로당,전라남도 보성군 미력면 미력춘정길 65,
374,회룡경로당,전라남도 보성군 복내면 복내회룡길 56,061-852-7775
375,신흥1동경로당,전라남도 보성군 보성읍 새싹길 2-2,
376,노산경로당,전라남도 보성군 보성읍 노산길 86,
377,신촌경로당,전라남도 보성군 회천면 충의로 314-8,
378,화곡경로당,전라남도 보성군 회천면 천포길 40-36,
379,징광개곡경로당,전라남도 보성군 벌교읍 개곡길 62,
380,행복경로당,전라남도 보성군 득량면 호음동길85,
381,번열경로당,전라남도 보성군 보성읍 평동로 1550-16,
382,영천경로당,전라남도 보성군 회천면 영천길 253,
383,반룡경로당,전라남도 보성군 벌교읍 벌교반룡길 22,
384,안치경로당,전라남도 보성군 미력면 안치길24-4,
385,하선경로당,전라남도 보성군 율어면 선암길 273-1,061-852-5747
386,모암경로당,전라남도 보성군 율어면 모암길 21,
387,죽산2리경로당,전라남도 보성군 문덕면 죽산길 160-2,
388,용호1리 경로당,전라남도 보성군 노동면 묘동길 38,061-853-0366
389,섬동경로당,전라남도 보성군 득량면 섬동길43-1,
390,월곡여자경로당,전라남도 보성군 벌교읍 월곡길 34-3,061-858-2321
391,중산경로당,전라남도 보성군 득량면 중산길 22,
392,해도경로당,전라남도 보성군 벌교읍 해도길 33,061-858-2321
393,샘골경로당,전라남도 보성군 회천면 용산천동길 130-16,
394,용반경로당,전라남도 보성군 복내면 용전길 71,061-852-5116
395,못골경로당,전라남도 보성군 벌교읍 못골길 23,061-858-8010
396,두수경로당,전라남도 보성군 벌교읍 채동선로 684,061-857-6222
397,동곡3회관경로당,전라남도 보성군 조성면  대보둑로 296-11 ,
398,미력원당경로당,전라남도 보성군 미력면 미력원당길59,
