연번,경로당 명칭,관리기관,행정동,소재지,관리기관전화번호,데이터기준일자
84,금화경로당경로당,목포시,유달동,전라남도 목포시 해안로105번길 15-2 (금화동),061-270-3341,2021-09-24
85,해바라기경로당,목포시,유달동,전라남도 목포시 목포시 해양대학로 183-2 (죽교동),061-270-3341,2021-09-24
86,해양경로당,목포시,유달동,전라남도 목포시 목포시 해양대학로 112 (죽교동),061-270-3341,2021-09-24
87,죽교춘광경로당,목포시,죽교동,전라남도 목포시 죽선로55번길 4-1 (죽교동),061-270-3341,2021-09-24
88,죽교유일경로당,목포시,죽교동,전라남도 목포시 북항로 57-1 (죽교동),061-270-3341,2021-09-24
89,기왓골경로당,목포시,죽교동,전라남도 목포시 수문로101번길 12-1 (죽교동),061-270-3341,2021-09-24
90,신안비치 1차경로당,목포시,북항동,"전라남도 목포시 청호로 209 (산정동, 신안비치아파트)",061-270-3341,2021-09-24
91,인덕경로당경로당,목포시,북항동,전라남도 목포시 청호로167번길 13 (산정동),061-270-3341,2021-09-24
92,신안비치 2차A경로당,목포시,북항동,"전라남도 목포시 고하대로 641-10 (산정동, 신안비치2차아파트)",061-270-3341,2021-09-24
93,신안비치 3차경로당,목포시,북항동,"전라남도 목포시 고하대로 641-11 (산정동, 신안비치3차아파트)",061-270-3341,2021-09-24
94,북항경로당,목포시,북항동,전라남도 목포시 고하대로646번길 28-1 (산정동),061-270-3341,2021-09-24
95,서부경로당,목포시,북항동,전라남도 목포시 북항주택로26번길 13-3 (북항동),061-270-3341,2021-09-24
96,북항청해경로당,목포시,북항동,"전라남도 목포시 북항로166번길 4 (산정동, 종원청해아파트)",061-270-3341,2021-09-24
97,신안실크밸리7차경로당,목포시,북항동,"전라남도 목포시 청호로219번길 51(죽교동, 신안실크밸리7차아파트)",061-270-3341,2021-09-24
98,용해2단지경로당,목포시,용해동,"전라남도 목포시 양을로 267 (용해동, 주공2단지)",061-270-3341,2021-09-24
99,라이프1차경로당,목포시,용해동,"전라남도 목포시 용당로 323 (용해동, 라이프1차아파트)",061-270-3341,2021-09-24
100,용해동경로당,목포시,용해동,전라남도 목포시 용당로 297-4 (용해동),061-270-3341,2021-09-24
101,포미타운 2단지경로당,목포시,용해동,"전라남도 목포시 포미로 22 (용해동, 포미타운주공2단지아파트)",061-270-3341,2021-09-24
102,포미타운1단지경로당,목포시,용해동,"전라남도 목포시 포미로 23 (용해동, 포미타운주공1단지아파트)",061-270-3341,2021-09-24
103,포미타운주공 3단지경로당,목포시,용해동,"전라남도 목포시 관해로5번길 29 (용해동, 포미타운주공3단지아파트)",061-270-3341,2021-09-24
104,포미4차경로당,목포시,용해동,"전라남도 목포시 용해지구로88번길 24 (용해동, 포미타운LH4단지아파트)",061-270-3341,2021-09-24
105,용해호반 아파트경로당,목포시,용해동,"전라남도 목포시 용당로331번길 88 (용해동, 호반리젠시빌아파트)",061-270-3341,2021-09-24
106,용해내동마을경로당,목포시,용해동,전라남도 목포시 안태길26번길 6 (용해동),061-270-3341,2021-09-24
107,관해마을경로당,목포시,용해동,전라남도 목포시 관해로 28 (용해동),061-270-3341,2021-09-24
108,청산푸른 아파트경로당,목포시,용해동,"전라남도 목포시 온남길 25 (용해동, 청산푸른아파트)",061-270-3341,2021-09-24
109,양을촌경로당,목포시,용해동,전라남도 목포시 양을마을로 6 (용해동),061-270-3341,2021-09-24
110,골드디움5차아파트경로당,목포시,용해동,"전라남도 목포시 용해지구로88번길 23 (용해동, 골드디움5차아파트)",061-270-3341,2021-09-24
111,용해행복경로당,목포시,용해동,전라남도 목포시 양을로248번길 12(용해동),061-270-3341,2021-09-24
112,이로중앙경로당,목포시,이로동,전라남도 목포시 이로로4번길 7 (용해동),061-270-3341,2021-09-24
113,용해동아 아파트경로당,목포시,이로동,"전라남도 목포시 삼학로 303-3 (용해동, 동아아파트)",061-270-3341,2021-09-24
114,금호타운 아파트경로당,목포시,이로동,"전라남도 목포시 삼학로 331 (용해동, 금호타운)",061-270-3341,2021-09-24
115,라이프2차경로당,목포시,이로동,"전라남도 목포시 삼학로 376-1 (용해동, 라이프2차아파트)",061-270-3341,2021-09-24
116,이로무학경로당,목포시,이로동,전라남도 목포시 이로로9번길 22-3 (용해동),061-270-3341,2021-09-24
117,신안인스빌 아파트경로당,목포시,이로동,"전라남도 목포시 삼학로 363 (용해동, 신안인스빌아파트)",061-270-3341,2021-09-24
118,대화파크경로당,목포시,이로동,전라남도 목포시 안장산로 44-2 (용해동),061-270-3341,2021-09-24
119,한성주택경로당,목포시,이로동,전라남도 목포시 입암천북로6번길 11 (용해동),061-270-3341,2021-09-24
120,금장 아파트경로당,목포시,상동,"전라남도 목포시 도룡길5번길 11 (석현동, 금장아파트)",061-270-3341,2021-09-24
121,상동주공2단지경로당,목포시,상동,"전라남도 목포시 상동로 43 (상동, 주공2단지아파트)",061-270-3341,2021-09-24
122,상동주공1단지경로당,목포시,상동,"전라남도 목포시 상동로 63 (상동, 주공1단지아파트)",061-270-3341,2021-09-24
123,상동주공3단지경로당,목포시,상동,"전라남도 목포시 상동로 64 (상동, 주공3단지아파트)",061-270-3341,2021-09-24
124,상동현대 아파트경로당,목포시,상동,"전라남도 목포시 상동로 33 (상동, 상동현대아파트)",061-270-3341,2021-09-24
125,도룡마을경로당,목포시,상동,전라남도 목포시 도룡길 25,061-270-3341,2021-09-24
126,상동주공4단지경로당,목포시,상동,"전라남도 목포시 상동로 68 (상동, 주공4단지아파트)",061-270-3341,2021-09-24
127,호반리젠시빌 아파트경로당,목포시,상동,"전라남도 목포시 영산로535번길 6 (상동, 호반리젠시빌아파트)",061-270-3341,2021-09-24
128,대성사랑으로 아파트경로당,목포시,상동,"전라남도 목포시 영산로 610 (석현동, 대성사랑으로아파트)",061-270-3341,2021-09-24
129,우진아트빌 아파트경로당,목포시,상동,"전라남도 목포시 영산로609번길 5 (석현동, 우진아트빌아파트)",061-270-3341,2021-09-24
130,근화블루빌 아파트경로당,목포시,상동,"전라남도 목포시 텃골로33번길 53 (석현동, 근화블루빌아파트)",061-270-3341,2021-09-24
131,근화네오빌2차경로당,목포시,상동,"전라남도 목포시 텃골로 19 (석현동, 근화네오빌2차여유당아파트)",061-270-3341,2021-09-24
132,금호어울림경로당,목포시,상동,"전라남도 목포시 텃골로33번길 53 (석현동, 금호어울림)",061-270-3341,2021-09-24
133,근화네오빌1차경로당,목포시,상동,"전라남도 목포시 텃골로13번길 40 (석현동, 근화네오빌아파트)",061-270-3341,2021-09-24
134,뒷도룡마을경로당,목포시,상동,전라남도 목포시 대양로342번길 7 (석현동),061-270-3341,2021-09-24
135,상리마을경로당,목포시,상동,전라남도 목포시 목포시 중화길 40 (상동),061-270-3341,2021-09-24
136,광신프로그레스경로당,목포시,상동,"전라남도 목포시 영산로565번길 23 (석현동,광신프로그레스)",061-270-3341,2021-09-24
137,비파1차아파트경로당,목포시,하당동,"전라남도 목포시 백년대로337번길 35 (상동, 비파1차아파트)",061-270-3341,2021-09-24
138,비파2차경로당,목포시,하당동,"전라남도 목포시 백년대로337번길 23 (상동, 비파2차아파트)",061-270-3341,2021-09-24
139,비파3차경로당,목포시,하당동,"전라남도 목포시 백년대로337번길 9 (상동, 비파3차아파트)",061-270-3341,2021-09-24
140,광명샤인빌1차경로당,목포시,하당동,"전라남도 목포시 석현로 42 (석현동, 광명샤인빌)",061-270-3341,2021-09-24
141,광명샤인빌2차경로당,목포시,하당동,"전라남도 목포시 옥암로 165 (상동, 광명샤인빌2차)",061-270-3341,2021-09-24
142,빌리앙뜨 아파트경로당,목포시,하당동,"전라남도 목포시 옥암로 174 (석현도, 빌리앙뜨아파트)",061-270-3341,2021-09-24
143,대송베스트빌경로당,목포시,하당동,"전라남도 목포시 옥암로186번길 20-1 (석현동, 대송베스트빌)",061-270-3341,2021-09-24
144,우성 아파트경로당,목포시,신흥동,"전라남도 목포시 신흥로 13 (상동, 우성아파트)",061-270-3341,2021-09-24
145,신흥동 삼성경로당,목포시,신흥동,"전라남도 목포시 부흥로 12 (상동, 삼성아파트)",061-270-3341,2021-09-24
146,신흥동 동아 아파트경로당,목포시,신흥동,전라남도 목포시 신흥로45번길 13 (상동),061-270-3341,2021-09-24
147,초원1차 아파트경로당,목포시,신흥동,"전라남도 목포시 부흥로 30 (상동, 하당초원타운아파트)",061-270-3341,2021-09-24
148,신안꿈동산1차아파트경로당,목포시,신흥동,"전라남도 목포시 하당남부로 25 (상동, 꿈동산신안아파트)",061-270-3341,2021-09-24
149,신안꿈동산2차경로당,목포시,신흥동,"전라남도 목포시 하당로 14 (상동, 꿈동산신안아파트)",061-270-3341,2021-09-24
150,신흥동 현대 아파트경로당,목포시,신흥동,"전라남도 목포시 통일대로37번길 33 (상동, 하당현대아파트)",061-270-3341,2021-09-24
151,우미파크빌경로당,목포시,신흥동,"전라남도 목포시 평화로20번길 11 (상동, 우미파크빌아파트)",061-270-3341,2021-09-24
152,석현동 현대아파트경로당,목포시,삼향동,"전라남도 목포시 영산로 676-7 (석현동, 현대아파트)",061-270-3341,2021-09-24
153,근화 희망타운 아파트경로당,목포시,삼향동,"전라남도 목포시 산양로 40 (대양동, 근화하이팰리스아파트) - 1차",061-270-3341,2021-09-24
154,만호(근화희망)경로당,목포시,삼향동,"전라남도 목포시 산양로 50 (대양동, 근화희망타운3차아파트) - 3차",061-270-3341,2021-09-24
155,산양마을경로당,목포시,삼향동,전라남도 목포시 지적로42번길 17 (대양동),061-270-3341,2021-09-24
156,대박마을경로당,목포시,삼향동,전라남도 목포시 대박길 45-8,061-270-3341,2021-09-24
157,신지마을경로당,목포시,삼향동,전라남도 목포시 신지마을3길 14-1 (석현동),061-270-3341,2021-09-24
158,석현마을경로당,목포시,삼향동,전라남도 목포시 석현마을길45(석현동),061-270-3341,2021-09-24
159,아이엠로즈빌 아파트경로당,목포시,삼향동,"전라남도 목포시 영산로 769-6(대양동, 아이엠로즈빌아파트)",061-270-3341,2021-09-24
160,한광프라임빌 아파트경로당,목포시,삼향동,"전라남도 목포시 영산로692번길 8 (석현동, 한광프라임빌)",061-270-3341,2021-09-24
161,월산경로당,목포시,삼향동,전라남도 목포시 대박길 104 (대양동),061-270-3341,2021-09-24
162,산계마을경로당,목포시,삼향동,전라남도 목포시 산계길 85 (대양동),061-270-3341,2021-09-24
163,근화희망경로당경로당,목포시,삼향동,"전라남도 목포시 산양로 40 (대양동,근화하이팰리스아파트), -2차-근화희망타운2차 203동 상가동 2층",061-270-3341,2021-09-24
164,우미2차경로당,목포시,옥암동,"전라남도 목포시 삼향천로 113 (옥암동, 우미아파트2차)",061-270-3341,2021-09-24
165,초원2차경로당,목포시,옥암동,"전라남도 목포시 신흥로 93 (옥암동, 하당초원2차아파트)",061-270-3341,2021-09-24
166,하당금호1차경로당,목포시,옥암동,"전라남도 목포시 백년대로375번길 32 (옥암동, 하당금호아파트)",061-270-3341,2021-09-24
167,하당금호2차경로당,목포시,옥암동,"전라남도 목포시 백년대로375번길 20 (옥암동, 하당2차금호타운)",061-270-3341,2021-09-24
168,제일2차하이빌경로당,목포시,옥암동,"전라남도 목포시 신흥로 113 (옥암동, 제일2차아파트)",061-270-3341,2021-09-24
169,현대2차경로당,목포시,옥암동,"전라남도 목포시 삼향천로91번길 21 (옥암동, 현대아이파크아파트)",061-270-3341,2021-09-24
170,제일3차 하이빌경로당,목포시,옥암동,"전라남도 목포시 하당로289번길 6 (옥암동, 제일3차풍경채아파트)",061-270-3341,2021-09-24
171,제일5차경로당,목포시,옥암동,"전라남도 목포시 하당로289번길 25 (옥암동, 제일5차풍경채아파트)",061-270-3341,2021-09-24
172,우미1차경로당,목포시,옥암동,"전라남도 목포시 삼향천로 131 (옥암동, 우미아파트)",061-270-3341,2021-09-24
173,제일6차(풍경채)경로당,목포시,옥암동,"전라남도 목포시 옥암로 156 (옥암동, 제일6단지풍경채)",061-270-3341,2021-09-24
174,옥암마을경로당,목포시,옥암동,전라남도 목포시 옥암마을길122번길 24 (옥암동),061-270-3341,2021-09-24
175,부영1차 아파트경로당,목포시,부흥동,"전라남도 목포시 삼향천로 35 (옥암동, 부영1차아파트)",061-270-3341,2021-09-24
176,부영2차 아파트경로당,목포시,부흥동,"전라남도 목포시 부흥로 88 (옥암동, 부영2차아파트)",061-270-3341,2021-09-24
177,부영3차 아파트경로당,목포시,부흥동,"전라남도 목포시 통일대로75번길 14 (옥암동, 부영3차아파트)",061-270-3341,2021-09-24
178,부영5차 아파트경로당,목포시,부흥동,"전라남도 목포시 하당남부로 97 (옥암동, 부영5차아파트)",061-270-3341,2021-09-24
179,우미블루빌 아파트경로당,목포시,부흥동,"전라남도 목포시 평화로153번길 9 (옥암동, 우미블루빌)",061-270-3341,2021-09-24
180,제일1차 아파트경로당,목포시,부흥동,"전라남도 목포시 미항로 206 (옥암동, 제일아파트)",061-270-3341,2021-09-24
181,우미오션빌아파트경로당,목포시,부흥동,"전라남도 목포시 평화로107번길 16 (옥암동, 우미오션빌아파트)",061-270-3341,2021-09-24
182,옥암주공1차 아파트경로당,목포시,부주동,"전라남도 목포시 당가두로38번길 11 (옥암동, 옥암주공아파트)",061-270-3341,2021-09-24
183,옥암푸르지오 아파트경로당,목포시,부주동,"전라남도 목포시 남악1로 51 (옥암동, 옥암푸르지오)",061-270-3341,2021-09-24
184,한국아델리움경로당,목포시,부주동,"전라남도 목포시 남악1로 15 (옥암동, 한국아델리움아파트)",061-270-3341,2021-09-24
185,한라비발디 아파트경로당,목포시,부주동,"전라남도 목포시 남악2로22번길 10 (옥암동, 한라비발디아파트)",061-270-3341,2021-09-24
186,부영애시앙 아파트경로당,목포시,부주동,"전라남도 목포시 당가두로13번길 9 (옥암동, 부영애시앙)",061-270-3341,2021-09-24
187,옥암2차휴먼시아경로당,목포시,부주동,"전라남도 목포시 남악1로52번길 35-8 (옥암동, 옥암2휴먼시아)",061-270-3341,2021-09-24
188,골드클래스경로당,목포시,부주동,"전라남도 목포시 남악1로16번길 10 (옥암동, 옥암골드클래스)",061-270-3341,2021-09-24
189,모아엘가경로당,목포시,부주동,"전라남도 목포시 남악2로22번길 58 (옥암동, 모아엘가아파트)",061-270-3341,2021-09-24
190,우미파렌하이트경로당,목포시,부주동,"전라남도 목포시 남악2로22번길 15 (옥암동, 우미파렌하이트)",061-270-3341,2021-09-24
191,코아루천년가아파트경로당,목포시,부주동,"전라남도 목포시 남악1로16번길 43-14 (부주동,코아루천년가)",061-270-3341,2021-09-24
192,옥암베아채경로당,목포시,부주동,"전라남도 목포시 남악1로52번길 83 (옥암동, 근화옥암베아채)",061-270-3341,2021-09-24
