,약국명_y,주소_y,전화번호,좌표정보(X),좌표정보(Y),월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영
59,광주약국,전라남도 진도군 진도읍 남문길 44,061-544-2145,126.2639904,34.4821182,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~13:00,08:00~13:00,-
60,광주약국,전라남도 영광군 영광읍 현암길 58,061-351-2228,126.5108281,35.2757235,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30
61,광주약국,전라남도 곡성군 석곡면 석곡로 56,061-362-3036,127.2537053,35.1319156,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~12:00,-,-
62,광주약국,전라남도 화순군 화순읍 자치샘로 19,061-374-2650,126.9834496,35.0625999,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,08:30~09:00,-,-
63,교동큰약국,"전라남도 여수시 중앙로 30, 1층 (교동)",061-920-7100,,,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~13:00,-,-
64,구례약국,전라남도 구례군 구례읍 동편제길 4,061-783-0783,127.4639375,35.2159096,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,-,-
65,구세약국,전라남도 보성군 벌교읍 채동선로 224-1 (벌교읍),061-858-0403,127.3444493,34.8422838,07:00~18:00,07:00~18:00,07:00~18:00,07:00~18:00,07:00~18:00,07:00~13:00,-,-
66,구세약국,전라남도 목포시 영산로 485 (상동),061-273-0051,126.4166463,34.8093958,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:00,-,-
67,구영약국,전라남도 신안군 암태면 중부로 1820-4,061-271-4287,126.1145745,34.8289262,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~13:00,-,-
68,국도약국,전라남도 고흥군 고흥읍 고흥로 1943,061-832-3070,127.2947349,34.6218687,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~13:30,-,-
69,국제약국,"전라남도 순천시 중앙1길 4, 국제약국 1층 (장천동)",061-745-5544,127.4877248,34.9478093,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
70,국제약국,"전라남도 강진군 강진읍 영랑로3길 5-1,",061-434-3448,126.769122,34.6384287,07:40~18:00,07:40~18:00,07:40~18:00,07:40~18:00,07:40~18:00,07:40~13:00,-,-
71,국제온누리약국,전라남도 광양시 광양읍 백운로 1 1층,061-763-0102,127.5897923,34.9712693,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:30,13:00~18:00,-
72,군내약국,전라남도 여수시 돌산읍 돌산로 1189,061-644-7575,127.7286955,34.6166306,08:00~12:30,08:00~12:30,08:00~12:30,08:00~12:30,08:00~12:30,-,-,-
73,굿모닝약국,전라남도 목포시 영산로 250-1,061-278-4828,126.3939121,34.8029329,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~15:30,-,-
74,굿모닝약국,"전라남도 나주시 빛가람로 677, 104~105호 (빛가람동)",061-333-7990,126.7858398,35.0215108,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,10:00~22:00,10:00~22:00
75,굿모닝약국,전라남도 여수시 신월로 807,061-642-8522,127.7268015,34.740228,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
76,그랜드약국,전라남도 장흥군 장흥읍 부동로 3,061-864-3100,126.9108589,34.6780865,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:00~13:00,-,-
77,그랜드약국,전라남도 화순군 화순읍 서양로 340 (화순읍),061-371-8275,127.0006342,35.0620094,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,-,-,-
78,그린약국,전라남도 광양시 광양읍 인덕로 996,061-762-3577,127.5819786,34.9713818,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~14:00,09:00~18:00,-
79,금강약국,전라남도 해남군 해남읍 해남로 45-1,061-535-1144,,,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,09:00~13:00,-,-
80,금당약국,전라남도 순천시 해룡면 장선배기길 284,061-726-2262,127.5298828,34.945357,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-
81,금산약국,전라남도 고흥군 금산면 거금중앙길 71,061-844-0572,,,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
82,금성약국,전라남도 장성군 장성읍 영천로 123,061-393-3904,126.7808333,35.2967243,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,-,08:30~13:00
83,금일건강약국,전라남도 완도군 금일읍 금일로 400,061-552-1940,127.0299737,34.349104,07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,16:00~20:00,07:30~20:00
84,금정약국,전라남도 영암군 금정면 용두로 11-1,061-471-5687,126.7489027,34.8624965,08:00~16:30,08:00~16:30,08:00~16:30,08:00~16:30,08:00~16:30,08:00~12:30,-,-
85,금호약국,전라남도 여수시 신월로 553 1층 (신월동),061-642-6660,127.7078635,34.7239299,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,-,-
86,금호약국(역전),전라남도 목포시 영산로 89 (명륜동),061-242-1015,,,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~14:00,-,-
87,금호온누리약국,전라남도 목포시 영산로 519 (상동),061-279-2914,,,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,-
88,길약국,전라남도 고흥군 고흥읍 터미널길 3,061-834-1994,127.2811394,34.6054348,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,-,-,-
89,길약국,"전라남도 광양시 중마중앙로 71-1, 1층 북동쪽 일부호 (중동)",061-794-7292,127.6977296,34.9366625,08:40~18:40,08:40~18:40,08:40~18:40,08:40~18:40,08:40~18:40,08:40~12:30,-,-
90,김약국,전라남도 담양군 담양읍 천변7길 26,061-383-8222,,,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~12:00,-,-
91,김약국,전라남도 보성군 보성읍 현충로 96 (보성읍),061-852-2613,127.0821816,34.7677312,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~14:00,,
92,김약국,"전라남도 무안군 해제면 현해로 1690-5,",061-452-4952,126.2941365,35.1108447,07:30~11:30,07:30~11:30,07:30~11:30,07:30~11:30,07:30~11:30,08:00~12:00,-,-
93,나눔약국,전라남도 여수시 무선로 32 (학동),061-684-4988,127.6563476,34.7637551,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:30,-,-
94,나래약국,"전라남도 화순군 화순읍 중앙로 95,",061-375-0622,126.991919,35.060644,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
95,나래약국,"전라남도 광양시 광양읍 용강1길 12, 103~104호 (창덕에버빌상가 )",061-763-5015,127.6100039,34.9731093,08:30~19:20,08:30~19:20,08:30~19:20,08:30~12:30,08:30~19:20,08:30~12:30,-,-
96,나래약국,전라남도 무안군 무안읍 면성1길 107-1,061-453-7009,126.4743493,34.9883925,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-
97,나비약국,전라남도 화순군 화순읍 칠충로 45,061-375-3328,126.9768526,35.0547442,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,09:00~19:00
98,나약국,전라남도 장성군 장성읍 영천로 200-2,061-392-7178,126.7849883,35.3023063,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:00~14:00,-,-
99,나주온누리약국,전라남도 나주시 영산로 5422 (성북동),061-334-2398,126.7214065,35.0355566,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
100,나주제일약국,전라남도 나주시 나주로 210 (성북동),061-333-2411,126.7219149,35.0352076,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,-,-
101,나주종로약국,전라남도 나주시 나주로 195 (중앙동),061-333-8275,126.7214831,35.0340713,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~15:00,-,-
102,나주친절약국,"전라남도 나주시 영산로 5426, 1층 102호 (성북동)",061-334-3323,126.7220212,35.0355449,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~12:30,-,-
103,나주태평양약국,"전라남도 나주시 나주로 197, 1층 (중앙동)",061-332-7577,126.7214644,35.0342586,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
104,나주하나약국,"전라남도 나주시 정보화길 50, 103호 (빛가람동)",061-820-7702,126.7994583,35.0237898,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
105,낙안약국,전라남도 순천시 낙안면 삼일로 13 (),061-753-0955,127.3438951,34.9057221,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~15:00,,
106,남도약국,전라남도 여수시 미평로 2 (미평동),061-653-1148,127.7069456,34.7635007,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~13:30,-,-
107,남도약국,전라남도 해남군 해남읍 남부순환로 1,061-533-2525,126.6079625,34.5706417,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~12:30,-,-
108,남도온누리약국,전라남도 목포시 정의로 4-10 (옥암동),061-284-1293,126.4443531,34.8115931,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,-,-
109,남부종합약국,전라남도 순천시 중앙초등아랫길 80,061-741-0061,127.5034709,34.9421701,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
110,남산약국,"전라남도 여수시 신월로 712-1, (봉산동)",061-642-0532,127.7199183,34.7340012,09:00~12:00,09:00~12:00,09:00~12:00,09:00~12:00,09:00~12:00,09:00~17:30,11:00~18:00,-
111,남악다나약국,전라남도 무안군 삼향읍 후광대로 242,061-284-1221,126.4581263,34.813971,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~13:30,-,09:00~13:30
112,남악약국,"전라남도 무안군 삼향읍 남악4로 86, 한양에드가 오피스텔 1차 1층 106,113호",061-285-3993,126.4664143,34.8131458,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~16:30,-,09:00~13:30
113,남일약국,전라남도 완도군 완도읍 개포로130번길 17 (완도읍),061-554-2279,126.7446544,34.3188908,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
114,남평약국,"전라남도 나주시 남평읍 남평1로 22, 1층 (남평읍)",061-334-2261,126.8400175,35.046639,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,-,-,-
115,남해약국,"전라남도 여수시 쌍봉로 27-1, (학동)",061-681-4055,127.6590936,34.7667931,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,-,-
116,내츄럴팜약국,전라남도 광양시 광영로 115,061-792-3957,127.7161983,34.963874,12:00~19:00,12:00~19:00,12:00~19:00,12:00~19:00,12:00~19:00,12:00~19:00,13:00~18:00,-
117,노화약국,"전라남도 완도군 노화읍 노화로 843, 이목복지회관",061-554-9980,126.5718523,34.1774718,09:00~12:00,09:00~12:00,09:00~12:00,09:00~12:00,09:00~12:00,07:00~12:00,-,-
118,녹십자약국,"전라남도 광양시 광양읍 대림오성로 100, 1층",061-763-6800,,,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,-,-,-
119,녹십자약국,전라남도 신안군 흑산면 예리1길 60,061-275-8600,125.4443382,34.6845328,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~17:00,09:00~18:00,08:00~17:00
120,녹십자약국,"전라남도 영광군 영광읍 신남로 260, 1층",061-352-1178,126.5045412,35.2764955,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,-,-
121,농민약국,전라남도 나주시 예향로 3813 (이창동),061-332-0445,126.7137433,34.9949384,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,-,09:00~19:00
122,농민약국,"전라남도 해남군 해남읍 중앙2로 51,",061-536-3136,126.5979811,34.5696498,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~15:00,-,08:00~15:00
123,농협마트약국,전라남도 광양시 공영로 25,061-792-4111,127.69159,34.936474,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,-,-,-
124,누엘약국,전라남도 순천시 조례1길 10-26 (조례동),061-723-2843,127.5222126,34.9599395,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~17:30,09:00~12:30,09:00~12:30
125,뉴세브란스약국,"전라남도 목포시 수문로 8, (대안동)",061-242-3709,126.3852213,34.7916198,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,-,-
126,뉴욕약국,전라남도 화순군 화순읍 서양로 327,061-373-8000,127.0002762,35.0608491,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,-
127,뉴욕약국,전라남도 나주시 나주로 199 (중앙동),061-333-7887,126.7214391,35.0343653,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:00,-,-
128,느티나무약국,전라남도 곡성군 곡성읍 읍내14길 8,061-363-9660,127.2968483,35.2819088,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~14:00,-,-
129,늘평화로운약국,전라남도 순천시 양율길 176,061-746-3377,127.4836597,34.9078231,08:30~12:30,08:30~12:30,08:30~12:30,08:30~12:30,08:30~12:30,08:30~12:30,-,-
130,늘푸른약국,전라남도 목포시 용해지구로 85 (연산동),061-274-7535,126.3913616,34.8200348,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,09:00~13:00,-,-
131,늘푸른약국,"전라남도 나주시 예향로 3815, 1층 (이창동)",061-331-5225,126.7137163,34.9950806,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,-,-
132,다나약국,"전라남도 화순군 화순읍 중앙로 19,",061-371-1413,126.983617,35.0605801,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,10:00~18:00,10:00~18:00
133,다나약국,전라남도 목포시 용당로 322-3 (용해동),061-276-1133,126.4008582,34.8160317,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,09:00~18:00,09:00~18:00
