,NO,약국명,대표전화,주소,월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영,lat,lng
85,86,봄약국,02-413-3113,서울특별시 송파구 백제고분로39길 14-17(석촌동),08:30~20:00,08:30~20:00,08:30~20:00,08:30~18:30,08:30~18:30,08:30~16:00,-,-,37.5061326187621,127.105562286547
86,87,청솔동아약국,02-990-3378,"서울특별시 도봉구 노해로69길 103, 상가동 107호 (창동, 동아청솔아파트)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~14:00,-,-,37.6577863519515,127.049275691881
87,88,동부약국,02-983-7950,서울특별시 성북구 숭인로2길 61 (길음동),09:30~21:00,09:30~21:00,09:30~21:00,09:30~21:00,09:30~21:00,09:30~19:00,15:00~19:00,10:00~19:00,37.6093534067567,127.024973857612
88,89,이화약국,02-355-4453,서울특별시 은평구 연서로 331-1 (불광동),10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~13:00,-,-,37.6249266034897,126.928475661781
89,90,석산약국,02-912-2020,서울특별시 성북구 오패산로1길 1 (하월곡동),09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~19:00,-,-,37.6034673811074,127.036824675589
90,91,알파약국,02-918-7692,서울특별시 성북구 장위로 42-1 (장위동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~15:00,-,-,37.614129743554,127.041290878848
91,92,나누리약국,02-6956-1270,"서울특별시 강서구 공항대로41길 56, 진아빌딩 5층 503호 (등촌동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~17:00,-,-,37.5601861543743,126.846328848733
92,93,조은약국,02-3391-7582,"서울특별시 노원구 한글비석로 471, (주)맥스아웃 상계빌딩 4층 (상계동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:30,-,-,37.6642116374435,127.065838887284
93,94,가온온누리약국,02-2061-1119,"서울특별시 양천구 목동동로 293, 현대41타워 1층 38호 (목동)",09:30~20:30,09:30~20:30,09:30~20:30,09:30~20:30,09:30~20:30,09:30~18:30,-,-,37.5281783139269,126.875771989415
94,95,공항시장샘온누리약국,02-2064-2204,"서울특별시 강서구 방화동로 37, 메디스타워 102호 (방화동)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~14:30,-,-,37.5641822785808,126.810682079138
95,96,드림약국,02-2231-9196,서울특별시 동대문구 천호대로 8 (신설동),07:30~19:30,07:30~19:30,07:30~19:30,07:30~19:30,07:30~19:30,07:30~16:00,-,08:30~14:00,37.5747797744579,127.024329844207
96,97,영민약국,02-2648-3402,서울특별시 양천구 목동동로 430 (목동),08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,09:00~13:30,-,-,37.5352056837361,126.884393234385
97,98,팜빌편안약국,02-2645-3130,"서울특별시 양천구 목동중앙본로 40, 1층 (목동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,37.5396690796033,126.869051879039
98,99,보생약국,02-2644-1902,"서울특별시 양천구 공항대로 624, (목동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~13:00,-,-,37.5466539031566,126.874114547813
99,100,우리들약국,02-2648-3290,"서울특별시 양천구 목동중앙본로28길 1, 1층 (목동)",08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~20:00,-,15:00~20:00,37.5438676988813,126.870653610803
100,101,새생명약국,02-512-3389,서울특별시 강남구 삼성로146길 8 1층 (청담동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,09:00~21:00,37.5230933634866,127.048768862226
101,102,동인프라자약국,02-2605-9844,서울특별시 양천구 남부순환로40길 13 (신월동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,-,-,37.5347843626348,126.828000162092
102,103,한약국,02-2692-7573,"서울특별시 양천구 월정로 57, (신월동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,10:00~20:00,-,37.5246638106753,126.841409684242
103,104,세왕약국,02-2603-7284,서울특별시 양천구 중앙로 235 (신정동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~20:00,09:00~13:00,-,-,37.5173747803726,126.853830060932
104,105,온누리은혜약국,02-2696-9888,서울특별시 양천구 신정로 293,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,37.5143098920562,126.855043160446
105,106,삼주약국,02-2646-5776,서울특별시 양천구 신목로 86 (신정동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:30,09:00~13:00,09:00~13:00,37.5223155146806,126.874766090418
106,107,백석메디칼약국,02-2690-9040,"서울특별시 양천구 곰달래로 47, (신월동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,37.5301745162122,126.837894790687
107,108,연성약국,02-2647-0998,"서울특별시 양천구 중앙로 262, 1층 102호 (신정동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,09:00~13:00,09:00~13:00,37.5198467815801,126.853402511465
108,109,유정온누리약국,02-822-5692,"서울특별시 동작구 여의대방로22나길 1, 1층 (신대방동)",09:00~19:00,09:00~19:00,09:00~16:00,09:00~19:00,09:00~19:00,-,09:00~14:00,09:00~14:00,37.4975103435893,126.920806652541
109,110,나을약국,02-6191-0020,"서울특별시 강남구 언주로 631, 강남웨딩홀 2층 202호 (논현동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~16:00,-,-,37.5127908498374,127.035028360898
110,111,홍대어울림약국,02-332-9233,"서울특별시 마포구 어울마당로 128, 1층 (서교동)",11:00~22:30,11:00~22:30,11:00~22:30,11:00~22:30,11:00~22:30,11:00~22:30,11:00~22:30,-,37.5557196028769,126.924295467517
111,112,행운약국,02-765-9997,서울특별시 종로구 대명길 21-2(명륜4가),11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,37.5832382903004,127.000361043962
112,113,김약국,02-875-5523,"서울특별시 관악구 남부순환로 1601-1, 1층 (신림동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-,37.4843707945921,126.928615408998
113,114,덕성그린약국,02-6397-9974,"서울특별시 강북구 삼양로 530, 1층 (우이동)",09:30~21:30,09:30~21:30,09:30~21:30,09:30~21:30,09:30~21:30,09:30~21:30,09:30~21:30,09:30~21:30,37.6503278041044,127.013526445625
114,115,올바른약국,02-952-2250,"서울특별시 노원구 동일로 1493, 상계주공아파트(10단지) 105호 (상계동)",10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~20:00,-,-,37.6616423693886,127.058001700205
115,116,이대행복한약국,02-873-8881,"서울특별시 서대문구 이화여대길 42, 1층 (대현동)",10:00~21:30,10:00~21:30,10:00~21:30,10:00~21:30,10:00~21:30,10:00~18:30,-,-,37.5588780112567,126.945856403546
116,117,365플러스약국,02-963-0110,"서울특별시 동대문구 천호대로 133, 홈플러스 동대문점 지하2층 (용두동)",10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,37.5745483247197,127.03876781084
